test_condition,model,events,excluded,log_loss,accuracy,balanced_accuracy,macro_f1
low,global,2664888,0,1.3847553333125928,0.26411804173383646,0.25,0.4178692701380608
low,persistence,2664888,0,2.433567473802267,0.474697248064459,0.4740361196992089,0.47403780626319797
low,radial_child,2664888,0,1.2090399122518203,0.4128162234210218,0.3943099365672169,0.5420192541912265
low,turn_child,2664888,0,1.3607809705103204,0.3179645823764451,0.3224681518432678,0.4252013959095382
low,additive_children,2664888,0,1.328533699461352,0.4220976641419827,0.4064605164007069,0.3146125488161997
low,intact_parent,2664888,0,1.2992203467024468,0.42282227245572795,0.4087915104898264,0.3266472821359454
low,broken_parent,2102662,562226,1.3249012308160764,0.395155759698896,0.3798773588927309,0.5230402838440068
medium,global,2746522,0,1.3850478794321077,0.26058520558000264,0.25,0.41343529088952913
medium,persistence,2746522,0,2.3483491696654073,0.49332537660357356,0.49301101498815303,0.4930133653668461
medium,radial_child,2746522,0,1.2102874677442066,0.4095164721054483,0.3934669913597132,0.5387974531201323
medium,turn_child,2746522,0,1.3497855352846926,0.3259973886974144,0.33216815726003474,0.43687299124849943
medium,additive_children,2746522,0,1.332517916992467,0.42119232979018556,0.4074270927754856,0.3121640533421385
medium,intact_parent,2746522,0,1.3053408701846994,0.42100445581721174,0.4085360976498925,0.32424985657647865
medium,broken_parent,2236302,510220,1.3299697746729287,0.3933408815088481,0.3789774638580525,0.5205025875159122
high,global,2897956,0,1.3850094614998394,0.2621430415092569,0.25,0.4153935534846971
high,persistence,2897956,0,2.306870268589815,0.5023923758676805,0.5019138466012331,0.5019163119551092
high,radial_child,2897956,0,1.2107697675398197,0.4104292818800562,0.3939030467507031,0.5397777010759538
high,turn_child,2897956,0,1.3453439580610511,0.3318345758182664,0.3369375013131779,0.4441348341319731
high,additive_children,2897956,0,1.3406093316350407,0.42140046294698746,0.4073802931965709,0.313606890712699
high,intact_parent,2897956,0,1.317624407102375,0.4093009003587356,0.3973607167691475,0.31656124674379593
high,broken_parent,2443039,454917,1.3391334983379806,0.38888490932809505,0.3735316186422888,0.5139680627409133
