x_mm,y_mm,z_mm,radius_mm,x_ara,angle_deg,lateral_index,elevation_rank,exact_elevation_tie
984.80775,173.64818,87.91894,999.9999974386875,0.0,10,1,40,True
994.65583,175.38466,86.70042,1009.999999562527,0.05000001079067533,10,2,38,True
1004.50391,177.12114,85.42539,1020.0000016863665,0.10000002158135066,10,3,36,False
1011.0693,178.2788,69.61892,1026.6666742092732,0.13333338431020247,10,4,32,False
1020.91737,180.01528,60.31421,1036.6666664850352,0.18333334586049,10,5,30,False
1038.64791,183.14165,56.02982,1054.6707281953406,0.27335365472074674,10,6,27,False
1046.74546,184.56947,50.87496,1062.8931965567813,0.31446599666894687,10,7,25,False
1055.29016,186.07613,45.33497,1071.5697121273083,0.35784857467036496,10,8,22,False
1061.16124,187.11136,42.51509,1077.5313630328292,0.38765682930019824,10,9,20,False
1070.15776,188.69769,41.68719,1086.6666689926371,0.4333333592558882,10,10,18,False
1079.32421,190.31398,39.42703,1095.974525833317,0.479872643618897,10,11,16,False
1085.50671,191.40412,39.13504,1102.2524005907171,0.5112620175135486,10,12,15,False
1108.68317,195.49076,38.59272,1125.7863956748752,0.6289319933378943,10,13,14,False
1117.13736,196.98146,37.41538,1134.3710048707615,0.6718550394645326,10,14,13,False
1122.87613,197.99336,36.13439,1140.1983046504968,0.7009915384631343,10,15,9,False
1131.61423,199.53412,33.78544,1149.0712034433145,0.7453560325793736,10,16,3,False
1140.48488,201.09826,34.15661,1158.0786983981882,0.7903935075082003,10,17,5,False
1146.46158,202.15211,36.48244,1164.1475980276505,0.8207380057595799,10,18,10,False
1155.50773,203.74719,36.7385,1173.3332994177952,0.8666665128678176,10,19,11,False
1176.22001,207.39932,35.01495,1194.3650990634574,0.971825511456777,10,20,8,False
1184.72885,208.89966,33.12962,1203.0052019714785,1.0150260261450412,10,21,2,False
1193.35567,210.4208,33.87103,1211.7651043802957,1.0588255383393401,10,22,4,False
1199.16534,211.4452,31.78982,1217.6643976319401,1.0883220046987216,10,23,1,False
1207.9584,212.99566,34.34081,1226.5931058461872,1.1329655459230645,10,24,6,False
1216.83634,214.56108,34.92914,1235.6080023192478,1.178040028442953,10,25,7,False
1222.79728,215.61215,37.17694,1241.6608986365889,1.2083045101334517,10,26,12,False
1246.62175,219.81305,39.69477,1265.8529000335566,1.3292645175331292,10,27,17,False
1255.18682,221.3233,42.12929,1274.55009953497,1.3727505151893342,10,28,19,False
1260.9445,222.33854,44.36496,1280.3966020142282,1.4019830276858793,10,29,21,False
1269.64636,223.87291,46.91184,1289.2327017622217,1.4461635265773665,10,30,23,False
1278.4207,225.42006,49.82371,1298.1423995998641,1.4907120159183598,10,31,24,False
1284.30739,226.45804,53.75524,1304.1199008868984,1.5205995224560322,10,32,26,False
1293.18868,228.02406,56.42342,1313.138200654838,1.5656910214503743,10,33,28,False
1314.20763,231.73026,60.2998,1334.4814004510833,1.6724070207975887,10,34,29,False
1322.78166,233.2421,66.52193,1343.1876999305666,1.7159385183442988,10,35,31,False
1331.42335,234.76586,75.89986,1351.9627013888964,1.7598135257864196,10,36,33,False
1337.21973,235.78792,82.61625,1357.8485002087675,1.7892425199867033,10,37,34,False
1345.96364,237.3297,83.9183,1366.7272978557717,1.8336365083739756,10,38,35,False
1354.763,238.88127,85.64986,1375.66240310834,1.8783120347900342,10,39,37,False
1360.65816,239.92074,86.70042,1381.648504452827,1.9082425416151174,10,40,39,True
1378.73085,243.10745,87.91894,1399.999996066866,2.0,10,41,41,True
965.92583,258.81905,86.17085,1000.0000048520458,0.0,15,1,41,False
967.53409,259.24998,79.79773,1001.6649976125394,0.008324963856148095,15,2,35,False
970.75707,260.11357,67.05149,1005.0016707713125,0.025008329757589046,15,3,34,False
980.41633,262.70176,62.8021,1015.0016723324975,0.07500833788591679,15,4,33,False
1000.39377,268.0547,57.67495,1035.6838403909287,0.1784191788448721,15,5,29,False
1008.50249,270.22743,53.33093,1044.078606360941,0.22039300896558314,15,6,27,False
1014.13008,271.73533,49.13014,1049.9047141198173,0.24952354794780027,15,7,25,False
1022.80789,274.06055,46.68294,1058.8886461345,0.29444320831085863,15,8,23,False
1031.69353,276.44145,41.13141,1068.087737558092,0.3404386657253995,15,9,20,False
1040.72917,278.86254,37.61675,1077.4421197930499,0.38721057720177726,15,10,16,False
1046.81661,280.49366,34.93169,1083.7443002258826,0.4187214795691252,15,11,15,False
1056.02217,282.96029,34.59939,1093.2745991965573,0.46637297472975847,15,12,13,False
1077.59661,288.74114,33.9902,1115.610102057162,0.5780504897528853,15,13,12,False
1086.1183,291.02452,33.49164,1124.4324047429977,0.6221620034664973,15,14,10,False
1094.77811,293.34491,29.95417,1133.3976999968195,0.6669884800246498,15,15,5,False
1100.61675,294.90937,32.98711,1139.442305206525,0.6972115062680568,15,16,8,False
1109.45873,297.27857,33.67304,1148.5961961257133,0.7429809611591228,15,17,11,False
1118.38804,299.67117,30.49089,1157.8404977129667,0.7892024693934289,15,18,6,False
1127.39173,302.0837,28.63285,1167.1618031267485,0.8358089967628597,15,19,2,False
