run,family,s_m,x_ara,Us_m_per_s,depth_m,depth_source_value,depth_source_unit,Us_recovery_repeats,Us_recovery_spread,source_match_delta_m,motion_peak,structure_peak
PRUN1,plain,0,0,0.4922582460107058,0.12770000000000004,12.770000000000003,cm,21,3.265818230291373e-7,0,1,0
PRUN1,plain,0.2094395102333333,0.1111111111111111,0.48661985050273626,0.13069999999999998,13.069999999999997,cm,21,3.4393379738650864e-7,1.023333329186471e-8,0,0
PRUN1,plain,0.6283185307,0.33333333333333337,0.4792297765080228,0.13099999999999998,13.099999999999998,cm,21,3.817586208820778e-7,3.069999998661643e-8,0,0
PRUN1,plain,1.2566370614,0.6666666666666667,0.42654280596952243,0.13405,13.405000000000001,cm,21,4.338908100032235e-7,6.139999997323287e-8,0,0
PRUN1,plain,1.6755160818666663,0.8888888888888888,0.34873380633997714,0.1344,13.439999999999998,cm,21,2.841776299278287e-7,8.186666633491768e-8,0,0
PRUN1,plain,1.8849555920999999,1,0.36762214304635676,0.13660000000000003,13.660000000000004,cm,21,2.9780945670632164e-7,4.07900000221062e-7,0,0
PRUN1,plain,2.094395102333333,1.111111111111111,0.34845895967127094,0.1377,13.77,cm,21,3.821481940891047e-7,1.023333329186471e-7,0,0
PRUN1,plain,2.5132741228,1.3333333333333335,0.3848879516459,0.1418,14.18,cm,21,3.065193717732839e-7,1.2279999994646573e-7,0,0
PRUN1,plain,3.1415926534999996,1.6666666666666665,0.3948822535354486,0.14339999999999997,14.339999999999998,cm,21,2.782543018775563e-7,3.465000002478291e-7,0,1
PRUN1,plain,3.5604716739666666,1.888888888888889,0.40698713312873014,0.1426,14.26,cm,21,4.248939762807602e-7,3.260333332200105e-7,0,0
PRUN1,plain,3.7699111841999997,2,0.42141011914852633,0.1432,14.32,cm,21,3.3423193840365073e-7,1.84199999697654e-7,0,0
PRUN2,plain,0,0,0.4526539084871066,0.10105,10.105,cm,15,2.557870430464071e-7,0,1,0
PRUN2,plain,0.2094395102333333,0.1111111111111111,0.4329219679615533,0.0997,9.969999999999999,cm,15,3.5770598827422617e-7,1.023333329186471e-8,0,0
PRUN2,plain,0.6283185307,0.33333333333333337,0.44288949987918064,0.1002,10.02,cm,15,2.61364008879994e-7,3.069999998661643e-8,0,0
PRUN2,plain,1.2566370614,0.6666666666666667,0.4155598949977837,0.1048,10.48,cm,15,2.8986786526630226e-7,6.139999997323287e-8,0,0
PRUN2,plain,1.6755160818666663,0.8888888888888888,0.4030883833398448,0.10649999999999998,10.649999999999999,cm,15,3.564254019705615e-7,8.186666633491768e-8,0,0
PRUN2,plain,1.8849555920999999,1,0.39436097341275894,0.10655000000000002,10.655000000000001,cm,15,3.114147031357817e-7,4.07900000221062e-7,0,0
PRUN2,plain,2.094395102333333,1.111111111111111,0.370737839787625,0.10860000000000002,10.860000000000001,cm,15,2.504107340928208e-7,1.023333329186471e-7,0,0
PRUN2,plain,2.5132741228,1.3333333333333335,0.3626650695859288,0.11204999999999998,11.204999999999998,cm,15,3.1917437576245433e-7,1.2279999994646573e-7,0,0
PRUN2,plain,3.1415926534999996,1.6666666666666665,0.3549415546458168,0.1144,11.44,cm,15,3.0165941150572806e-7,3.465000002478291e-7,0,1
PRUN2,plain,3.5604716739666666,1.888888888888889,0.3587252223965918,0.11345000000000001,11.345,cm,15,2.4301872159071536e-7,3.260333332200105e-7,0,0
PRUN2,plain,3.7699111841999997,2,0.3702933246102749,0.11350000000000002,11.350000000000001,cm,15,2.449000104376431e-7,1.84199999697654e-7,0,0
PRUN3,plain,0,0,0.4239698809087601,0.08460000000000001,8.46,cm,10,3.967594896514548e-7,0,1,0
PRUN3,plain,0.2094395102333333,0.1111111111111111,0.41417015938935886,0.08525000000000002,8.525000000000002,cm,10,1.4443055673662997e-7,1.023333329186471e-8,0,0
PRUN3,plain,0.6283185307,0.33333333333333337,0.41656228903429304,0.08375,8.375,cm,10,2.6678619952091864e-7,3.069999998661643e-8,0,0
PRUN3,plain,1.2566370614,0.6666666666666667,0.3948706804574165,0.08664999999999999,8.665,cm,10,3.524907222218765e-7,6.139999997323287e-8,0,0
PRUN3,plain,1.6755160818666663,0.8888888888888888,0.3764333106899199,0.0886,8.86,cm,10,3.77992012356998e-7,8.186666633491768e-8,0,0
PRUN3,plain,1.8849555920999999,1,0.3792650675643174,0.08844999999999999,8.844999999999999,cm,10,3.403176777050376e-7,4.07900000221062e-7,0,0
PRUN3,plain,2.094395102333333,1.111111111111111,0.3576659794764643,0.0916,9.16,cm,10,2.73942066753019e-7,1.023333329186471e-7,0,0
PRUN3,plain,2.5132741228,1.3333333333333335,0.3366095232401936,0.0959,9.59,cm,10,2.0634216385539972e-7,1.2279999994646573e-7,0,0
PRUN3,plain,3.1415926534999996,1.6666666666666665,0.3383171530432231,0.09720000000000001,9.72,cm,10,1.740801101046685e-7,3.465000002478291e-7,0,1
PRUN3,plain,3.5604716739666666,1.888888888888889,0.34440524205258205,0.09655,9.655,cm,10,2.455746327401087e-7,3.260333332200105e-7,0,0
PRUN3,plain,3.7699111841999997,2,0.3128018245236279,0.09690000000000001,9.690000000000001,cm,10,1.7536006813312355e-7,1.84199999697654e-7,0,0
PRUN5,plain,0,0,0.352108103110778,0.05945000000000004,5.945000000000004,cm,6,9.249203930528083e-8,0,1,0
PRUN5,plain,0.2094395102333333,0.1111111111111111,0.33883300386959725,0.06235000000000003,6.235000000000003,cm,6,2.318768483888789e-7,1.023333329186471e-8,0,0
PRUN5,plain,0.6283185307,0.33333333333333337,0.32708402336431797,0.06275000000000003,6.275000000000002,cm,6,2.1149387346985904e-7,3.069999998661643e-8,0,0
PRUN5,plain,1.2566370614,0.6666666666666667,0.33189813004049273,0.06329999999999998,6.329999999999998,cm,6,2.04760753130806e-7,6.139999997323287e-8,0,0
PRUN5,plain,1.6755160818666663,0.8888888888888888,0.2832978864120661,0.0646,6.460000000000001,cm,6,1.475593247590723e-7,8.186666633491768e-8,0,0
PRUN5,plain,1.8849555920999999,1,0.28589976924391597,0.0643,6.43,cm,6,1.7759759596280844e-7,4.07900000221062e-7,0,0
PRUN5,plain,2.094395102333333,1.111111111111111,0.2684479725310936,0.06785000000000001,6.785,cm,6,1.963716080299882e-7,1.023333329186471e-7,0,0
PRUN5,plain,2.5132741228,1.3333333333333335,0.25438912209955256,0.0721,7.209999999999999,cm,6,1.0397005356654887e-7,1.2279999994646573e-7,0,0
PRUN5,plain,3.1415926534999996,1.6666666666666665,0.24469419240119145,0.07415000000000001,7.415000000000001,cm,6,2.386127324338627e-7,3.465000002478291e-7,0,1
PRUN5,plain,3.5604716739666666,1.888888888888889,0.2566855301684319,0.07254999999999999,7.254999999999999,cm,6,1.3622623745712659e-7,3.260333332200105e-7,0,0
PRUN5,plain,3.7699111841999997,2,0.27605983802735823,0.07365000000000001,7.365,cm,6,2.603014763180589e-7,1.84199999697654e-7,0,0
URUN1,undulating,-0.5,0,0.5593008275694126,0.12767186285156254,127.67186285156254,mm,19,3.639705283831063e-7,0,0,0
URUN1,undulating,-0.25,0.10482375471816233,0.579045744451264,0.11786095328125003,117.86095328125002,mm,17,3.3442825486673655e-7,0,0,0
URUN1,undulating,0,0.20964750943632465,0.5744679628406743,0.12508462875,125.08462875000001,mm,17,5.435461779557116e-7,0,0,0
URUN1,undulating,0.31415926535,0.34137292453027057,0.5704209032636884,0.12268865904296886,122.68865904296885,mm,17,5.080116907141274e-7,3.464999998037399e-8,0,0
URUN1,undulating,0.6283185307,0.4730983396242165,0.6271883956955189,0.11284324666015627,112.84324666015627,mm,16,4.022910419232417e-7,3.069999998661643e-8,1,0
URUN1,undulating,0.9424777960499999,0.6048237547181623,0.5898838001304554,0.11880026660156251,118.80026660156251,mm,17,5.187194247469051e-7,3.9500001047798605e-9,0,0
URUN1,undulating,1.2566370614,0.7365491698121083,0.5744110868163295,0.11578117035156253,115.78117035156252,mm,17,3.575806662992065e-7,6.139999997323287e-8,0,0
URUN1,undulating,1.5707963267499998,0.8682745849060541,0.5457236058019896,0.11629466335937497,116.29466335937497,mm,18,5.167480716661288e-7,3.267499997239298e-7,0,0
URUN1,undulating,1.8849555920999999,1,0.49913307416040875,0.12106563460937501,121.06563460937501,mm,19,3.8136993668613783e-7,4.07900000221062e-7,0,0
URUN1,undulating,2.1991148574499997,1.1317254150939458,0.5003699400508012,0.1275158179296876,127.5158179296876,mm,18,4.5667959713835415e-7,1.4255000024832043e-7,0,0
URUN1,undulating,2.5132741228,1.263450830187892,0.4686990203614738,0.1297167012890625,129.7167012890625,mm,19,3.7773064348600727e-7,1.2279999994646573e-7,0,1
URUN1,undulating,2.82743338815,1.3951762452818377,0.5515227161624758,0.11758033804687498,117.58033804687499,mm,17,2.561911329745925e-7,3.881499996971627e-7,0,0
URUN1,undulating,3.1415926534999996,1.5269016603757835,0.5214900602167905,0.1284607990820313,128.46079908203131,mm,19,1.9137226003884678e-7,3.465000002478291e-7,0,0
URUN1,undulating,3.45575191885,1.6586270754697294,0.4930720696205234,0.12645293330078128,126.45293330078128,mm,18,4.3881341993401435e-7,8.115000005304296e-8,0,0
URUN1,undulating,3.7699111841999997,1.7903524905636754,0.5185077273248244,0.12060855007812502,120.608550078125,mm,18,3.4465238929470843e-7,1.84199999697654e-7,0,0
