condition,comparison,estimate,matched_strata,ci_low,ci_high,n_tracks,bootstrap_valid
low,structured_minus_random_information,0.002204910873440731,50,,,,
low,structured_minus_closure_traversal,-0.3587067664001974,50,,,,
medium,structured_minus_random_information,0.005530123641953819,37,,,,
medium,structured_minus_closure_traversal,-0.3562022403418654,50,,,,
high,structured_minus_random_information,-0.014507665053895412,41,,,,
high,structured_minus_closure_traversal,-0.3677323859469719,49,,,,
pooled,structured_minus_random_information,-0.0021871417873858133,128,-0.010443347756405546,0.0033674103042391885,2541.0,2000.0
pooled,structured_minus_closure_traversal,-0.3608344781778842,149,-0.3705013970021043,-0.3492050230692223,5365.0,2000.0
