condition,track_id,run_id,centre_frame,progress,progress_decile,centre_speed,d_pre,d_centre,d_post,g_centre,theta_in,theta_out,theta_parent,parent_persistence,centre_roughness,parent_turn,smoothing_score,max_perpendicular_departure,centre_chord_alignment,child_b_directness,child_a_directness,child_b_connection,child_a_connection,delta_i_ba,delta_d_ba,delta_b,wrong_child_delta,centre_speed_quintile,stratum
low,low:4,low:4:0,828,0.4389389389389389,4,0.18325613794879297,0.9943498203677963,0.6362722606217511,0.8628856494369491,1.0,3.1315548412757077,-2.51044270236454,-2.8310365841342096,0.8013858652888145,1.5637562360392014,0.641187763539339,0.9225684724998624,0.636187800181377,-0.01629317645092633,0.6117027849501239,0.9696343417871507,0.9077966852561677,1.6342747395679333,-0.7264780543117656,0.3579315568370268,2.2925013980677424,0.773096811110504,4,low:4:4
low,low:7,low:7:0,156,0.1011011011011011,1,0.25233507612173417,0.9905429476297459,0.5979467102703581,0.9784073578498572,0.9892631961194198,0.6894029268758466,-0.0146278679276476,0.3373875294740995,0.762239271705632,1.6011608895285379,0.7040307948034942,0.8971300947250437,0.5376499378382716,0.6613142722246401,0.8075622363891948,0.34703538467780837,1.7858893831502392,1.7858893831502392,0.0,-0.4605268517113864,1.6394769845691182,2.9681651113264707,4,low:1:4
low,low:8,low:8:0,1191,0.6191191191191192,6,0.29482133385079234,0.9914626473407591,0.5554402677383976,0.9256120529260559,0.9347352730917654,0.19986952300059885,-0.09741895492822175,0.05122528403618854,0.9561342857236358,1.3370707636706176,0.29728847792882057,1.039782285741797,0.3022038067217121,0.9307019705360468,0.9294704158050618,0.3267591214594565,0.9077966852561677,1.1997231935247221,-0.2919265082685544,-0.6027112943456053,1.6378325004180374,3.005280286977575,4,low:6:4
low,low:8,low:8:0,1281,0.6641641641641642,6,0.10856867126131799,0.9771283191090757,0.7358298301142798,0.8944266620761065,0.8758756666584604,1.1474159831017043,-1.3284442762821227,-0.09051414659020914,-0.7864646435837097,0.6533345038338018,2.4758602593838273,-1.8225257555500254,0.3085151431369577,0.9997883394317492,0.9912478493446457,0.9498864996111669,0.6158701769876131,1.7061952576808785,-1.0903250806932654,-0.041361349733478825,-0.3740543159576561,-1.065683410718969,4,low:6:4
low,low:12,low:12:0,241,0.14614614614614613,1,0.15426212859539917,0.9124474360017467,0.23606276618440622,0.8597476648973661,0.8866386925650336,-0.31679854993357315,1.3364919269931401,0.5098466885297835,-0.08240061593275422,1.7500772073146504,1.6532904769267134,0.09678673038793706,0.35999089505275617,-0.3232693070940609,0.14479369590984645,0.3459874459621203,1.2370980609364755,0.6158701769876131,0.6212278839488623,0.20119375005227383,2.9556445170061147,-2.5763922714865366,4,low:1:4
low,low:13,low:13:0,696,0.3713713713713714,3,0.0017931403733000655,0.9999690894634125,0.43314181904238874,0.951985592971177,0.8940325721510745,0.0013852786164750633,0.0005258906208913151,0.0009555846186831892,0.9999996307261593,1.6896228270637108,0.0008593879955837481,1.688763439068127,0.0037472622683106466,-0.9999933693254776,0.9997324624243202,0.9300665223413049,0.4811348654790497,0.4811348654790497,0.0,-0.0696659400830153,0.018951595478485326,-1.720615715151399,0,low:3:0
low,low:13,low:13:0,1191,0.6191191191191192,6,0.006433729942298479,0.7579940254542661,0.6731146744163021,0.9999979855872131,0.9464446038172117,3.141347625233208,-3.141494386477254,3.1415192729677703,0.999999941074111,1.277661364644308,0.0003432954691240615,1.277318069175184,0.000992459300776255,0.9999995556980712,0.767354062676326,0.9966979884873044,0.4811348654790497,1.4378932696768452,-0.9567584041977955,0.2293439258109784,-2.9082646076509686,1.3027405135092056,1,low:6:1
low,low:13,low:13:0,1641,0.8443443443443444,8,0.008258044385634393,0.9999644834096136,0.14563867995950341,0.9999825650633111,0.9236085624103448,3.1411827340666756,7.675058587835056e-05,1.5706297423261868,-0.9999998815761049,1.56966327966918,3.1411059834807973,-1.5714427038116172,0.4271345805741842,0.005072381578929445,0.6989770449061131,0.9998872558559098,1.0649878820161585,0.6158701769876131,0.4491177050285453,0.30091021094979664,-3.132940990575733,-0.006535722829861659,1,low:8:1
low,low:13,low:13:0,1686,0.8668668668668669,8,0.005695684237976755,0.9999924009402552,0.4070939721451888,0.974015150675739,0.9678859558624957,-0.0002831929085106518,0.0016927224724693313,0.0007047647819793398,0.9999980478798387,2.2950231062487356,0.001975915380979983,2.2930471908677554,0.0011887204346029544,-0.9999999851423902,0.42303680119961384,0.9999597799133303,0.7730613737476041,0.9451715526679211,-0.172110178920317,0.5769229787137165,-3.138005605498418,-0.01637143160977985,0,low:8:0
low,low:20,low:20:0,604,0.32632632632632635,3,0.03035131200949059,0.8648707076808756,0.5906689193448069,0.9999547514806618,0.7787568251077901,-0.10232318490132455,-3.1400166386436363,-1.6211699117724798,-0.9946073319290505,1.5939787222797859,3.0376934537423117,-1.4437147314625258,0.7937580715031314,-0.03240107359014697,0.997350611696591,0.3353588025389686,0.7730613737476041,0.6158701769876131,0.15719119675999094,-0.6619918091576225,-0.13335464940674874,3.128902612313626,3,low:3:3
low,low:20,low:20:0,784,0.4164164164164164,4,0.01758792008345594,0.8172144355176468,0.2878315965626734,0.9982816553996826,0.9846938527969384,-3.141128245093518,3.1326933032265147,3.1373751826562915,0.9999561603303333,2.2785246950302893,0.009363758859553673,2.2691609361707354,0.002889417145934155,-0.9999871636086702,0.9998133103044085,0.48104144981877683,0.4811348654790497,0.6158701769876131,-0.13473531150856344,-0.5187718604856316,-0.34401542156200765,3.1382474973057266,2,low:4:2
low,low:21,low:21:0,468,0.25875875875875876,2,0.026474752025261925,0.9984960967943165,0.4078827092365668,0.7618215349032138,0.9805057942247735,-1.721635883903282e-06,0.19884282407328685,0.09942055121870147,0.9802954768899532,1.6741488424590227,0.19884454570917076,1.475304296749852,0.04418400279583779,-0.9953014720838322,0.18241545317846006,0.7434992571534806,0.7730613737476041,0.7730613737476041,0.0,0.5610838039750206,-3.1412606602274606,3.1269813419265917,3,low:2:3
low,low:21,low:21:0,1053,0.5515515515515516,5,0.023860647891294738,0.9884606308095606,0.37940768911670136,0.992232695202464,0.9707607085665391,-0.00745794789336753,-3.14157871914542,-1.574518333519397,-0.9999720856170352,1.5737065229401979,3.1341207712520527,-1.5604142483118548,0.37940572804677064,0.003215199405775103,0.7735864545759139,0.9999912509007811,1.0649878820161585,1.4378932696768452,-0.3729053876606867,0.2264047963248672,-3.13930329220883,-0.0064763512317983505,3,low:5:3
low,low:21,low:21:0,1098,0.5740740740740741,5,0.03605543142855369,0.956060628721722,0.5901483895415092,0.9819269882033664,0.7957645821346792,-0.08542038970498633,0.0007735685133133147,-0.04232341059583651,0.9962876000455727,2.2596322938501627,0.08619395821829964,2.173438335631863,0.04216676073789488,-0.9974441027421572,0.12562067324622642,0.9997424979755909,0.7730613737476041,1.145966761408291,-0.3729053876606868,0.8741218247293645,2.9917881549837655,0.25173744025951,3,low:5:3
low,low:23,low:23:0,784,0.4164164164164164,4,0.0036054475283385764,0.9999557335772528,0.012344715083691627,0.8562971358704613,0.8337317716775873,3.1388961619779456,3.1183911943344143,3.12864367815618,0.9997897805167536,1.715688875279791,0.02050496764353138,1.6951839076362596,0.011691546835499078,-0.9258171225568984,0.9584478755216492,0.9991768301285965,1.6342747395679333,1.0649878820161585,0.5692868575517749,0.040728954606947254,2.092271710986991,-0.1370800634836911,0,low:4:0
low,low:23,low:23:0,1189,0.6191191191191192,6,0.0033715233387210763,0.9999887402477176,0.4955291250017555,0.9998331839072333,0.9020822477465134,-3.1409536379091927,0.0014669963860593344,1.5718493328282166,-0.9999996572239953,1.5524718702244402,3.140764672884335,-1.5882928026598946,0.7473007856191327,0.003308334390345299,0.9998321286249334,0.8560727028346948,1.342348231299379,1.571459946172315,-0.22911171487293602,-0.1437594257902386,0.052516363936818744,3.103979055718289,0,low:6:0
low,low:23,low:23:0,1774,0.9119119119119118,9,0.0021348002385439884,0.9990726502210657,0.40106913384299775,0.9997771979622183,0.8179540726414729,-0.002097795982110138,-3.139464389501831,-1.5707810927419608,-0.9999910702214323,1.5968798067844605,3.137366593519721,-1.5404867867352605,0.40104760817458973,-0.010360432210502512,0.7335558065575709,0.9994609576029452,1.0649878820161585,1.7858893831502392,-0.7209015011340807,0.26590515104537427,3.030721873854281,0.011921247831920468,0,low:9:0
low,low:24,low:24:0,513,0.28128128128128127,2,0.16539386712728704,0.9898302108857472,0.3473334069923844,0.851360879315268,0.9967667889011497,0.525159887652811,-3.0702158867012566,1.8690646540655704,-0.898795135540963,1.4313205682665326,2.687809532825519,-1.2564889645589863,0.24093943600686693,0.9073214544433148,0.8046762758825747,0.9832580818970349,2.531816277381291,1.7061952576808785,0.8256210197004124,0.17858180601446016,2.367271780958334,0.572026127017455,4,low:2:4
low,low:25,low:25:0,1233,0.6416416416416416,6,0.008256388570849297,0.9999078303728494,0.6616850969221415,0.9999741925992924,0.9635316371435739,-3.1413468773190716,3.141211973220351,3.141525201540433,0.9999998037760454,1.0422777029401975,0.0006264566401637202,1.0416512463000338,0.000989698596597485,0.9999996526390066,0.12455495197606037,0.9837480380354691,0.7730613737476041,0.7730613737476041,0.0,0.8591930860594087,-3.1130726718115427,1.5447398927806586,1,low:6:1
low,low:25,low:25:0,1638,0.8443443443443444,8,0.006193136670092107,0.9999664097093449,0.4578658623799621,0.9999665021175627,0.8805141509579687,-3.141481430250286,-0.0008211166769623758,-1.5711512734636712,-0.9999995653710784,1.505287122928949,3.1406603135733233,-1.6353731906443743,0.7285671785408735,-0.0036288238608906957,0.999812186111322,0.21666456216793012,1.0649878820161585,0.4811348654790497,0.5838530165371087,-0.7831476239433919,0.006165138123211826,-3.127688411190188,0,low:8:0
low,low:26,low:26:0,1143,0.5965965965965966,5,0.011144292371194197,0.998284358280493,0.7061897112441098,0.965493052816557,0.8791523595128953,-3.1325008857491534,8.3602691294973e-05,-1.5662086415289234,-0.9999594267546887,1.4683896794359363,3.1325844884404486,-1.6641948090045122,0.8523801988036428,0.001943497391460517,0.9998487770298403,0.5002760616117481,0.7730613737476041,0.4811348654790497,0.2919265082685544,-0.49957271541809223,-0.000588822557947107,3.134107771315963,1,low:5:1
low,low:26,low:26:0,1413,0.7317317317317317,7,0.03259733117826171,0.7851317037702787,0.6855739181117408,0.999895601754352,0.876453643189346,3.105381467617173,-3.1382438488097852,3.125161462993487,0.9992176056106141,0.8460162329928306,0.03955999075262831,0.8064562422402023,0.016327342372951012,0.9997163687859827,0.1871446713389811,0.9998102694485668,0.4811348654790497,1.2807020729168546,-0.7995672074378048,0.8126655981095856,-3.033429289147496,0.0005178983797236095,3,low:7:3
low,low:27,low:27:0,960,0.5065065065065064,5,0.004870693240046862,0.999731342281319,0.6498427758860807,0.7561181372021715,0.9549681574139578,-3.139348822916898,-0.0011931781796038433,-1.570271000548253,-0.9999940934908884,1.567215331762706,3.1381556447372945,-1.5709403129745885,0.6498415727263438,-0.0019242978479454581,0.70164184661854,0.9999799864859056,1.145966761408291,1.1997231935247221,-0.05375643211643122,0.29833813986736557,-3.1328586824736555,0.006951589584424957,0,low:5:0
low,low:27,low:27:0,1140,0.5965965965965966,5,0.06794199515255167,0.7784342731183354,0.7124206317976641,0.8954446334321198,0.8962993321353566,0.012931938377160288,0.5019025914516514,0.25741726491440586,0.8828168283955315,0.9893867518185497,0.4889706530744911,0.5004160987440587,0.1303726981917794,0.986520165609137,0.45423235657756666,0.9986431817480006,1.0649878820161585,1.3423482312993789,-0.2773603492832204,0.5444108251704339,-2.7747081358990755,0.07768115260783343,4,low:5:4
