window,condition,closure_class,class_name,windows,tracks,information_nats,traversal,path_length_px,handover_rate,reverse_flow_rate,coherence,rational_distance_q8
8,high,0,low-order closure,985371,1708,0.00042358387555812427,0.9777399158956864,23.838445079842273,0.887983007733111,0.7305547859638654,0.9609913430473361,0.006553838995851136
8,high,2,random-like,7294,625,0.003944614729506486,0.6890622809226858,4.872520601076351,0.8925062347395772,0.48908349328214973,0.1640422987914605,0.02006570664154752
8,high,3,unclassified,70652,1103,0.0013916220632439933,0.8250130560540023,6.613860667248439,0.8968561197337452,0.49361659967162996,0.5762682285588152,0.02256306303270129
8,low,0,low-order closure,675540,1800,0.002245116956448392,0.9736011711284798,27.71044190640651,0.8586669239716612,0.8433266349883056,0.9708288880778008,0.007719550703428398
8,low,2,random-like,6266,713,0.00794971488754206,0.5835904040970619,9.817361290578358,0.9034433754350767,0.5365863389722311,0.15852825918737173,0.019702209392722686
8,low,3,unclassified,43313,1356,0.004070694629114485,0.7472672142869141,11.35776782370037,0.8810261569416498,0.5610469143213354,0.5599591606794287,0.024815495390363304
8,medium,0,low-order closure,763647,1857,0.00019813813613600418,0.9741555563399548,28.288435138900113,0.8659251800551407,0.8004609786982729,0.9652786905368745,0.007541627023944919
8,medium,2,random-like,4807,534,0.00045036454117739584,0.6418106783098694,5.1108761201122155,0.891969548376871,0.47438631162887457,0.16472867661543222,0.020695048105383963
8,medium,3,unclassified,48301,1195,-0.0013562988982857068,0.795231814635769,7.685718264521956,0.8897227307726054,0.4897569408500859,0.5772372033930399,0.023671304880463834
15,high,0,low-order closure,944841,1708,-0.0001717144324856067,0.965193886151133,44.54921596247905,0.8887742083052723,0.7272471593986007,0.9575229713084816,0.004981860732821455
15,high,1,structured non-closing,4509,629,0.0004614311351948396,0.6174081905777163,24.00421882262757,0.7866499952328295,0.5524506542470614,0.8522818691943869,0.042789497149824426
15,high,2,random-like,5349,388,0.01032991539967458,0.6021293320145157,8.100771452855762,0.8794358048424229,0.4850501651399015,0.16403058224890138,0.02244799294446195
15,high,3,unclassified,69101,998,0.0020188252235704206,0.7892863694214037,12.418178659903202,0.8941158100793996,0.49369859577526615,0.5890789988506958,0.01919657089346542
15,low,0,low-order closure,603225,1800,0.0011887935302697134,0.9557403736431017,50.45080355050672,0.8634425160013212,0.851683423819194,0.9676263080500052,0.005751930988144397
15,low,1,structured non-closing,8714,850,0.002357499356364028,0.5729997091523937,32.949234043586145,0.7254927508800586,0.5036186978808049,0.8788017838927522,0.043258477732798284
15,low,2,random-like,4357,381,0.004891697377530665,0.49923049187915536,16.073912184303627,0.8954200684175437,0.5417948129446867,0.16101702517191194,0.021750375455703817
15,low,3,unclassified,41267,1150,0.00433592923661563,0.7019229573627571,19.765892475004016,0.8882884169408511,0.5619082236815535,0.5806544674984943,0.021301250710171873
15,medium,0,low-order closure,711008,1857,0.00016653201341075734,0.9565608925848659,52.982530170381274,0.8659524561579399,0.801022398247746,0.962308917807412,0.0058427512837890055
15,medium,1,structured non-closing,6608,732,-0.0006867098625984162,0.5982160050082374,30.55323486577974,0.7601076284490329,0.5464991928974979,0.864291964165987,0.043082047142591694
15,medium,2,random-like,3016,294,-0.0010149162254821146,0.5586896930658699,8.797784393865932,0.8899514508848063,0.46343943412908933,0.16550874546550198,0.022316460176391134
15,medium,3,unclassified,45033,998,0.0004943887750970975,0.7500042736496736,14.36418477612904,0.8899556655085933,0.490021391720146,0.5937000981720588,0.020058207168646553
30,high,0,low-order closure,859543,1708,-0.0003139521562550306,0.9354901170154772,88.48566333061895,0.8886515828459942,0.7194231896096723,0.9532962464736421,0.0039108015870912925
30,high,1,structured non-closing,17763,862,-0.0007518002695111543,0.6272355695888804,53.71059316616714,0.8456190375772212,0.5463773011315656,0.8658315386494803,0.023184853314884353
30,high,2,random-like,2687,142,0.007518902502763892,0.5289078927167964,16.223965392249,0.8751025954795617,0.48010172435181736,0.1589988359819231,0.024240997704455067
30,high,3,unclassified,62775,847,0.0008748641841454188,0.7324235912196636,25.274548863332203,0.8929952963631657,0.4922224877206956,0.6126967086837044,0.014021370673478
30,low,0,low-order closure,478631,1800,0.0008572331159312852,0.922829777108079,95.67967518629703,0.8700878158084351,0.8658676516982811,0.9641147241118979,0.003925012345825297
30,low,1,structured non-closing,26157,1023,0.0015568427448515313,0.5645701089438806,74.72809018889899,0.7876557747347376,0.5245313555326171,0.8900495319537824,0.024678849989552856
30,low,2,random-like,1566,112,0.0020746799257680077,0.4274475482529155,30.906791494931138,0.89272030651341,0.549467858663261,0.16287246672725697,0.023932557177538862
30,low,3,unclassified,34162,847,0.0025176008852661044,0.6375298743757342,37.083514785326955,0.8953879415442942,0.5681488203266787,0.603151275031904,0.015358028082232073
30,medium,0,low-order closure,602874,1857,-2.0050383952892574e-06,0.915688043541099,105.78689205871616,0.8643337429431478,0.8030659253287862,0.9593247023755854,0.004521660244562048
30,medium,1,structured non-closing,27595,974,-0.00021701183840121523,0.6054985199064515,73.4160150416828,0.8142961013399909,0.5395941293712629,0.8941893582993179,0.022920948153210337
30,medium,2,random-like,903,62,0.005460924453030791,0.46463629342483526,17.140001452886075,0.8883166565919873,0.41797711332595056,0.16694842570386367,0.024874111958438982
30,medium,3,unclassified,37617,732,0.0012177538844692758,0.6765275955613084,29.54360806306017,0.8926371190333864,0.482939451134682,0.6199344789456571,0.014672479157366145
