d_bin,g_bin,windows,tracks,directness,turn_consistency,circularity,connection_info_nats,movement_info_nats
0,0,16296,3064,0.026394620455481823,0.008514434560924046,0.008273203104697424,0.2804852860651972,-9.647209415437072e-05
0,1,1340,935,0.029727327949614968,0.07179188271693594,0.06965634274611009,0.2953480995549505,5.089761141003139e-05
0,2,810,524,0.030090374238638935,0.12289536187013632,0.11919503647598406,0.30729818971525935,0.0005725471458858331
0,3,726,515,0.02974520079703366,0.17737220470010495,0.17210546601910282,0.2960201458172387,0.0006212828650676431
0,4,1072,764,0.0298426844264565,0.22625480042432167,0.21948801286219297,0.29645864730731303,0.0005558867413078402
0,5,1836,1216,0.0295858665268212,0.2784580472080292,0.27023005701029457,0.2832682289422755,-0.00012419420759697314
0,6,7794,2458,0.026506617531393786,0.32570452451666176,0.3170766110461277,0.270646995818997,9.87137243040963e-05
0,7,1323,964,0.03040038881217375,0.37287012830524885,0.36152271459749064,0.3410932775658878,0.0002335323023638394
0,8,1226,934,0.029860427110426007,0.4248204759021635,0.41213814008281224,0.36469941025321495,1.3461051254741074e-05
0,9,2101,1304,0.029119320904241967,0.4803050111290985,0.46633218475483046,0.35104194769455044,0.00038121912297780066
0,10,1593,1131,0.030529009750916065,0.5235301116508769,0.507544280012789,0.3747535928788194,0.00017998181843956076
0,11,1890,1299,0.030222760824122053,0.5758161799049363,0.5584200693502825,0.39785881105353954,0.00041643024815930454
0,12,2065,1380,0.0296647817533775,0.6257183766835438,0.6071574007459632,0.40575971911415587,-0.00017088372363599784
0,13,2459,1547,0.029111870380573335,0.6759294545998155,0.6562510172652327,0.4173467218068235,8.634704635430843e-05
0,14,2844,1737,0.028799896197684662,0.7259316527421243,0.7050294165531293,0.40764448282525606,0.0003193563552326001
0,15,3522,2021,0.027802460898044033,0.7762197408656694,0.7546415469776824,0.41515791697155735,0.00017648358325500903
0,16,4821,2403,0.026924269209371146,0.8265232602537806,0.8042725066200103,0.40875561267581506,3.112917514168657e-05
0,17,7752,2828,0.0263646904189368,0.8774671869735928,0.8543374412790009,0.4133797165312807,-3.1864641556836395e-05
0,18,15136,3243,0.025743968470428584,0.9283715586609257,0.9044763128013545,0.40842188044718747,6.228621803470966e-05
0,19,29925,3473,0.025567638786007017,0.9750494913808603,0.9501179290764967,0.418001960707571,0.00014430212588291118
1,0,18782,3126,0.07519157034540051,0.009953969117265418,0.009204971803321875,0.2826537517477237,-0.00012460161652376838
1,1,2114,1272,0.07566306660737089,0.07136429310782844,0.06596090626146232,0.28550879298503345,0.0004710647871882899
1,2,1258,822,0.0755926531428256,0.1240992949310707,0.11471676693091115,0.31625430078143246,0.00030993433561388634
1,3,1264,897,0.07585333809113963,0.1777779021385383,0.16430118249834383,0.3111758562850524,0.00021501025430490818
1,4,1748,1163,0.0756311899254862,0.22597000952354224,0.2088769920235363,0.3084328834543842,0.0002750459224264939
1,5,2889,1662,0.07527779926039736,0.2777423049276853,0.25683188692374137,0.3014395022839691,6.595940808316147e-05
1,6,8742,2588,0.07530740793404858,0.3257533376623876,0.3012224885302211,0.2722145162080129,0.0001583854521630436
1,7,2269,1466,0.07626576921187968,0.3737913045660976,0.34528461251244674,0.3500739800449155,-0.00024343597170351278
1,8,2162,1378,0.07587265737891963,0.42496971815136253,0.3927322603753754,0.37271527545227395,7.170382029366252e-05
1,9,3068,1679,0.07544296041067902,0.47861967015394397,0.4425100163055144,0.3606197413353362,5.288957324265352e-05
1,10,2630,1571,0.07589309083558426,0.5241440502721211,0.48436840869782444,0.3924950499553879,-0.0002923609113186552
1,11,2838,1626,0.07516996112303381,0.5758980072878536,0.5326100673741665,0.39914187857373645,0.0003576324553990312
1,12,3055,1715,0.07559364436654979,0.6252337843991724,0.5779740703586185,0.416579983726245,3.309147667908888e-05
1,13,3259,1784,0.07501386186029411,0.6756662676974358,0.6249784343813962,0.42028000665921733,0.00027800681273119606
1,14,3762,1974,0.07526842509927723,0.7255691800393645,0.6709617579747839,0.4152481795593129,0.00010115443957942948
1,15,4476,2252,0.07532950464304583,0.7759276607811603,0.717476886268648,0.4203513950552428,-1.2744148783773298e-05
1,16,5736,2529,0.07513371325419661,0.826262035535655,0.7641822705574057,0.4206271819459147,0.00024253307316291888
1,17,8575,2952,0.07553344487966084,0.8770036301964683,0.8107622922662826,0.42239928970019364,3.5058736525178834e-05
1,18,16036,3327,0.07522401658228813,0.9283977605685837,0.85856372810675,0.4149323551630888,8.088763701475525e-05
1,19,32473,3622,0.07527579723913863,0.9757982422714672,0.9023411357404424,0.443216077700026,5.9040155478333215e-05
2,0,19615,3212,0.12516417199372443,0.010128765079801663,0.008862470036806815,0.2836860272194386,5.7118771654599625e-05
2,1,2396,1438,0.12547456151562272,0.07146126724995724,0.062489948842027195,0.30327492793076416,0.00032411043022963253
2,2,1388,985,0.12507720180313928,0.12412208585546775,0.10859397934377396,0.31473310186981485,-0.000166285202711311
2,3,1448,1056,0.12526490499312692,0.17707554658656563,0.1549006138795637,0.3048954546951476,0.00031601799165709724
2,4,2029,1318,0.1258591668658179,0.22598385451174652,0.19754187474444504,0.31125253405599185,-0.00017683255852427997
2,5,3134,1764,0.12491499180204002,0.27748524152161436,0.242826266305756,0.3036277851200949,-2.292321360467346e-05
2,6,9219,2628,0.12522969142466675,0.3258259323974426,0.2850202245429205,0.2796236590286809,1.3210953548610483e-05
2,7,2404,1528,0.1255194717705016,0.3734530640466506,0.3265726097275756,0.3470132755991935,2.337923167686943e-05
2,8,2347,1505,0.12531243211195472,0.424867448092794,0.3716367461457562,0.36016484968442347,-2.011678880394883e-05
2,9,3178,1744,0.12496641328518739,0.47861635657468987,0.41879973689004135,0.36762708382479214,-3.5915572234207424e-05
2,10,2778,1648,0.1247954669882161,0.5242381775655831,0.45881503886633684,0.3921888101279465,0.00029515426106912156
2,11,2956,1696,0.12544622186932644,0.575497440314083,0.5032980883089448,0.4007943362832147,0.00013583831309864865
2,12,3129,1766,0.12527321593255575,0.6251494980482993,0.5468376341103185,0.4095998738818421,0.0005152854823234614
2,13,3387,1848,0.12572896675692846,0.6751203866470015,0.5902364250752651,0.42016961397500335,0.00027499967368377093
2,14,3872,2070,0.1250243182474524,0.725859998914877,0.6351086247833501,0.42654638134779155,0.00036474229299461494
2,15,4519,2244,0.1251842158970798,0.7756580814070492,0.678557478545965,0.42515833744823095,-0.00012860317238794992
2,16,5782,2583,0.1250751633716032,0.8262260860873889,0.7228879499264125,0.42868376080597076,-2.8330978267668595e-05
2,17,9075,3043,0.12504047815780617,0.8767518601524937,0.767122390510593,0.42981698396166523,0.0002849795928415532
2,18,16342,3379,0.12509750601624248,0.927977823609669,0.8118903541409973,0.4221345852577114,-2.9259861944758266e-05
2,19,34142,3767,0.12509865022736008,0.9763267627312966,0.8541866810814829,0.46404466893874713,8.880802634834716e-05
3,0,19779,3243,0.17495245491069247,0.010365108801712814,0.008551336704327622,0.2818216513622365,-7.183547435615048e-05
3,1,2424,1495,0.17517427011925804,0.07171041293120729,0.05915217952432585,0.30631470132803085,0.0002882777477959793
3,2,1431,1054,0.17496348695171657,0.12380101531416196,0.10213956321457687,0.3144262619930552,0.0003215748209673531
3,3,1502,1096,0.17435132016262894,0.17726492780364286,0.1463583492590796,0.3046082539659232,0.0006771770306717219
3,4,2142,1434,0.17545710476381607,0.2259429370955705,0.18629893140815992,0.3064538415505475,1.20950178937616e-05
3,5,3256,1814,0.17472965403690185,0.27725046410026194,0.22880525731481094,0.29539783826323784,1.4679989345424146e-05
3,6,9456,2725,0.17509540119484812,0.3256597389135832,0.2686370658961777,0.27890273312399316,0.00032184394332687716
3,7,2614,1641,0.17442545780013288,0.3734950037038,0.30834937936687934,0.3481322524390866,-9.000706963716651e-05
3,8,2410,1530,0.17531356313761262,0.42586411646616945,0.3512081115040363,0.37315964375723853,0.0001008186719519962
3,9,3225,1821,0.17487001464975346,0.47809253846441574,0.39449436720556996,0.371289938780743,0.0003154217290079801
3,10,2838,1688,0.17548697432462856,0.5243668560741603,0.4323471329524669,0.3975869142438342,0.000237806468118212
3,11,2896,1727,0.17527951677379225,0.5757836155708173,0.47485526285179586,0.40709539780175613,-0.00018196745837726136
3,12,3131,1781,0.17516395080482303,0.625140447413791,0.5156310155357129,0.4105502866324003,0.00015164897249217516
3,13,3364,1858,0.1749289068184646,0.674965135395198,0.5568995868451044,0.42274250380487743,0.0001335765071866617
3,14,3975,2103,0.17491024171516245,0.725345106577759,0.5984711258843549,0.4299124361065106,0.00031502562286116274
3,15,4759,2370,0.17487635881715977,0.7755158139331179,0.63989740897847,0.4303073035343299,0.00010655238360256577
3,16,5783,2664,0.17482561820601614,0.8263668984419036,0.6818903482344172,0.4346688709404122,0.00018539010888019404
3,17,8940,3099,0.17518595130802297,0.8771837259080439,0.7235127658018805,0.42905611558291246,6.17070031497459e-05
3,18,16671,3441,0.17503616011118264,0.9281486732998924,0.7656902959718414,0.42437649692317386,0.00010900679352241315
3,19,35733,3855,0.17511089570336374,0.9767512191276716,0.8057111202812126,0.47816881528536137,7.988586537833182e-05
4,0,19749,3262,0.2249064947169831,0.01033527534041777,0.008008811989015723,0.28570169230818926,6.561102778430425e-06
4,1,2454,1516,0.22451536148011048,0.07116516114094949,0.05518921386944759,0.30356451892741,0.0005006090855959376
4,2,1461,1086,0.22547669020599048,0.12465428610378866,0.09654166452086356,0.32565941384972097,0.00044510281721542696
4,3,1498,1101,0.22504064032394336,0.1772276183893494,0.13735148604495379,0.32000046432298423,0.0007568496324467315
4,4,2098,1400,0.2253295399024329,0.22631107841925133,0.17531757751894542,0.3142109962831878,0.00018702639219407205
4,5,3129,1807,0.22525558959916048,0.27704333979999474,0.21463733941669882,0.30409766451431297,0.0003857279992179778
4,6,9415,2741,0.22492869032699267,0.32584577554876815,0.2525544830171281,0.2819966406197964,0.00016464467973008489
4,7,2745,1687,0.22526818961573425,0.3738825860357415,0.2896608834319364,0.35336637923263925,0.00036387244016648285
4,8,2443,1559,0.22501043758966913,0.4254832796461483,0.32974454278665716,0.37126382692914045,6.696417804835959e-05
4,9,3244,1828,0.2251490174626902,0.4782863245083702,0.37059743689168445,0.37215466223953464,3.6751666894130096e-05
4,10,2902,1769,0.22458458183444216,0.5243403687752471,0.406583966504884,0.40116567710383416,0.0005556249488210789
4,11,3124,1808,0.2246057161322955,0.5756000621209965,0.4463185779935301,0.4106494177946552,-2.3143411068416724e-05
4,12,3281,1862,0.22469031686277888,0.6254778886054616,0.4849385572911463,0.42607559081352314,0.0002036705696613691
4,13,3641,2030,0.22504698735219314,0.6752532342580086,0.5232882540625468,0.43077733390263967,0.00014881079544687748
4,14,4181,2191,0.2251211623491347,0.7257486102823806,0.5623695558051257,0.43454557529919424,0.00027294115379301724
4,15,4792,2364,0.22501484265529256,0.7756901054088425,0.6011463497022449,0.44062673935353625,0.00022362531101838336
4,16,6187,2753,0.2254830252761539,0.8260335099055058,0.6397773763353434,0.43747038277330336,9.423065735781918e-05
4,17,9321,3121,0.22516845981949343,0.8768226929656372,0.6793878208824148,0.43878798971441285,1.3984960465580402e-05
4,18,16901,3476,0.2250571089328062,0.9282107503468351,0.719310689330774,0.4280344554347133,2.5123098199268016e-05
4,19,35701,3919,0.22500304311557437,0.9767805913236913,0.7570005988569952,0.49071033181049545,0.00015798970747548527
5,0,19957,3286,0.2749522257581808,0.010427164935690124,0.007559404805949447,0.28568809185413524,5.5147596707166404e-05
5,1,2652,1612,0.2753835601868186,0.07110423091596726,0.051520545190593535,0.30646744469261084,0.0003667832472005148
5,2,1475,1102,0.2749490989268992,0.12377031376899926,0.08974281968212036,0.32704196155162607,0.0006441368356820497
5,3,1506,1123,0.27491928255015885,0.17690391171090278,0.1282685731958396,0.32534744956273964,5.436565398077104e-05
5,4,2086,1414,0.27478427131241767,0.22577658205664705,0.16373119471546865,0.3100635124891043,0.00048717919195978825
5,5,3305,1864,0.2750704905381205,0.2770617242834854,0.20085591407016248,0.30579328980821446,0.0005312546492026756
5,6,9439,2767,0.2751205593019319,0.3256783041120592,0.2360749352541553,0.28151780130270565,-2.180779518032371e-06
5,7,2688,1698,0.2749819211959765,0.37374073565931537,0.2709705985024283,0.34992938679995716,0.00015264622297255368
5,8,2558,1602,0.2756526587782288,0.4254031761304106,0.3081497734090266,0.38326047735650093,0.00019273798825698743
5,9,3330,1877,0.27470943582040713,0.47835221102373854,0.3469428430271354,0.3727750351919251,0.00010019025091587743
5,10,3056,1801,0.2752689417782421,0.5249403815019754,0.3804406348484977,0.41009720428888563,6.162047985125648e-05
5,11,3102,1827,0.2750490114730539,0.5756229517045309,0.4172958235678869,0.4170619788962595,0.00023755385909547008
5,12,3341,1866,0.27515480548185084,0.6253425310501004,0.45327613922998644,0.43065346465440485,0.0006902286692359221
5,13,3801,2069,0.27499698695083113,0.6751006772684075,0.48944608233693493,0.4381834870884357,-5.78822414211287e-06
5,14,4138,2231,0.275248008551974,0.7254757956127115,0.5257853219690928,0.43758592273982894,0.00026402031298055576
5,15,4884,2461,0.2752377703104908,0.7753431934310184,0.5619381412086433,0.4513075039448097,0.00011147685937058622
5,16,6410,2819,0.2751989955890805,0.8262926463671644,0.5988965938641847,0.4473193510518549,-9.774310286899775e-05
5,17,9589,3194,0.2752752789144486,0.8768915695969342,0.6355045821133832,0.4417624765867368,1.3685135440996199e-05
5,18,17255,3514,0.2752131178538994,0.9280849004372841,0.672664951877572,0.4315375379821731,-1.2439479468078031e-05
5,19,37347,3994,0.2750808212835943,0.9770747985256518,0.7083017078877752,0.5044621017467261,0.00026532542037500755
6,0,20107,3324,0.32499467723607267,0.010655411854000403,0.007193174550808623,0.28971387629174444,7.776820504142289e-05
6,1,2587,1569,0.3249774310250552,0.0715545338841237,0.04830329319278217,0.3123487445070746,-1.0338875488390519e-05
6,2,1615,1172,0.3251811055391732,0.12369468297113335,0.08346178092110679,0.3334210782815566,0.0005532525612731228
6,3,1634,1205,0.32562773613981544,0.17675532925252596,0.11920410345348789,0.3373582684063545,0.00023513136274280153
6,4,2172,1457,0.325270067389365,0.22571159510265523,0.15229341047463843,0.3237427558992013,0.0006084143549730262
6,5,3235,1884,0.32500623317996996,0.2771991071329835,0.18710128826167183,0.3100268919295599,3.646470825393565e-05
6,6,9430,2805,0.3251761454569864,0.32578207095334144,0.21984563077045535,0.28300291210439027,0.000128641158416576
6,7,2769,1772,0.32455042514371263,0.37349688144532645,0.252281891034928,0.37092756307465274,0.0001345708543206413
6,8,2657,1660,0.3248932979189223,0.425292600112069,0.2871219089731471,0.3900163112377809,0.00021914026796917242
6,9,3410,1942,0.3251952126370221,0.4784651536255204,0.3228659216733009,0.3856053727346669,-2.3995868752465226e-05
6,10,3036,1821,0.32550013599338323,0.524596744194334,0.35384111145644176,0.4111511495861688,8.625338031590604e-05
6,11,3269,1873,0.3251698184465519,0.5754866594960001,0.3883591094065905,0.42917468962880984,0.0005550289691302775
6,12,3561,1988,0.3251027788524645,0.6254788000944606,0.4221344841042707,0.43892920518527345,0.000308350314717075
6,13,3817,2108,0.3249765699558956,0.6750340650941671,0.45566070499439615,0.4383474259275762,0.00025125816676653366
6,14,4361,2278,0.32558562413980435,0.7256424502056429,0.48938844389771025,0.4499774268581192,0.00013562123257161485
6,15,5249,2582,0.3254804233708375,0.7754266317320625,0.5230417708035369,0.453513123206491,0.00012961238626643096
6,16,6473,2864,0.32521940488891554,0.8258256920500556,0.5572467760493188,0.4553678349099382,6.059425239052193e-05
6,17,9708,3269,0.32528040068839936,0.877000024851017,0.5917293482470682,0.4485052391097356,7.852552829212573e-05
6,18,17553,3558,0.3251247808372624,0.9280305932264135,0.6263039386185141,0.43741579347313164,0.000255720331834217
6,19,37652,4073,0.32508472377680314,0.9773070498696333,0.6595986210691891,0.5169672084193367,0.00017952570984316088
7,0,20494,3343,0.37495547491852366,0.010419413056741048,0.006513104237628221,0.28776282104326,-0.00010936436340827471
7,1,2787,1672,0.3758025342500088,0.07212314759936375,0.045019149990541095,0.3215966742434487,0.0003207811943004909
7,2,1686,1229,0.37576083043243974,0.12373627878805254,0.0772431221427598,0.3331437449191925,0.00030532169106876883
7,3,1690,1215,0.3750303298017786,0.17739429444493401,0.11086597810435768,0.3394118553502801,0.00023256486498778796
7,4,2183,1474,0.37530556942761834,0.2263341293436648,0.14138867218847445,0.33016873062498786,0.0004990472928909252
7,5,3290,1924,0.374894596308742,0.27747808412289404,0.17345191497429596,0.31595177570814875,0.0003395065230477323
7,6,9450,2829,0.3749923823529946,0.32584549564976995,0.20365802258595783,0.28928495625529344,0.00023254546819865857
7,7,2924,1835,0.3751547757801778,0.37416861471308904,0.23379232363918764,0.3712349602612102,0.00016716837226863674
7,8,2695,1720,0.3753279026311299,0.42559476248478517,0.2658574725793082,0.3965927666925475,-1.5588846011444677e-05
7,9,3566,1968,0.3745263805880619,0.47844111670356393,0.29924923828405775,0.3920174134287702,0.00026095404641312447
