condition,current,next,count
low,Ba,Ba,25486
low,Ba,Ab,46443
low,Ba,bA,39804
low,Ba,aB,89081
low,Ab,Ba,51873
low,Ab,Ab,41778
low,Ab,bA,85206
low,Ab,aB,42102
low,bA,Ba,38759
low,bA,Ab,89247
low,bA,bA,24980
low,bA,aB,40766
low,aB,Ba,85264
low,aB,Ab,43225
low,aB,bA,43966
low,aB,aB,22299
medium,Ba,Ba,29385
medium,Ba,Ab,50016
medium,Ba,bA,45296
medium,Ba,aB,99914
medium,Ab,Ba,55825
medium,Ab,Ab,37913
medium,Ab,bA,90460
medium,Ab,aB,45818
medium,bA,Ba,44331
medium,bA,Ab,96387
medium,bA,bA,24561
medium,bA,aB,43276
medium,aB,Ba,95651
medium,aB,Ab,46692
medium,aB,bA,47713
medium,aB,aB,24733
high,Ba,Ba,32915
high,Ba,Ab,62242
high,Ba,bA,55047
high,Ba,aB,134076
high,Ab,Ba,71439
high,Ab,Ab,39474
high,Ab,bA,124695
high,Ab,aB,55762
high,bA,Ba,54068
high,bA,Ab,132941
high,bA,bA,25943
high,bA,aB,50040
high,aB,Ba,126087
high,aB,Ab,57222
high,aB,bA,57056
high,aB,aB,26212
