condition,file,file_bytes,sha256,sha256_matches_official,x_header_particles,y_header_particles,common_particle_ids,x_only_particle_ids,y_only_particle_ids,joined_tracks,tracks_without_overlap,duplicate_join_frames,joined_positions,x_data_cells,y_data_cells,x_duplicate_particle_frames,y_duplicate_particle_frames,x_invalid_time_rows,y_invalid_time_rows,min_time_s,max_time_s,ara_events,near_zero_quotients_excluded,eligible_tracks_20_events
low,Spheres_lab_low.xlsx,25440750,bf6bf4536bccabb6cb1991db52b2b630bed65de25475482d229bf1552cfbf549,True,1902,1800,1800,102,0,1800,0,0,866096,915309,868655,0,0,0,0,-1.08,25.52,828198,848,1800
medium,Spheres_lab_medium.xlsx,24562936,d42724a1f136a3b3b4d1e37a90cfb9e9bc2c4319d86392a89ff34e1ab62a70a7,True,1857,1857,1857,0,0,1857,0,0,918700,918700,918700,0,0,0,0,-0.72,28.99,900886,3819,1857
high,Spheres_lab_high.xlsx,32666637,2dfd229ac0561a5fc6601ddf9052f13d391b8e54862ea5e09d099a40af91064e,True,1800,1800,1708,0,0,1708,0,0,1128180,1191473,1128180,0,0,0,0,-0.73,15.0,1117939,3381,1708
