elevation_rank,path_type,candidate,lag,observed_return_ara,predicted_return_ara,absolute_error_ara
1,thalweg,persistence,2,0.1558932787464281,0.0,0.1558932787464281
1,thalweg,persistence,3,0.2167521205393408,0.0,0.2167521205393408
1,thalweg,persistence,5,0.16564245753617396,0.0,0.16564245753617396
1,thalweg,persistence,8,0.19949689649139124,0.0,0.19949689649139124
1,thalweg,persistence,13,0.2857935009649731,0.0,0.2857935009649731
1,thalweg,persistence,21,0.3935804610211156,0.0,0.3935804610211156
1,thalweg,persistence,MAE,,,0.23619311921657046
1,thalweg,one_third,2,0.1558932787464281,0.6666666666666667,0.5107733879202386
1,thalweg,one_third,3,0.2167521205393408,0.0,0.2167521205393408
1,thalweg,one_third,5,0.16564245753617396,0.666666666666667,0.5010242091304931
1,thalweg,one_third,8,0.19949689649139124,0.666666666666667,0.4671697701752757
1,thalweg,one_third,13,0.2857935009649731,0.6666666666666661,0.380873165701693
1,thalweg,one_third,21,0.3935804610211156,0.0,0.3935804610211156
1,thalweg,one_third,MAE,,,0.41169551908135943
1,thalweg,one_over_e,2,0.1558932787464281,0.5284822353142307,0.37258895656780255
1,thalweg,one_over_e,3,0.2167521205393408,0.207276647028654,0.009475473510686783
1,thalweg,one_over_e,5,0.16564245753617396,0.32120558828557666,0.1555631307494027
1,thalweg,one_over_e,8,0.19949689649139124,0.11392894125692266,0.08556795523446858
1,thalweg,one_over_e,13,0.2857935009649731,0.4351345295424984,0.14934102857752535
1,thalweg,one_over_e,21,0.3935804610211156,0.5490634707994211,0.15548300977830548
1,thalweg,one_over_e,MAE,,,0.15466992573636526
1,thalweg,three_eighths,2,0.1558932787464281,0.5,0.3441067212535719
1,thalweg,three_eighths,3,0.2167521205393408,0.25,0.03324787946065921
1,thalweg,three_eighths,5,0.16564245753617396,0.25,0.08435754246382604
1,thalweg,three_eighths,8,0.19949689649139124,0.0,0.19949689649139124
1,thalweg,three_eighths,13,0.2857935009649731,0.25,0.03579350096497308
1,thalweg,three_eighths,21,0.3935804610211156,0.25,0.1435804610211156
1,thalweg,three_eighths,MAE,,,0.14009716694258947
1,thalweg,fibonacci_8_21,2,0.1558932787464281,0.4761904761904763,0.32029719744404817
1,thalweg,fibonacci_8_21,3,0.2167521205393408,0.2857142857142856,0.0689621651749448
1,thalweg,fibonacci_8_21,5,0.16564245753617396,0.1904761904761907,0.02483373294001673
1,thalweg,fibonacci_8_21,8,0.19949689649139124,0.0952380952380949,0.10425880125329634
1,thalweg,fibonacci_8_21,13,0.2857935009649731,0.0952380952380949,0.19055540572687818
1,thalweg,fibonacci_8_21,21,0.3935804610211156,0.0,0.3935804610211156
1,thalweg,fibonacci_8_21,MAE,,,0.18374796059338327
1,thalweg,phi,2,0.1558932787464281,0.4721359549995794,0.3162426762531513
1,thalweg,phi,3,0.2167521205393408,0.29179606750063103,0.07504394696129024
1,thalweg,phi,5,0.16564245753617396,0.18033988749894858,0.014697429962774622
1,thalweg,phi,8,0.19949689649139124,0.11145618000168245,0.08804071648970879
1,thalweg,phi,13,0.2857935009649731,0.06888370749726569,0.2169097934677074
1,thalweg,phi,21,0.3935804610211156,0.04257247250441765,0.35100798851669796
1,thalweg,phi,MAE,,,0.1769904252752217
1,thalweg,two_fifths,2,0.1558932787464281,0.3999999999999999,0.2441067212535718
1,thalweg,two_fifths,3,0.2167521205393408,0.40000000000000036,0.18324787946065957
1,thalweg,two_fifths,5,0.16564245753617396,0.0,0.16564245753617396
1,thalweg,two_fifths,8,0.19949689649139124,0.40000000000000036,0.20050310350860912
1,thalweg,two_fifths,13,0.2857935009649731,0.40000000000000036,0.11420649903502728
