test_condition,track_id,particle_id,events,loss_global,loss_persistence,loss_radial_child,loss_turn_child,loss_additive_children,loss_intact_parent,loss_broken_parent
low,low:1,1,620,1.3873955158817872,4.014884898439266,1.3484321600095166,1.3357738830361061,1.2364990323209983,1.2327872265323736,1.3001321951691656
low,low:2,2,287,1.3830303367072498,4.126977400778678,1.2992856011836935,1.2999567185352459,1.2143708613913808,1.20511419300963,1.2722733362850054
low,low:3,3,334,1.3858830879101145,3.961423431528034,1.3147225623170733,1.3270275112126784,1.2291144126602949,1.221196239714901,1.2742652412991964
low,low:4,4,332,1.3847880923155915,4.136675688189552,1.3461439122516332,1.3213851261045653,1.296402954410483,1.2917781894998788,1.3168497300581652
low,low:5,5,292,1.385182157548063,3.9784974492068046,1.370381622175394,1.3212801987438465,1.3361279647742415,1.3411434578953798,1.3598444685651772
low,low:6,6,242,1.3876467957885679,4.1514798410125495,1.3157007131561387,1.3067888118245667,1.2625549603968684,1.2502535129641494,1.3051123522386163
low,low:7,7,389,1.3908662349698122,3.746676866114706,1.366171624002187,1.388303044165304,1.3285281951015868,1.3273812979770574,1.3483824954454304
low,low:8,8,380,1.3805162605323031,4.11158294883378,1.2841758309147602,1.3193207973090448,1.249732363087104,1.2292817848208826,1.2660505660282386
low,low:9,9,251,1.3868665021979898,4.040166041232694,1.366198902745296,1.3766937946088018,1.34567872181815,1.3386532169006462,1.3564257599901977
low,low:10,10,426,1.3897267630144212,4.164881101202555,1.3227115827454003,1.349664640098631,1.3026216866402818,1.2952107358938156,1.3324751894444715
low,low:11,11,242,1.384132833062022,3.9435384328987597,1.337762283202215,1.3560022119205222,1.2935641016988997,1.2847030334950673,1.3270744653878763
low,low:12,12,417,1.3897205997118494,3.7604393818040136,1.366645525365102,1.4001424019911344,1.374577626135175,1.3718945579461512,1.3515588754268004
low,low:13,13,319,1.384018079484364,3.9598347814970176,1.34401208599799,1.3413367446384266,1.3029749351564377,1.3007503253898909,1.3311400990335207
low,low:14,14,266,1.385716402343812,4.140819823508425,1.3037910083231583,1.3324722225304975,1.259262085154123,1.2473918792227872,1.3024799894705708
low,low:15,15,266,1.3869615644813638,4.037630854068499,1.3238234617295512,1.3284226789254425,1.2607819134802187,1.2477417220193112,1.3064077318813467
low,low:16,16,253,1.3830991299146906,3.863813861408492,1.3663420290066526,1.3610028369650042,1.3327544515366145,1.333248424302014,1.3515343531446307
low,low:17,17,407,1.388908512212214,3.9420056952468148,1.3403932243347625,1.3636939134868404,1.2912958224211957,1.2917982784158373,1.3050592956990876
low,low:18,18,387,1.388478918274826,4.108689924755166,1.3194198762553306,1.3327155041736711,1.244574718585589,1.2421409955829024,1.2726435648146481
low,low:19,19,323,1.3834464896316172,3.981989743095989,1.2871605300584468,1.3488400766612427,1.2195211976505747,1.2132245252677265,1.2513006156222732
low,low:20,20,337,1.3886518421432168,3.8721304446255314,1.3378770681626397,1.363589419316252,1.3473994682574923,1.3539027433668076,1.357397780205097
low,low:21,21,236,1.3848425713205084,3.9848703922927178,1.3030556349569786,1.3727021317869061,1.27387584112142,1.2643899986061824,1.3025090843191014
low,low:22,22,286,1.3871010035831295,3.9173639899193997,1.3474495031507896,1.3430832686384933,1.2913339594413222,1.2871427994882538,1.325713151852718
low,low:23,23,606,1.389003716551488,4.14467947693082,1.3220305798039194,1.3175816675078456,1.2721155190031885,1.261554198186696,1.2932407813967355
low,low:24,24,214,1.382598603171385,3.9424784087282556,1.3377171746289085,1.3592511542044257,1.2721400047058686,1.2666553578747826,1.3009427484334997
low,low:25,25,213,1.3843842392518864,4.046754761382045,1.32152440893614,1.3382613493172462,1.2974180174573489,1.28816464556654,1.323845297503001
low,low:26,26,760,1.3868823149249474,4.11158294883378,1.298493608926138,1.339291426110599,1.294497319184893,1.2962112059356303,1.2766528754451663
low,low:27,27,307,1.3816588229932474,3.9197086061471933,1.326776538964484,1.336211447885321,1.2850240180999724,1.2793064043586164,1.3041002996873856
low,low:28,28,315,1.3880616798274357,3.9516400462018932,1.340886764063145,1.3702108476570065,1.3032849599852099,1.2986784290625881,1.3257152277462472
low,low:29,29,256,1.387412346936618,4.176291031753399,1.280736123999211,1.3330335620515434,1.223329483897038,1.2071053418219775,1.2698440003305285
low,low:30,30,386,1.389139977976233,4.237771117766317,1.3075276467913475,1.2983125349007758,1.2204788652581056,1.206227612211059,1.2743266912603652
low,low:31,31,427,1.3909290721469727,3.9302128285039863,1.347233891716178,1.38257584083811,1.3690948944959966,1.3771722593856315,1.33089662991266
low,low:32,32,553,1.38999587708234,4.02609284693703,1.3311996093487435,1.3425235081889235,1.3011852380311009,1.2952888208614142,1.3172300759149058
low,low:33,33,318,1.3861105259582471,4.015348959199919,1.3479063501005177,1.3310336083277123,1.274470430777409,1.2689781220249228,1.3158531302295826
