condition,current,next,count
low,Ba,Ba,298534
low,Ba,Ab,99012
low,Ba,bA,221252
low,Ba,aB,43141
low,Ab,Ba,63621
low,Ab,Ab,283640
low,Ab,bA,64263
low,Ab,aB,196016
low,bA,Ba,227692
low,bA,Ab,36808
low,bA,bA,322568
low,bA,aB,104415
low,aB,Ba,72376
low,aB,Ab,188253
low,aB,bA,83024
low,aB,aB,360273
medium,Ba,Ba,325085
medium,Ba,Ab,103659
medium,Ba,bA,214199
medium,Ba,aB,43300
medium,Ab,Ba,67533
medium,Ab,Ab,308882
medium,Ab,bA,64524
medium,Ab,aB,189585
medium,bA,Ba,221160
medium,bA,Ab,37444
medium,bA,bA,346759
medium,bA,aB,108615
medium,aB,Ba,72737
medium,aB,Ab,180748
medium,aB,bA,88089
medium,aB,aB,374203
high,Ba,Ba,348448
high,Ba,Ab,111436
high,Ba,bA,217308
high,Ba,aB,44838
high,Ab,Ba,71960
high,Ab,Ab,329947
high,Ab,bA,69099
high,Ab,aB,194582
high,bA,Ba,225196
high,bA,Ab,39024
high,bA,bA,371814
high,bA,aB,114557
high,aB,Ba,76784
high,aB,Ab,185420
high,aB,bA,91841
high,aB,aB,405702
