condition,file,file_bytes,sha256,sha256_matches_official,x_header_particles,y_header_particles,common_particle_ids,x_only_particle_ids,y_only_particle_ids,joined_tracks,tracks_without_overlap,duplicate_join_frames,joined_positions,x_data_cells,y_data_cells,x_duplicate_particle_frames,y_duplicate_particle_frames,x_invalid_time_rows,y_invalid_time_rows,min_time_s,max_time_s,ara_events,near_zero_quotients_excluded,eligible_tracks_20_events
low,Spheres_num_low.xlsx,78799866,6b4b30f532cfca965da92d73f92c100ed429cd5a2078a7c7dfc18d1eaf7bdfdd,True,1800,1800,1800,0,0,1800,0,0,3601800,3601800,3601800,0,0,0,0,-0.53,19.61,3598200,931420,1800
medium,Spheres_num_medium.xlsx,79398655,feb38f39468a64df5ef50d292b8edbe716f9a4bdd1d76782147d11c0b43a6632,True,1800,1800,1800,0,0,1800,0,0,3601800,3601800,3601800,0,0,0,0,-0.52,19.62,3598200,849878,1800
high,Spheres_num_high.xlsx,80916638,4a3e737bfdb66ad913d08fe182d563e573648820e105da73726b88af6eb07eab,True,1800,1800,1800,0,0,1800,0,0,3601800,3601800,3601800,0,0,0,0,-0.55,19.61,3598200,698406,1800
