window,component,eligible,estimate,ci_low,ci_high,anchors,tracks,condition_positive,bootstraps,broken_null_median,broken_null_q99,broken_p_one_sided,permutations,circle_anchors,crooked_anchors
8,s_build,True,0.16561392020374507,0.11743811595985314,0.21325413336061497,493.0,447.0,3.0,2000.0,,,,,,
8,s_release,True,0.1814540799628599,0.13342503098112946,0.23049036121409044,493.0,447.0,3.0,2000.0,,,,,,
8,s_peak,True,0.17353400008330244,0.12949732364989505,0.21600170101553648,493.0,447.0,3.0,2000.0,,,,,,
8,rho_in,True,-0.05373804720054337,-0.14417900835825442,0.03628304143392751,463.0,419.0,1.0,2000.0,0.0314363532143502,0.1238445901800138,0.99000999000999,1000.0,,
8,rho_out,True,-0.05886673445425377,-0.14732900196305626,0.02776923902636083,463.0,419.0,0.0,2000.0,-0.03931912905804387,0.04999268844112947,0.6843156843156843,1000.0,,
8,circle_minus_crooked_s_peak,True,0.2219776684026282,0.16268606155105736,0.2782234976225743,,855.0,3.0,2000.0,,,,,493.0,546.0
15,s_build,False,,,,,,,,,,,,,
15,s_release,False,,,,,,,,,,,,,
15,s_peak,False,,,,,,,,,,,,,
15,rho_in,False,,,,,,,,,,,,,
15,rho_out,False,,,,,,,,,,,,,
15,circle_minus_crooked_s_peak,False,,,,,,,,,,,,,
30,s_build,False,,,,,,,,,,,,,
30,s_release,False,,,,,,,,,,,,,
30,s_peak,False,,,,,,,,,,,,,
30,rho_in,False,,,,,,,,,,,,,
30,rho_out,False,,,,,,,,,,,,,
30,circle_minus_crooked_s_peak,False,,,,,,,,,,,,,
