condition,sector,events,share_nonboundary
low,Ba,662434,0.24840712978868854
low,Ab,607789,0.22791571840687105
low,bA,692272,0.2595961266376348
low,aB,704232,0.2640810251668056
low,boundary,931473,
medium,Ba,686735,0.2498742869285331
medium,Ab,630801,0.2295222321110845
medium,bA,714719,0.2600564999297753
medium,aB,716067,0.260546981030607
medium,boundary,849878,
high,Ba,722605,0.24919347190730315
high,Ab,665893,0.22963609245544914
high,bA,751221,0.25906182376218845
high,aB,760056,0.2621086118750593
high,boundary,698425,
