test_condition,model,success,status,message,iterations,objective,gradient_max_abs
low,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1.3847504854917758,7.11381804353084e-08
medium,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1.3845920239622869,1.301858117341119e-07
high,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,1.3845984600940127,9.67099323438273e-08
