seam_shift,phi_parent_loss
0,0.47173599110813513
1,0.4343747774431759
2,0.44712938557568327
3,0.4709966486330095
4,0.4384175461504243
5,0.5077424970679795
6,0.4821987140227417
7,0.4494714515442735
8,0.4470979353002863
9,0.45626985691021393
10,0.468022558339805
11,0.4301191439218732
12,0.5151520527109601
13,0.46375195784068524
14,0.4140565018809841
15,0.5768096552824398
16,0.4282288801404309
17,0.4616591717428169
18,0.4404577636320063
19,0.4152362258941502
20,0.4674622063107041
21,0.46895259351108853
22,0.5584046367709249
23,0.47213595499957917
24,0.4399718779634578
25,0.48216058429598285
26,0.504062672385527
27,0.4346892067081122
28,0.4471834488340001
29,0.4308486193248693
30,0.456136624282643
31,0.41665528219557135
32,0.5212722053046437
