lambda,loss,loss_ci_low,loss_ci_high,improvement_vs_zero,improvement_ci_low,improvement_ci_high,model
0.0,1.0129406724233436,0.9880441514994739,1.0355608629113096,0.0,0.0,0.0,intact B
0.25,1.02601659567541,1.0032730218341843,1.0463092723966965,-0.013075923252066302,-0.018859354048849163,-0.007693499086586374,intact B
0.5,1.0574378637365822,1.0394973602752613,1.0742198668973146,-0.04449719131323859,-0.06037404481661959,-0.029423910424689836,intact B
0.75,1.0861584352617346,1.0682898775433471,1.10454051057711,-0.07321776283839099,-0.1002160375962939,-0.048465737484948146,intact B
1.0,1.0913919259779912,1.0715079831275616,1.1129981502633313,-0.07845125355464755,-0.1114294273770694,-0.04870752171481578,intact B
0.0,1.0129406724233436,0.991107615229732,1.0351956821235189,0.0,0.0,0.0,reversed B
0.25,1.0275388589753534,1.0071690546945644,1.0478511903368166,-0.014598186552009729,-0.020222332258676295,-0.00886863936360306,reversed B
0.5,1.0623242197090512,1.045352554341228,1.0801124585858044,-0.049383547285707596,-0.06376830059574151,-0.033982313180240385,reversed B
0.75,1.097568538035927,1.080130683281635,1.115878539966002,-0.0846278656125834,-0.10734717943677025,-0.05907929094356444,reversed B
1.0,1.1128059319899386,1.0929670890472063,1.1328532916566654,-0.09986525956659498,-0.1277940108757229,-0.06923310609706573,reversed B
0.0,1.0129406724233436,0.9901623888603368,1.0367463911960189,0.0,0.0,0.0,wrong child
0.25,1.0243620259954676,1.0038952496829923,1.0445553472421971,-0.011421353572123927,-0.017427083061602313,-0.005434408824538256,wrong child
0.5,1.0521097884193122,1.0347351666468525,1.069900163196917,-0.03916911599596862,-0.055510906393264024,-0.023004972759524806,wrong child
0.75,1.0771496293366871,1.0590566944954876,1.0958649026415528,-0.0642089569133435,-0.09034948429298617,-0.037919091021388164,wrong child
1.0,1.0809417962298171,1.0610506855674984,1.1021631859239862,-0.0680011238064735,-0.09998224052224729,-0.03606236649338492,wrong child
