condition,track_id,particle_id,frame,time_s,x_px,z_px,ara_x,ara_y,dominance,sector
low,low:1555,1555,-45,-0.45,0.21182216,0.27013121,0.9908784995316587,1.0048691343895524,0.004252366078788872,Ba
low,low:1555,1555,-25,-0.25,0.28872446,0.28311952,0.9976722146323047,1.0039464135991238,-0.0016186282314285538,Ba
low,low:1555,1555,-5,-0.05,0.36984448,0.30686542,1.0232151659453903,0.9903697155975343,0.013584881542924587,aB
low,low:1555,1555,15,0.15,0.55407261,0.21795148,1.0223342656223533,0.98854134421312,0.01087560983547331,aB
low,low:1555,1555,35,0.35,0.77462949,0.05946829,1.1045143040606853,1.0853453193897702,0.0191689846709151,Ab
low,low:1555,1555,55,0.55,1.0406972,0.033518079,0.8953706497233026,0.9885141560084734,0.09314350628517076,bA
low,low:1555,1555,76,0.76,1.2721722,0.0074491946,0.9960937133009372,0.9634920831814977,-0.032601630119439506,bA
low,low:1555,1555,96,0.96,1.4033011,0.009357944,0.9683796071943074,0.9981178065028766,0.029738199308569246,bA
low,low:1555,1555,116,1.16,1.5343424,0.023423151,1.041977322519866,0.9920193514363999,0.03399667395626593,aB
low,low:1555,1555,136,1.36,1.6415838,0.0024917773,1.0556239720733436,0.9990959040711997,0.05471987614454332,aB
low,low:1555,1555,156,1.56,1.7654773,0.016291784,0.9965066316058526,1.0033111283778102,0.00018224001633715403,Ba
low,low:1555,1555,177,1.77,1.8754041,0.055257434,0.9769617465744928,1.010926451881555,0.012111801543952194,Ba
low,low:1555,1555,197,1.97,1.9557863,0.14071527,1.0166707380618802,0.9508179251133703,-0.03251133682474949,aB
low,low:1555,1555,217,2.17,2.1824007,0.026404967,1.0086870914067074,1.0208126013355798,-0.012125509928872402,Ab
low,low:1555,1555,237,2.37,2.4415448,0.0079969949,1.0261891430067949,0.9936489089128546,0.01983805191964949,aB
low,low:1555,1555,257,2.57,2.6929622,0.0073867705,1.0163794016431023,1.0011870661912088,0.015192335451893468,Ab
low,low:1555,1555,277,2.77,2.9408708,0.011057496,0.9921799909789216,1.0006620758025195,0.007157933218558843,Ba
low,low:1555,1555,298,2.98,3.166834,0.015227756,1.0022477228314979,1.000206745045447,0.002040977786050835,Ab
low,low:1555,1555,318,3.18,3.376628,0.022456098,1.001436330065025,0.9988923899224387,0.00032871998746375475,aB
low,low:1555,1555,338,3.38,3.6049197,0.021291835,0.997407078913102,1.0015844392096978,0.0010084818772002624,Ba
low,low:1555,1555,358,3.58,3.821871,0.021283693,1.0001166234132537,1.0000882242171187,2.8399196134953897e-05,Ab
low,low:1555,1555,378,3.78,4.0,0.026165979,,,,boundary
low,low:1555,1555,399,3.99,4.0,0.026165979,,,,boundary
low,low:1555,1555,419,4.19,4.0,0.026165979,,,,boundary
low,low:1555,1555,439,4.39,4.0,0.026165979,,,,boundary
low,low:1555,1555,459,4.59,4.0,0.026165979,,,,boundary
low,low:1555,1555,479,4.79,4.0,0.026165979,,,,boundary
low,low:1555,1555,499,4.99,4.0,0.026165979,,,,boundary
low,low:1555,1555,520,5.2,4.0,0.026165979,,,,boundary
low,low:1555,1555,540,5.4,4.0,0.026165979,,,,boundary
low,low:1555,1555,560,5.6,4.0,0.026165979,,,,boundary
low,low:1555,1555,580,5.8,4.0,0.026165979,,,,boundary
low,low:1555,1555,600,6.0,4.0,0.026165979,,,,boundary
low,low:1555,1555,621,6.21,4.0,0.026165979,,,,boundary
low,low:1555,1555,641,6.41,4.0,0.026165979,,,,boundary
low,low:1555,1555,661,6.61,4.0,0.026165979,,,,boundary
low,low:1555,1555,681,6.81,4.0,0.026165979,,,,boundary
low,low:1555,1555,701,7.01,4.0,0.026165979,,,,boundary
low,low:1555,1555,721,7.21,4.0,0.026165979,,,,boundary
low,low:1555,1555,742,7.42,4.0,0.026165979,,,,boundary
low,low:1555,1555,762,7.62,4.0,0.026165979,,,,boundary
low,low:1555,1555,782,7.82,4.0,0.026165979,,,,boundary
low,low:1555,1555,802,8.02,4.0,0.026165979,,,,boundary
low,low:1555,1555,822,8.22,4.0,0.026165979,,,,boundary
low,low:1555,1555,843,8.43,4.0,0.026165979,,,,boundary
low,low:1555,1555,863,8.63,4.0,0.026165979,,,,boundary
low,low:1555,1555,883,8.83,4.0,0.026165979,,,,boundary
low,low:1555,1555,903,9.03,4.0,0.026165979,,,,boundary
low,low:1555,1555,923,9.23,4.0,0.026165979,,,,boundary
low,low:1555,1555,943,9.43,4.0,0.026165979,,,,boundary
low,low:1555,1555,964,9.64,4.0,0.026165979,,,,boundary
low,low:1555,1555,984,9.84,4.0,0.026165979,,,,boundary
low,low:1555,1555,1004,10.04,4.0,0.026165979,,,,boundary
low,low:1555,1555,1024,10.24,4.0,0.026165979,,,,boundary
low,low:1555,1555,1044,10.44,4.0,0.026165979,,,,boundary
low,low:1555,1555,1065,10.65,4.0,0.026165979,,,,boundary
low,low:1555,1555,1085,10.85,4.0,0.026165979,,,,boundary
low,low:1555,1555,1105,11.05,4.0,0.026165979,,,,boundary
low,low:1555,1555,1125,11.25,4.0,0.026165979,,,,boundary
low,low:1555,1555,1145,11.45,4.0,0.026165979,,,,boundary
low,low:1555,1555,1165,11.65,4.0,0.026165979,,,,boundary
low,low:1555,1555,1186,11.86,4.0,0.026165979,,,,boundary
low,low:1555,1555,1206,12.06,4.0,0.026165979,,,,boundary
low,low:1555,1555,1226,12.26,4.0,0.026165979,,,,boundary
low,low:1555,1555,1246,12.46,4.0,0.026165979,,,,boundary
low,low:1555,1555,1266,12.66,4.0,0.026165979,,,,boundary
low,low:1555,1555,1287,12.87,4.0,0.026165979,,,,boundary
low,low:1555,1555,1307,13.07,4.0,0.026165979,,,,boundary
low,low:1555,1555,1327,13.27,4.0,0.026165979,,,,boundary
low,low:1555,1555,1347,13.47,4.0,0.026165979,,,,boundary
low,low:1555,1555,1367,13.67,4.0,0.026165979,,,,boundary
low,low:1555,1555,1387,13.87,4.0,0.026165979,,,,boundary
low,low:1555,1555,1408,14.08,4.0,0.026165979,,,,boundary
low,low:1555,1555,1428,14.28,4.0,0.026165979,,,,boundary
low,low:1555,1555,1448,14.48,4.0,0.026165979,,,,boundary
low,low:1555,1555,1468,14.68,4.0,0.026165979,,,,boundary
low,low:1555,1555,1488,14.88,4.0,0.026165979,,,,boundary
low,low:1555,1555,1509,15.09,4.0,0.026165979,,,,boundary
low,low:1555,1555,1529,15.29,4.0,0.026165979,,,,boundary
low,low:1555,1555,1549,15.49,4.0,0.026165979,,,,boundary
low,low:1555,1555,1569,15.69,4.0,0.026165979,,,,boundary
low,low:1555,1555,1589,15.89,4.0,0.026165979,,,,boundary
low,low:1555,1555,1609,16.09,4.0,0.026165979,,,,boundary
low,low:1555,1555,1630,16.3,4.0,0.026165979,,,,boundary
low,low:1555,1555,1650,16.5,4.0,0.026165979,,,,boundary
low,low:1555,1555,1670,16.7,4.0,0.026165979,,,,boundary
low,low:1555,1555,1690,16.9,4.0,0.026165979,,,,boundary
low,low:1555,1555,1710,17.1,4.0,0.026165979,,,,boundary
low,low:1555,1555,1731,17.31,4.0,0.026165979,,,,boundary
low,low:1555,1555,1751,17.51,4.0,0.026165979,,,,boundary
low,low:1555,1555,1771,17.71,4.0,0.026165979,,,,boundary
low,low:1555,1555,1791,17.91,4.0,0.026165979,,,,boundary
low,low:1555,1555,1811,18.11,4.0,0.026165979,,,,boundary
low,low:1555,1555,1831,18.31,4.0,0.026165979,,,,boundary
low,low:1555,1555,1852,18.52,4.0,0.026165979,,,,boundary
low,low:1555,1555,1872,18.72,4.0,0.026165979,,,,boundary
low,low:1555,1555,1892,18.92,4.0,0.026165979,,,,boundary
low,low:1555,1555,1912,19.12,4.0,0.026165979,,,,boundary
low,low:1555,1555,1932,19.32,4.0,0.026165979,,,,boundary
low,low:1555,1555,1953,19.53,4.0,0.026165979,,,,boundary
low,low:474,474,-42,-0.42,0.21188722,0.26979055,0.9957676213384591,0.9929863531930755,-0.0027812681453835975,bA
low,low:474,474,-22,-0.22,0.29246298,0.26974053,1.0013807659715162,1.0025066754714163,-0.0011259094999001018,Ab
low,low:474,474,-2,-0.02,0.38745154,0.28369508,1.0387084646252673,0.9923584220910099,0.03106688671627722,aB
low,low:474,474,18,0.18,0.61145112,0.12211463,1.0780144962907774,1.0133052769859416,0.06470921930483575,Ab
low,low:474,474,38,0.38,0.64435824,0.01402533,1.0759542067059162,0.9232473929222104,-0.0007984003718733979,aB
low,low:474,474,58,0.58,0.56923701,0.011553811,0.9115134027883612,1.001306336646682,0.08718026056495687,Ba
low,low:474,474,79,0.79,0.51208407,0.022136898,0.970867369315285,1.014967971601534,0.014164659083180986,Ba
low,low:474,474,99,0.99,0.47994538,0.031652692,0.9465444812741379,0.9896218311431048,0.04307734986896683,bA
low,low:474,474,119,1.19,0.46442129,0.035658985,1.0330275041996309,1.0070507336849015,0.025976770514729353,Ab
low,low:474,474,139,1.39,0.45013116,0.021326837,0.932925703974057,1.0080047505341139,0.05906954549182908,Ba
low,low:474,474,159,1.59,0.45179354,0.0040730705,0.9615108874933546,1.0097103344428726,0.028778778063772825,Ba
low,low:474,474,180,1.8,0.45215748,3.1953491e-05,1.4763590246354323,1.482807292260059,-0.006448267624626691,Ab
low,low:474,474,200,2.0,0.45241506,5.5598596e-06,1.223854763175451,1.0636216598767991,0.16023310329865192,Ab
low,low:474,474,220,2.2,0.45227902,4.84119e-07,0.9064058664742854,0.9991964459670806,0.09279057949279512,bA
low,low:474,474,240,2.4,0.45260488,2.5905231e-07,0.9918950293228193,0.9972368930407459,0.005341863717926665,bA
low,low:474,474,260,2.6,0.45340103,9.68285e-07,1.0352700084786406,0.9996557291974154,0.034925737676056,aB
low,low:474,474,280,2.8,0.45409606,1.3961951e-07,1.3942734971417354,0.9944717481767643,0.38874524531849974,aB
low,low:474,474,301,3.01,0.45349926,6.829044e-08,1.0285702611120082,1.0071138213530109,0.02145643975899736,Ab
low,low:474,474,321,3.21,0.45324061,5.2562835e-07,1.2956493373331546,1.0074845185040007,0.2881648188291539,Ab
low,low:474,474,341,3.41,0.45407792,5.2751416e-07,1.047690775462654,1.0003005247394814,0.04739025072317271,Ab
low,low:474,474,361,3.61,0.45761346,0.00080202533,1.0501207307912896,0.9949684671804998,0.04508919797178945,aB
low,low:474,474,381,3.81,0.48151745,0.0048220157,0.9019516841674564,1.024254680159754,0.07379363567278951,Ba
low,low:474,474,402,4.02,0.46833196,0.0072555864,0.9563755014207128,1.01376123813762,0.029863260441667205,Ba
low,low:474,474,422,4.22,0.47341992,0.0083421561,1.0377082851090764,0.9955285559982636,0.03323684110734004,aB
low,low:474,474,442,4.42,0.49336646,0.011422756,0.9551239681186098,0.9709231851401852,0.015799217021575385,bA
low,low:474,474,462,4.62,0.49979034,0.00057828206,0.9512980640125417,0.9964133529925421,0.04511528898000039,bA
low,low:474,474,482,4.82,0.50136011,3.3691417e-05,0.6962496935942271,1.304385353580514,-0.0006350471747411657,Ba
low,low:474,474,502,5.02,0.50216411,7.5256759e-07,0.8460848400051664,0.9917426715063246,0.14565783150115819,bA
low,low:474,474,523,5.23,0.50243267,3.8991378e-07,0.27038130071616157,1.001811603059099,0.7278070962247394,Ba
low,low:474,474,543,5.43,0.50233498,2.3236317e-07,1.5113308472402622,1.0258324847087124,0.4854983625315499,Ab
low,low:474,474,563,5.63,0.50408204,9.8198942e-08,1.0164085082512515,0.9983010497378122,0.014709557989063704,aB
low,low:474,474,583,5.83,0.50480253,9.4213388e-08,1.0599172401359604,1.0022559667030995,0.05766127343286098,Ab
