order,block,x,z,condition,track_id,run_id,centre_frame,window,score
0,0,0.0,0.0,low,low:1229,low:1229:0,1232,15,0.996156719118794
1,0,0.07019512911587257,-8.447508164096094e-18,low,low:1229,low:1229:0,1232,15,0.996156719118794
2,0,0.12861146008359892,9.909304798603674e-05,low,low:1229,low:1229:0,1232,15,0.996156719118794
3,0,0.1714501842256378,0.00011052827180699158,low,low:1229,low:1229:0,1232,15,0.996156719118794
4,0,0.2030346800299362,0.00021066587376028617,low,low:1229,low:1229:0,1232,15,0.996156719118794
5,0,0.23031159599923196,0.00020736968551638617,low,low:1229,low:1229:0,1232,15,0.996156719118794
6,0,0.2572546120246077,0.0002729410772623755,low,low:1229,low:1229:0,1232,15,0.996156719118794
7,0,0.2831167972530834,0.0002840266144966593,low,low:1229,low:1229:0,1232,15,0.996156719118794
8,0,0.3072621452632858,0.00037671152732402565,low,low:1229,low:1229:0,1232,15,0.996156719118794
9,0,0.3299929529125296,0.0003406221641170488,low,low:1229,low:1229:0,1232,15,0.996156719118794
10,0,0.3516267887447923,0.0004345633123714899,low,low:1229,low:1229:0,1232,15,0.996156719118794
11,0,0.37071739920132707,0.0004710525973094914,low,low:1229,low:1229:0,1232,15,0.996156719118794
12,0,0.3867242652618658,0.0005007655500397389,low,low:1229,low:1229:0,1232,15,0.996156719118794
13,0,0.40236563569249206,0.00045227512566201923,low,low:1229,low:1229:0,1232,15,0.996156719118794
14,0,0.42005742338643376,0.000493865532661639,low,low:1229,low:1229:0,1232,15,0.996156719118794
15,1,0.43898915681841344,0.0004706977031279572,low,low:1229,low:1229:0,1232,15,0.996156719118794
16,1,0.4565379162429493,0.00048788309051005517,low,low:1229,low:1229:0,1232,15,0.996156719118794
17,1,0.4687298212995776,0.0005238632394332941,low,low:1229,low:1229:0,1232,15,0.996156719118794
18,1,0.4702081400865968,0.0005053444818075479,low,low:1229,low:1229:0,1232,15,0.996156719118794
19,1,0.45862045175055716,0.00033209753687300157,low,low:1229,low:1229:0,1232,15,0.996156719118794
20,1,0.43755870621079146,0.0003529098327134992,low,low:1229,low:1229:0,1232,15,0.996156719118794
21,1,0.4169579930121827,0.00032943708275108433,low,low:1229,low:1229:0,1232,15,0.996156719118794
22,1,0.4072298343645373,0.0003514999216706735,low,low:1229,low:1229:0,1232,15,0.996156719118794
23,1,0.4103453245632983,0.00039246701054057294,low,low:1229,low:1229:0,1232,15,0.996156719118794
24,1,0.4246672276313253,0.0004414024615884505,low,low:1229,low:1229:0,1232,15,0.996156719118794
25,1,0.448351621553132,0.0005195302587729024,low,low:1229,low:1229:0,1232,15,0.996156719118794
26,1,0.47090749415896355,0.000545887329761248,low,low:1229,low:1229:0,1232,15,0.996156719118794
27,1,0.4801746707597487,0.0005302907760085129,low,low:1229,low:1229:0,1232,15,0.996156719118794
28,1,0.47357804801396014,0.0004804779299991233,low,low:1229,low:1229:0,1232,15,0.996156719118794
29,1,0.45647438047916267,0.00045270634670737395,low,low:1229,low:1229:0,1232,15,0.996156719118794
30,2,0.43959325757951995,0.00042062655733317495,low,low:1229,low:1229:0,1232,15,0.996156719118794
31,2,0.43482441090992513,0.0005378050378819799,low,low:1229,low:1229:0,1232,15,0.996156719118794
32,2,0.4461580661979901,0.00048762524587186957,low,low:1229,low:1229:0,1232,15,0.996156719118794
33,2,0.4656141793306775,0.0005970195457066719,low,low:1229,low:1229:0,1232,15,0.996156719118794
34,2,0.48289288568824656,0.00048430787933106815,low,low:1229,low:1229:0,1232,15,0.996156719118794
35,2,0.4943536392376762,0.00048437911954746606,low,low:1229,low:1229:0,1232,15,0.996156719118794
36,2,0.5026034927751782,0.00047055072134224356,low,low:1229,low:1229:0,1232,15,0.996156719118794
37,2,0.5140957952793366,0.0006528324062113094,low,low:1229,low:1229:0,1232,15,0.996156719118794
38,2,0.5342196764722941,0.0006484243708761606,low,low:1229,low:1229:0,1232,15,0.996156719118794
39,2,0.5631497204863453,0.0006587474934621788,low,low:1229,low:1229:0,1232,15,0.996156719118794
40,2,0.5976113498025541,0.0007413091598435041,low,low:1229,low:1229:0,1232,15,0.996156719118794
41,2,0.6363331324548731,0.0007314897968038992,low,low:1229,low:1229:0,1232,15,0.996156719118794
42,2,0.6807295302138244,0.0008171598091319209,low,low:1229,low:1229:0,1232,15,0.996156719118794
43,2,0.7277487094603812,0.0009016812269318916,low,low:1229,low:1229:0,1232,15,0.996156719118794
44,2,0.7659300025853907,0.0009203601328005586,low,low:1229,low:1229:0,1232,15,0.996156719118794
45,2,0.7833357020038806,0.0009370047914607467,low,low:1229,low:1229:0,1232,15,0.996156719118794
