outer_fold,permutation,balanced_accuracy
0,0,0.27242424242424246
0,1,0.24909090909090909
0,2,0.27606060606060606
0,3,0.29515151515151516
0,4,0.3040909090909091
0,5,0.2412121212121212
0,6,0.26371212121212123
0,7,0.26121212121212123
0,8,0.23242424242424242
0,9,0.23712121212121212
0,10,0.3318181818181818
0,11,0.26742424242424245
0,12,0.23606060606060605
0,13,0.25666666666666665
0,14,0.24015151515151514
0,15,0.26992424242424246
0,16,0.2733333333333333
0,17,0.2556818181818182
0,18,0.30007575757575755
0,19,0.2833333333333333
0,20,0.28598484848484845
0,21,0.27
0,22,0.27121212121212124
0,23,0.28030303030303033
0,24,0.26621212121212123
0,25,0.28
0,26,0.25477272727272726
0,27,0.265
0,28,0.26113636363636367
0,29,0.23742424242424243
0,30,0.243030303030303
0,31,0.25166666666666665
0,32,0.25166666666666665
0,33,0.2833333333333333
0,34,0.2625757575757576
0,35,0.29045454545454547
0,36,0.2611363636363636
0,37,0.26
0,38,0.23939393939393938
0,39,0.2683333333333333
0,40,0.28
0,41,0.28348484848484845
0,42,0.22606060606060605
0,43,0.22606060606060605
0,44,0.26166666666666666
0,45,0.23424242424242425
0,46,0.23575757575757578
0,47,0.25666666666666665
0,48,0.27515151515151515
0,49,0.2768181818181818
0,50,0.27416666666666667
0,51,0.2396969696969697
0,52,0.26136363636363635
0,53,0.2668181818181818
0,54,0.25166666666666665
0,55,0.24871212121212122
0,56,0.23803030303030304
0,57,0.2783333333333333
0,58,0.23106060606060605
0,59,0.255
0,60,0.27
0,61,0.2340909090909091
0,62,0.2753030303030303
0,63,0.243030303030303
0,64,0.2545454545454546
0,65,0.25
0,66,0.26598484848484844
0,67,0.2562878787878788
0,68,0.25742424242424244
0,69,0.2774242424242424
0,70,0.24166666666666667
0,71,0.2891666666666667
0,72,0.26227272727272727
0,73,0.2672727272727273
0,74,0.25303030303030305
0,75,0.2809090909090909
0,76,0.22272727272727272
0,77,0.2637878787878788
0,78,0.2586363636363636
0,79,0.28015151515151515
0,80,0.27666666666666667
0,81,0.23924242424242426
0,82,0.2793181818181818
0,83,0.27515151515151515
0,84,0.29333333333333333
0,85,0.24106060606060606
0,86,0.24696969696969698
0,87,0.24856060606060607
0,88,0.24242424242424243
0,89,0.25
0,90,0.2718181818181818
0,91,0.25333333333333335
0,92,0.23045454545454547
0,93,0.23727272727272727
0,94,0.26227272727272727
0,95,0.2733333333333333
0,96,0.27340909090909093
0,97,0.2456060606060606
0,98,0.2683333333333333
0,99,0.2553787878787879
1,0,0.28005050505050505
1,1,0.26237373737373737
1,2,0.22828282828282828
1,3,0.25252525252525254
1,4,0.2628787878787879
1,5,0.2823232323232323
1,6,0.2457070707070707
1,7,0.2926767676767677
1,8,0.26616161616161615
1,9,0.2734848484848485
1,10,0.2553030303030303
1,11,0.25959595959595955
1,12,0.26590909090909093
1,13,0.26515151515151514
1,14,0.25252525252525254
1,15,0.27424242424242423
1,16,0.23585858585858588
1,17,0.23813131313131314
1,18,0.2679292929292929
1,19,0.27601010101010104
1,20,0.26590909090909093
1,21,0.17575757575757575
1,22,0.23535353535353534
1,23,0.28030303030303033
1,24,0.2676767676767677
1,25,0.33055555555555555
1,26,0.29292929292929293
1,27,0.2628787878787879
1,28,0.2598484848484849
1,29,0.27121212121212124
1,30,0.3133838383838384
1,31,0.25252525252525254
1,32,0.2681818181818182
1,33,0.22247474747474746
1,34,0.25530303030303025
1,35,0.29823232323232324
1,36,0.22121212121212122
1,37,0.271969696969697
1,38,0.21919191919191916
1,39,0.3027777777777778
1,40,0.21893939393939393
1,41,0.2767676767676768
1,42,0.2328282828282828
1,43,0.3138888888888889
1,44,0.25277777777777777
1,45,0.29065656565656567
1,46,0.2681818181818182
1,47,0.32626262626262625
1,48,0.23737373737373738
1,49,0.2861111111111111
1,50,0.271969696969697
1,51,0.2580808080808081
1,52,0.29848484848484846
1,53,0.2823232323232323
1,54,0.31616161616161614
1,55,0.33005050505050504
1,56,0.28914141414141414
1,57,0.25126262626262624
1,58,0.25353535353535356
1,59,0.2962121212121212
1,60,0.247979797979798
1,61,0.2833333333333333
1,62,0.2419191919191919
1,63,0.2494949494949495
1,64,0.22525252525252523
1,65,0.31085858585858583
1,66,0.28383838383838383
1,67,0.22045454545454543
1,68,0.281060606060606
1,69,0.31136363636363634
1,70,0.26717171717171717
1,71,0.2707070707070707
1,72,0.271969696969697
1,73,0.23712121212121212
1,74,0.16666666666666666
1,75,0.1994949494949495
1,76,0.24242424242424243
1,77,0.28358585858585855
1,78,0.28585858585858587
1,79,0.2595959595959596
1,80,0.23156565656565656
1,81,0.24545454545454545
1,82,0.21363636363636362
1,83,0.30126262626262623
1,84,0.27601010101010104
1,85,0.29848484848484846
1,86,0.26186868686868686
1,87,0.25176767676767675
1,88,0.2588383838383838
1,89,0.27222222222222225
1,90,0.28459595959595957
1,91,0.25227272727272726
1,92,0.2702020202020202
1,93,0.2785353535353535
1,94,0.27222222222222225
1,95,0.31742424242424244
1,96,0.23333333333333334
1,97,0.28737373737373734
1,98,0.2679292929292929
1,99,0.23636363636363636
