outer_fold,train_cycles,test_cycles,test_groups,selected_single,selected_pair,single_balanced_accuracy,pair_balanced_accuracy,gain,raw_pair_balanced_accuracy,raw_ara_disagreements,reversal_disagreements,phase_destroyed_balanced_accuracy,random_forest_balanced_accuracy
0,1755,450,30,PS3,PS1+PS3,0.6932575757575757,0.8504545454545455,0.15719696969696972,0.8504545454545455,0,0,0.27462121212121215,0.9737878787878789
1,1770,435,29,PS3,PS1+PS3,0.7330808080808081,0.9388888888888889,0.20580808080808077,0.9388888888888889,0,0,0.25277777777777777,0.9777777777777779
2,1770,435,29,PS3,PS1+PS3,0.7156436960155838,0.8781197781756755,0.1624760821600918,0.8781197781756755,0,0,0.26402484939759036,0.9721305494647663
3,1770,435,29,PS3,PS1+PS3,0.6673086549463123,0.8433307021211055,0.1760220471747932,0.8433307021211055,0,0,0.265625,0.885889230549199
4,1755,450,30,PS3,PS1+PS3,0.7638948054455499,0.8939286069697656,0.13003380152421573,0.8939286069697656,0,0,0.26048310890621307,0.9844527661993938
