test_condition,model,success,status,message,iterations,objective,gradient_max_abs
low,additive_children,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1.2708539049336185,6.90124781172941e-08
low,intact_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,1.2634317571705846,1.3593048276886631e-07
low,broken_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1.3120052298727738,1.3998055232319855e-07
medium,additive_children,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,1.2723923118370815,5.728832839218007e-08
medium,intact_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,1.2660813323921318,1.3453907778897246e-07
medium,broken_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1.3094404749966997,1.641354067649352e-07
high,additive_children,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,1.2899026491223082,2.923220784021096e-08
high,intact_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,1.2857277003269336,1.1485109490696939e-07
high,broken_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1.3191802390573546,4.796268190155799e-08
low,window_8_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3845572531628476,6.644156005724374e-08
medium,window_8_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,1.3831763591991828,3.3882610722791183e-07
high,window_8_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,1.3831957616864097,2.6258013229189874e-07
low,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3847387669336477,2.3610408590245018e-08
medium,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,1.383724269193206,4.290611212070907e-09
high,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3834166610570129,1.5752833861297327e-07
low,window_30_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.384541741305901,1.9218478512630144e-08
medium,window_30_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3835205284308714,7.282763285738187e-08
high,window_30_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3828120350479134,9.674608933187012e-08
