component,pass,eligible,estimate,ci_low,ci_high,n_tracks,n_strata,bootstrap_valid,low,low_strata,medium,medium_strata,high,high_strata
A1 structured minus random circularity,True,True,0.17227879678353777,0.16327740680033384,0.17703743267936456,4528,114,2000,0.18631781177349152,36,0.16500955033042294,39,0.1665889524766952,39
A2 closure minus structured directness,True,True,0.24118307008504214,0.23682633985488444,0.2451318350123709,5400,150,2000,0.24691004513094622,50,0.24054275140313158,50,0.23609641372104856,50
B1 closure minus structured connection,False,True,-0.09391896285243062,-0.10303957543973785,-0.08685261207400485,5400,150,2000,-0.07783572714061396,50,-0.10885209305263835,50,-0.09506906836403946,50
B2 structured minus random connection,True,True,0.45891434235725087,0.4399427959548112,0.4728577314825483,4528,114,2000,0.4023115770252341,36,0.4748671824898359,39,0.49521020868498905,39
C circle-like minus crooked movement info,False,True,-0.0002325154082526083,-0.0003650400303657876,-0.00010208637838443847,4898,150,2000,-0.00034101942508712687,50,-0.0001220994788452134,50,-0.00023442732082548458,50
D1 circle-like future connection change,False,True,-0.08201265150846739,-0.0896742763241578,-0.07404826484610362,4845,150,2000,-0.07287954548993056,50,-0.07270143389887693,50,-0.10045697513659467,50
D2 circle-like minus crooked connection change,False,True,-0.23781347887826162,-0.2486311848144587,-0.22664044391423663,4898,150,2000,-0.22255834598651808,50,-0.23289406455063258,50,-0.25798802609763416,50
