condition,path_class,path_name,windows,tracks,directness,turn_consistency,circularity,connection_info_nats,movement_info_nats,delta_connection_info_nats
high,1,circle-like,2113,454,0.5596257054303119,0.8451514750816091,0.3728759797140154,0.6202222065466468,-0.0007065314363368549,-0.17403684989705936
high,2,crooked/random-like,19540,961,0.5839713590981915,0.1341854447019741,0.05656973005111458,0.4122391998062212,0.005264261205724266,0.03575473105388727
low,1,circle-like,6885,812,0.5350450491311276,0.8651147316208548,0.40269170551495675,0.6878171150451149,0.001311737641409593,-0.20858156012322987
low,2,crooked/random-like,17584,1099,0.5527591441137998,0.13186450711454017,0.05963660708938867,0.4294986434434814,0.003911203607256811,0.041834254264590656
medium,1,circle-like,4936,698,0.5786972552211961,0.8636236264743681,0.36376378795855746,0.7010253071865012,0.0003383409241550684,-0.2641460551397141
medium,2,crooked/random-like,17904,1051,0.5812402759746818,0.13945927437014552,0.05914487479806618,0.40997479619978544,0.001957719947890154,0.040940271671243846
