condition,events,median_contraction_s,median_expansion_s,reciprocal_product,identity_alpha,distance_contraction_to_1_over_e,distance_contraction_to_1_over_phi,distance_expansion_to_e,distance_expansion_to_phi,median_abs_turns,distance_turn_to_phi_minus_2,distance_turn_to_nearest_q_le_8
low,827355,0.8678881901124095,1.1458854688004327,0.9945004655933174,1.149049443368956,0.5000087489409671,0.24985420136251468,1.5723963596586124,0.47214851994946216,0.018589420496478316,0.3633765907536268,0.018589420496478316
medium,897067,0.8794479682028926,1.1375365273782856,1.0004041877594074,1.13730670787349,0.5115685270314503,0.2614139794529978,1.5807453010807595,0.4804974613716093,0.02017343634012984,0.3617925749099753,0.02017343634012984
high,1114558,0.8690883443668074,1.1495346334941536,0.9990471514157387,1.1500826914114681,0.501208903195365,0.2510543556169126,1.5687471949648915,0.46849935525574127,0.021721336861827156,0.360244674388278,0.021721336861827156
