field,candidate,low_landmark,high_landmark,n,mean_abs_distance,median_abs_distance,max_abs_distance,rank
direct_flow,ridge,1.0,1.0,5,0.18780932097389214,0.18575063613231546,0.2941176470588234,1
direct_flow,half,0.5,1.5,5,0.31219067902610786,0.31424936386768454,0.40909090909090895,2
direct_flow,two_fifths,0.4,1.6,5,0.4121906790261079,0.4142493638676845,0.509090909090909,3
direct_flow,anti_phi,0.3819660112501051,1.618033988749895,5,0.43022466777600277,0.43228335261757944,0.5271248978408039,4
direct_flow,three_eighths,0.375,1.625,5,0.43719067902610786,0.43924936386768454,0.534090909090909,5
direct_flow,one_third,0.3333333333333333,1.6666666666666667,5,0.4788573456927746,0.4809160305343512,0.5757575757575757,6
bed_structure,half,0.5,1.5,5,0.236394979552703,0.35882352941176476,0.4058524173027991,1
bed_structure,ridge,1.0,1.0,5,0.26610502044729706,0.14117647058823524,0.5062500000000001,2
bed_structure,two_fifths,0.4,1.6,5,0.333894979552703,0.45882352941176474,0.5058524173027991,3
bed_structure,anti_phi,0.3819660112501051,1.618033988749895,5,0.35192896830259784,0.47685751816165967,0.523886406052694,4
bed_structure,three_eighths,0.375,1.625,5,0.35889497955270294,0.48382352941176476,0.5308524173027991,5
bed_structure,one_third,0.3333333333333333,1.6666666666666667,5,0.4005616462193696,0.5254901960784315,0.5725190839694658,6
piv_flow_proxy,half,0.5,1.5,5,0.24378862194533504,0.29898218829516543,0.34705882352941186,1
piv_flow_proxy,two_fifths,0.4,1.6,5,0.27917323732995036,0.3989821882951654,0.44705882352941184,2
piv_flow_proxy,anti_phi,0.3819660112501051,1.618033988749895,5,0.28999363057988736,0.41701617704506033,0.46509281227930677,3
piv_flow_proxy,three_eighths,0.375,1.625,5,0.29417323732995043,0.42398218829516543,0.47205882352941186,4
piv_flow_proxy,one_third,0.3333333333333333,1.6666666666666667,5,0.31917323732995045,0.4656488549618321,0.5137254901960786,5
piv_flow_proxy,ridge,1.0,1.0,5,0.3508267626700496,0.20101781170483457,0.675,6
