date,nino34_raw,soi_raw,olr_raw,wwv_east_raw,wwv_west_raw,wind_w_raw,wind_c_raw,wind_e_raw,heat_raw,ocean_state,atmos_state,atmos_state_olr,la_ocean,la_atmos,el_ocean,el_atmos,ara_la_child,ara_el_child,ara_parent,ocean_flow,atmos_flow_w,atmos_flow_c,atmos_flow_e,ara_parent_flow
1980-01-01,0.55000000000000004,0.69999999999999996,0.59999999999999998,124997400000000,-48834050000000,-0.59999999999999998,-1,-0.20000000000000001,0.80000000000000004,0.62224946469739362,-0.44684290005261273,-0.61992458307023623,0,0.44684290005261273,0.62224946469739362,0,2,0,1.1640705428532336,,0.61993752496407872,0.95560962083691237,0.18787259203832882,1
1980-02-01,0.33000000000000002,0.5,0.40000000000000002,137774200000000,-43458900000000,-0.10000000000000001,-0.59999999999999998,0.29999999999999999,0.56000000000000005,0.37334967881843617,-0.31917350003758055,-0.41328305538015753,0,0.31917350003758055,0.37334967881843617,0,2,0,1.0782301306800295,0.1142106981480606,0.10332292082734645,0.57336577250214738,-0.28180888805749316,2
1980-03-01,0.089999999999999997,-0.69999999999999996,-1.1000000000000001,99555330000000,23019680000000,-1.8,-1.8,0.69999999999999996,0.5,0.1018226396777553,0.44684290005261273,1.1365284022954332,0,0,0.1018226396777553,0.44684290005261273,,1.6288353020027675,2,-1.6155274646628344,1.8598125748922363,1.7200973175064422,-0.65755407213415074,1.0313494051856762
1980-04-01,0.20000000000000001,-1,0,30742440000000,60764390000000,-1.6000000000000001,-0.69999999999999996,0.80000000000000004,0.64000000000000001,0.22627253261723404,0.6383470000751611,-0,0,0,0.22627253261723404,0.6383470000751611,,1.4765962968413882,2,-1.6442303930855664,1.6531667332375433,0.66892673458583862,-0.75149036815331527,0.57836687926101216
1980-05-01,0.13,-0,-0.20000000000000001,124353700000000,30514000000000,-1.3999999999999999,-1,1,0.80000000000000004,0.14707714620120213,0,0.20664152769007876,0,-0,0.14707714620120213,0,,0,2,1.9112394561038053,1.4465208915828502,0.95560962083691237,-0.939362960191644,2
1980-06-01,0.37,-0,-0.69999999999999996,171665300000000,14066290000000,-1.3,-0.5,1.2,0.94999999999999996,0.41860418534188293,0,0.72324534691527553,0,-0,0.41860418534188293,0,,0,2,0.98383405166937399,1.343197970755504,0.47780481041845618,-1.1272355522299726,2
1980-07-01,0.02,-0.10000000000000001,-0.29999999999999999,88460820000000,3705617000000,-0.90000000000000002,0.20000000000000001,1.3,0.22,0.022627253261723403,0.063834700007516107,0.30996229153511812,0,0,0.022627253261723403,0.063834700007516107,,1.4765962968413882,2,-1.124011815369895,0.92990628744611814,-0.1911219241673825,-1.2211718482491372,0
1980-08-01,-0.23000000000000001,0.59999999999999998,-0.90000000000000002,20404650000000,58258410000000,-0.59999999999999998,1.1000000000000001,1.3,0.070000000000000007,-0.26021341250981916,-0.38300820004509661,0.92988687460535435,0.26021341250981916,0.38300820004509661,0,0,1.1909058793088887,,0,-1.8919099475711132,0.61993752496407872,-1.0511705829206037,-1.2211718482491372,0
1980-09-01,-0.12,-0.80000000000000004,0,-16936000000000,102304500000000,-0.69999999999999996,1.1000000000000001,1.3999999999999999,-0.11,-0.13576351957034041,0.51067760006012886,-0,0.13576351957034041,0,0,0.51067760006012886,0,2,1.5799663250136438,-1.255833009584983,0.72326044579142512,-1.0511705829206037,-1.3151081442683015,0
1980-10-01,-0.11,0,-0.29999999999999999,30258310000000,103160100000000,-0.29999999999999999,1.3,1.8,0.050000000000000003,-0.12444989293947871,-0,0.30996229153511812,0.12444989293947871,0,0,-0,0,,0,0.71502657115379908,0.30996876248203936,-1.2422925070879862,-1.6908533283449592,0.73061830245489767
1980-11-01,0.10000000000000001,-0.59999999999999998,-0.40000000000000002,66159540000000,102580200000000,-0.5,0.80000000000000004,0.90000000000000002,0.37,0.11313626630861702,0.38300820004509661,0.41328305538015753,0,0,0.11313626630861702,0.38300820004509661,,1.5439382116258076,2,0.56291979849495155,0.51661460413673232,-0.76448769666952998,-0.84542666417247958,0.84814919389196175
1980-12-01,0.35999999999999999,-0.10000000000000001,0.29999999999999999,96629050000000,73338310000000,0.10000000000000001,0.90000000000000002,1.1000000000000001,0.46000000000000002,0.40729055871102121,0.063834700007516107,-0.30996229153511812,0,0,0.40729055871102121,0.063834700007516107,,0.27098823009891998,2,0.9213730291756711,-0.10332292082734645,-0.86004865875322112,-1.0332992562108085,1.0344243986912198
1981-01-01,-0.46000000000000002,0.59999999999999998,0.40000000000000002,72906670000000,65027420000000,-0.29999999999999999,0.69999999999999996,1.5,0.26000000000000001,-0.52042682501963833,-0.38300820004509661,-0.41328305538015753,0.52042682501963833,0.38300820004509661,0,0,0.84789318416706827,,0,-0.23780603411426565,0.30996876248203936,-0.66892673458583862,-1.409044440287466,0
1981-02-01,-0.45000000000000001,-0.29999999999999999,-0.69999999999999996,38018250000000,83564900000000,-1.3,-0.40000000000000002,1.7,0.20999999999999999,-0.50911319838877656,0.19150410002254831,0.72324534691527553,0.50911319838877656,0,0,0.19150410002254831,0,2,0.54667248569737237,-0.82438501390750318,1.343197970755504,0.38224384833476499,-1.5969170323257946,0.63357318939718466
1981-03-01,-0.02,-2.1000000000000001,-0.90000000000000002,97329260000000,108374100000000,-1,0.20000000000000001,0.69999999999999996,0.72999999999999998,-0.022627253261723403,1.3405287001578383,0.92988687460535435,0.022627253261723403,0,0,1.3405287001578383,0,2,1.9668016660823562,0.53237802482848262,1.0332292082734646,-0.1911219241673825,-0.65755407213415074,1.4716739802604333
