model,params_m,length,ladder,seed,turn,fidelity_vs_input,fidelity_vs_original
pythia-70m-deduped,70,2,fib,0,1,0.0,0.0
pythia-70m-deduped,70,2,fib,0,2,1.0,0.0
pythia-70m-deduped,70,2,fib,0,3,1.0,0.0
pythia-70m-deduped,70,2,fib,0,4,1.0,0.0
pythia-70m-deduped,70,2,fib,0,5,1.0,0.0
pythia-70m-deduped,70,2,fib,0,6,1.0,0.0
pythia-70m-deduped,70,2,fib,0,7,1.0,0.0
pythia-70m-deduped,70,2,fib,0,8,1.0,0.0
pythia-70m-deduped,70,2,fib,0,9,1.0,0.0
pythia-70m-deduped,70,2,fib,0,10,1.0,0.0
pythia-70m-deduped,70,2,fib,0,11,1.0,0.0
pythia-70m-deduped,70,2,fib,0,12,1.0,0.0
pythia-70m-deduped,70,2,fib,1,1,0.0,0.0
pythia-70m-deduped,70,2,fib,1,2,1.0,0.0
pythia-70m-deduped,70,2,fib,1,3,1.0,0.0
pythia-70m-deduped,70,2,fib,1,4,1.0,0.0
pythia-70m-deduped,70,2,fib,1,5,1.0,0.0
pythia-70m-deduped,70,2,fib,1,6,1.0,0.0
pythia-70m-deduped,70,2,fib,1,7,1.0,0.0
pythia-70m-deduped,70,2,fib,1,8,1.0,0.0
pythia-70m-deduped,70,2,fib,1,9,1.0,0.0
pythia-70m-deduped,70,2,fib,1,10,1.0,0.0
pythia-70m-deduped,70,2,fib,1,11,1.0,0.0
pythia-70m-deduped,70,2,fib,1,12,1.0,0.0
pythia-70m-deduped,70,2,fib,2,1,0.0,0.0
pythia-70m-deduped,70,2,fib,2,2,1.0,0.0
pythia-70m-deduped,70,2,fib,2,3,1.0,0.0
pythia-70m-deduped,70,2,fib,2,4,1.0,0.0
pythia-70m-deduped,70,2,fib,2,5,1.0,0.0
pythia-70m-deduped,70,2,fib,2,6,1.0,0.0
pythia-70m-deduped,70,2,fib,2,7,1.0,0.0
pythia-70m-deduped,70,2,fib,2,8,1.0,0.0
pythia-70m-deduped,70,2,fib,2,9,1.0,0.0
pythia-70m-deduped,70,2,fib,2,10,1.0,0.0
pythia-70m-deduped,70,2,fib,2,11,1.0,0.0
pythia-70m-deduped,70,2,fib,2,12,1.0,0.0
pythia-70m-deduped,70,2,fib,3,1,0.0,0.0
pythia-70m-deduped,70,2,fib,3,2,1.0,0.0
pythia-70m-deduped,70,2,fib,3,3,1.0,0.0
pythia-70m-deduped,70,2,fib,3,4,1.0,0.0
pythia-70m-deduped,70,2,fib,3,5,1.0,0.0
pythia-70m-deduped,70,2,fib,3,6,1.0,0.0
pythia-70m-deduped,70,2,fib,3,7,1.0,0.0
pythia-70m-deduped,70,2,fib,3,8,1.0,0.0
pythia-70m-deduped,70,2,fib,3,9,1.0,0.0
pythia-70m-deduped,70,2,fib,3,10,1.0,0.0
pythia-70m-deduped,70,2,fib,3,11,1.0,0.0
pythia-70m-deduped,70,2,fib,3,12,1.0,0.0
pythia-70m-deduped,70,2,fib,4,1,0.0,0.0
pythia-70m-deduped,70,2,fib,4,2,1.0,0.0
pythia-70m-deduped,70,2,fib,4,3,1.0,0.0
pythia-70m-deduped,70,2,fib,4,4,1.0,0.0
pythia-70m-deduped,70,2,fib,4,5,1.0,0.0
pythia-70m-deduped,70,2,fib,4,6,1.0,0.0
pythia-70m-deduped,70,2,fib,4,7,1.0,0.0
pythia-70m-deduped,70,2,fib,4,8,1.0,0.0
pythia-70m-deduped,70,2,fib,4,9,1.0,0.0
pythia-70m-deduped,70,2,fib,4,10,1.0,0.0
pythia-70m-deduped,70,2,fib,4,11,1.0,0.0
pythia-70m-deduped,70,2,fib,4,12,1.0,0.0
pythia-70m-deduped,70,2,fib,5,1,0.0,0.0
pythia-70m-deduped,70,2,fib,5,2,1.0,0.0
pythia-70m-deduped,70,2,fib,5,3,1.0,0.0
pythia-70m-deduped,70,2,fib,5,4,1.0,0.0
pythia-70m-deduped,70,2,fib,5,5,1.0,0.0
pythia-70m-deduped,70,2,fib,5,6,1.0,0.0
pythia-70m-deduped,70,2,fib,5,7,1.0,0.0
pythia-70m-deduped,70,2,fib,5,8,1.0,0.0
pythia-70m-deduped,70,2,fib,5,9,1.0,0.0
pythia-70m-deduped,70,2,fib,5,10,1.0,0.0
pythia-70m-deduped,70,2,fib,5,11,1.0,0.0
pythia-70m-deduped,70,2,fib,5,12,1.0,0.0
pythia-70m-deduped,70,3,fib,0,1,0.0,0.0
pythia-70m-deduped,70,3,fib,0,2,1.0,0.0
pythia-70m-deduped,70,3,fib,0,3,1.0,0.0
pythia-70m-deduped,70,3,fib,0,4,1.0,0.0
pythia-70m-deduped,70,3,fib,0,5,1.0,0.0
pythia-70m-deduped,70,3,fib,0,6,1.0,0.0
pythia-70m-deduped,70,3,fib,0,7,1.0,0.0
pythia-70m-deduped,70,3,fib,0,8,1.0,0.0
pythia-70m-deduped,70,3,fib,0,9,1.0,0.0
pythia-70m-deduped,70,3,fib,0,10,1.0,0.0
pythia-70m-deduped,70,3,fib,0,11,1.0,0.0
pythia-70m-deduped,70,3,fib,0,12,1.0,0.0
pythia-70m-deduped,70,3,fib,1,1,0.0,0.0
pythia-70m-deduped,70,3,fib,1,2,0.333,0.0
pythia-70m-deduped,70,3,fib,1,3,1.0,0.0
pythia-70m-deduped,70,3,fib,1,4,1.0,0.0
pythia-70m-deduped,70,3,fib,1,5,1.0,0.0
pythia-70m-deduped,70,3,fib,1,6,1.0,0.0
pythia-70m-deduped,70,3,fib,1,7,1.0,0.0
pythia-70m-deduped,70,3,fib,1,8,1.0,0.0
pythia-70m-deduped,70,3,fib,1,9,1.0,0.0
pythia-70m-deduped,70,3,fib,1,10,1.0,0.0
pythia-70m-deduped,70,3,fib,1,11,1.0,0.0
pythia-70m-deduped,70,3,fib,1,12,1.0,0.0
pythia-70m-deduped,70,3,fib,2,1,0.0,0.0
pythia-70m-deduped,70,3,fib,2,2,0.667,0.0
pythia-70m-deduped,70,3,fib,2,3,0.667,0.0
pythia-70m-deduped,70,3,fib,2,4,0.667,0.0
pythia-70m-deduped,70,3,fib,2,5,0.667,0.0
pythia-70m-deduped,70,3,fib,2,6,0.667,0.0
