order,landmark,time_us,cumulative_ara,evidence_grain,source_test
1,Prompt neutrino crest,0.500500,0.244269,Fitted population,T399
2,Prompt/delayed rate equality,0.636074,0.437389,Fitted population,T399
3,Cumulative child-half,0.686649,0.500000,Derived population,T399
4,Delayed muon-decay-neutrino crest,0.785500,0.600426,Fitted population,T399
