source_file,date,split,burst,recording_fraction,feature,boundary_scale_frames,boundary_scale_seconds,geometry_change_score,delta_persistence,delta_retained_dispersion,delta_abs_reversal_asymmetry,null_median,null_q95,null_excess_q95,null_z_score
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,2,0.020008003201280513,0.7927106174218389,-0.051853123019954206,0.7035286078052432,0.36159213847373256,3.8164870713965904,4.140853637145254,-3.3481430197234148,-15.694308185369355
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,4,0.040016006402561026,3.119018158567206,0.05831356052058474,3.107952397109432,-0.2559408123631564,16.782966405067363,17.24913276644194,-14.130114607874733,-38.30765079623612
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,8,0.08003201280512205,12.423969695648715,0.11203392857337731,12.417580813927906,0.3823063258901318,11.329398165886893,11.656475527839048,0.7674941678096676,5.9824280491280435
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,16,0.1600640256102441,1.0568826763262926,0.018598895083224497,0.5805633987583444,0.8829502888852068,5.633700224879244,6.078706596551552,-5.021823920225259,-29.76668482380375
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,32,0.3201280512204882,3.262355272880446,0.03765737712386606,-3.2612464261376224,-0.07626005798309925,2.054154876084933,2.6644092434109874,0.5979460294694587,4.845427566819127
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,64,0.6402561024409764,2.3534194814516414,-0.1530436756480636,-2.118588235781901,-1.0132841537430528,2.092451203236662,3.0644889546295695,-0.7110694731779281,0.6338793141728668
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,128,1.2805122048819528,3.9572115848325624,-0.9864355996082719,-1.1076903708008006,3.668717811087914,1.7683223000188057,3.45771194428643,0.4994996405461323,4.395934770637084
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,256,2.5610244097639057,2.3720724536808855,-1.251935095673307,-1.525500813042955,-1.3161434234681288,1.655939637935781,4.17908777047621,-1.8070153167953245,1.1833995168747136
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,512,5.122048819527811,11.42151316337056,1.259228933101283,-7.736707516535472,8.307145252050859,3.0288667604778197,6.389796062034755,5.031717101335806,7.43932191653675
20220217_cam1_flid1.h5,20220217,development,q1,0.125,traversal_speed,1024,10.244097639055623,2.955528061553632,0.482304999924912,-2.9097990372719003,0.18867318932462163,3.9838225942887147,9.593552048031588,-6.638023986477956,-0.7122442729842665
