lifecycle_quartile,blocks,flies,all_node_blocks,core_all_finite_fraction,all_14_finite_fraction,at_least_10_finite_fraction,median_nodes_finite,edge_fraction
1,8,8,2,1.0,0.0,1.0,12.0,0.0005
2,8,8,2,1.0,0.0,1.0,12.5,0.07925
3,8,8,2,0.9995,0.0,0.998,11.5,0.029500000000000002
4,8,8,2,1.0,0.081,1.0,13.0,0.0
