source_file,burst,recording_fraction,feature,scale_frames,observed_score,permuted_median,permuted_q95,observed_reversal_asymmetry,reversed_reversal_asymmetry
20220217_cam1_flid1.h5,q1,0.125,core_span,64,0.7959266656326466,0.9371861304787019,2.1040448513144856,0.45008679799586593,-0.295941406106358
20220217_cam1_flid1.h5,q2,0.375,core_span,64,2.1756818676345304,1.2780841832613352,2.5252318568334293,-0.04022052558550294,-0.17954673965380835
20220217_cam1_flid1.h5,q3,0.625,core_span,64,2.829844048650784,0.8074058619154538,2.036845687431534,0.5891323680794607,-0.2981365074882763
20220217_cam1_flid1.h5,q4,0.875,core_span,64,0.9502928320919873,1.0746202655446155,3.674452371347997,-0.0770058030014681,-0.013684630612854956
20220217_cam4_flid15.h5,q1,0.125,core_span,64,4.0938704256517315,0.8278992777219149,1.9276498271011664,0.6778807308704681,-0.51256600609343
20220217_cam4_flid15.h5,q2,0.375,core_span,64,2.2508359671056413,1.2924140278067335,2.4469383615957025,-0.10727815671948339,0.048110732510015214
20220217_cam4_flid15.h5,q3,0.625,core_span,64,0.5525076805228537,1.0457090012467534,3.033939104244798,0.05576914401278133,0.09297604420346511
20220217_cam4_flid15.h5,q4,0.875,core_span,64,1.2669684712292293,0.9857688241905255,1.9077025817471467,-0.257687770005242,0.30239678826514255
20220313_cam3_flid16.h5,q1,0.125,core_span,64,2.363804525825675,1.233574234273048,2.1479304548258304,-0.2390053355141476,-0.16050204470625354
20220313_cam3_flid16.h5,q2,0.375,core_span,64,1.8185998916078403,1.4905117937482646,2.496711416580112,0.11749949900366606,0.2556524769128439
20220313_cam3_flid16.h5,q3,0.625,core_span,64,3.9493957084317644,1.063745422693957,2.342843648140836,0.3144705026298582,-0.28951662557829744
20220313_cam3_flid16.h5,q4,0.875,core_span,64,0.9427633433384525,1.4265868870594502,2.396459617552462,0.0452823288805609,0.00847314657161755
20220313_cam4_flid23.h5,q1,0.125,core_span,64,3.1446739776679657,1.1020730775471663,1.9272661774316207,-0.19543961157969555,-0.46400907556652604
20220313_cam4_flid23.h5,q2,0.375,core_span,64,6.075499937411864,0.9705715469384755,1.2472736672725238,0.6131672562407049,-0.4435925861899205
20220313_cam4_flid23.h5,q3,0.625,core_span,64,1.0225893388956848,1.0612658458357398,2.3686529871506306,-0.09145682062526814,0.25860241380930454
20220313_cam4_flid23.h5,q4,0.875,core_span,64,1.3420156886455974,0.9049827327044999,2.069619732816857,0.2694987887275299,0.44317875600844736
20220326_cam3_flid24.h5,q1,0.125,core_span,64,2.122158760269805,1.1960457243361517,2.4901355523845226,0.01137792483304693,0.0007662244030083885
20220326_cam3_flid24.h5,q2,0.375,core_span,64,2.1191320318928053,0.8371213526086252,1.5256343295005261,0.07998926803014479,0.1295195933211059
20220326_cam3_flid24.h5,q3,0.625,core_span,64,1.476013975476711,1.421682545294464,2.4464890661590912,-0.1131459524899985,-0.12786461234168983
20220326_cam3_flid24.h5,q4,0.875,core_span,64,0.8178437953198033,1.1478978814181757,2.311649483563954,0.0832955864395072,0.026742571412187874
20220326_cam4_flid31.h5,q1,0.125,core_span,64,0.7402129274566825,1.075617562082654,2.3615036058406043,-0.07816927344150565,-0.022917565895782987
20220326_cam4_flid31.h5,q2,0.375,core_span,64,2.523042833241439,3.403571809013087,6.268968564677015,-0.8027189346051855,0.8097544214678031
20220326_cam4_flid31.h5,q3,0.625,core_span,64,0.888258495492153,1.2572314508918718,2.2417908116636043,-0.09105745229228583,0.04696807143074464
20220326_cam4_flid31.h5,q4,0.875,core_span,64,1.6107567012881188,1.0693993590317852,2.118024075890022,0.0910559238199025,0.0676880253908574
