source_file,date,split,burst,recording_fraction,fps,reference_body_length_pixels,core_valid_fraction,appendage_valid_fraction,lr_valid_fraction,idle_fraction,locomotion_fraction,on_edge_fraction,temperature_median,relative_humidity_median
20220217_cam1_flid1.h5,20220217,development,q1,0.125,99.96,60.602314114105084,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,27.0,35.70000076293945
20220217_cam1_flid1.h5,20220217,development,q2,0.375,99.96,60.602314114105084,1.0,0.9989996665555185,0.9334778259419807,0.08569523174391463,0.29393131043681225,0.4203067689229743,28.200000762939453,8.600000381469727
20220217_cam1_flid1.h5,20220217,development,q3,0.625,99.96,60.602314114105084,0.9994998332777593,0.9976658886295432,0.865621873957986,0.11487162387462488,0.2314104701567189,0.4211403801267089,28.399999618530273,8.199999809265137
20220217_cam1_flid1.h5,20220217,development,q4,0.875,99.96,60.602314114105084,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,28.600000381469727,19.399999618530273
20220217_cam4_flid15.h5,20220217,development,q1,0.125,99.96,57.0965648252795,1.0,0.9994998332777593,0.9769923307769256,0.23641213737912636,0.08969656552184062,0.0011670556852284096,26.299999237060547,37.20000076293945
20220217_cam4_flid15.h5,20220217,development,q2,0.375,99.96,57.0965648252795,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,28.299999237060547,7.300000190734863
20220217_cam4_flid15.h5,20220217,development,q3,0.625,99.96,57.0965648252795,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,27.0,9.199999809265137
20220217_cam4_flid15.h5,20220217,development,q4,0.875,99.96,57.0965648252795,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,28.399999618530273,31.299999237060547
20220313_cam3_flid16.h5,20220313,development,q1,0.125,99.96,64.79621531521317,1.0,0.996165388462821,0.9716572190730244,0.009003001000333445,0.6248749583194398,0.17522507502500834,27.0,10.600000381469727
20220313_cam3_flid16.h5,20220313,development,q2,0.375,99.96,64.79621531521317,1.0,0.9993331110370124,0.9846615538512837,0.014004668222740914,0.5635211737245749,0.21457152384128042,27.399999618530273,9.300000190734863
20220313_cam3_flid16.h5,20220313,development,q3,0.625,99.96,64.79621531521317,1.0,0.9996665555185061,0.9964988329443147,0.0,0.8261087029009669,0.041347115705235075,26.600000381469727,13.899999618530273
20220313_cam3_flid16.h5,20220313,development,q4,0.875,99.96,64.79621531521317,1.0,0.9996665555185061,0.9963321107035679,0.057685895298432814,0.739079693231077,0.0030010003334444814,27.299999237060547,20.100000381469727
20220313_cam4_flid23.h5,20220313,development,q1,0.125,99.96,63.38043820973379,0.9981660553517839,0.9971657219073025,0.9943314438146049,0.013171057019006335,0.67189063021007,0.002334111370456819,26.700000762939453,12.100000381469727
20220313_cam4_flid23.h5,20220313,development,q2,0.375,99.96,63.38043820973379,1.0,0.9998332777592531,0.9998332777592531,0.7260753584528176,0.00916972324108036,0.0,28.399999618530273,8.100000381469727
20220313_cam4_flid23.h5,20220313,development,q3,0.625,99.96,63.38043820973379,0.9993331110370124,0.9971657219073025,0.9871623874624875,0.005168389463154384,0.42397465821940644,0.12020673557852618,28.100000381469727,9.199999809265137
20220313_cam4_flid23.h5,20220313,development,q4,0.875,99.96,63.38043820973379,0.9986662220740247,0.9969989996665555,0.9879959986662221,0.0351783927975992,0.4614871623874625,0.046182060686895635,27.5,20.200000762939453
20220326_cam3_flid24.h5,20220326,development,q1,0.125,99.96,56.06409281424049,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,27.899999618530273,11.699999809265137
20220326_cam3_flid24.h5,20220326,development,q2,0.375,99.96,56.06409281424049,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,26.5,11.399999618530273
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,56.06409281424049,1.0,0.9996665555185061,0.9973324441480493,0.010836945648549517,0.5096698899633211,0.03317772590863621,27.600000381469727,10.899999618530273
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,56.06409281424049,1.0,0.9998332777592531,0.9998332777592531,0.2799266422140714,0.0,0.0,26.899999618530273,9.0
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,56.69073126485026,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,27.5,11.5
20220326_cam4_flid31.h5,20220326,development,q2,0.375,99.96,56.69073126485026,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,27.100000381469727,11.800000190734863
20220326_cam4_flid31.h5,20220326,development,q3,0.625,99.96,56.69073126485026,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,27.5,10.800000190734863
20220326_cam4_flid31.h5,20220326,development,q4,0.875,99.96,56.69073126485026,1.0,0.9998332777592531,0.9998332777592531,1.0,0.0,0.0,26.700000762939453,10.199999809265137
