source_file,date,split,feature,boundary_scale_frames,boundary_scale_seconds,geometry_change_score,null_median,null_q95,null_excess_q95,null_z_score,delta_persistence,delta_retained_dispersion,delta_abs_reversal_asymmetry,nomination_rank
20220217_cam1_flid1.h5,20220217,development,core_bend,8,0.08003201280512205,2.1079224051490635,0.9000371723041547,1.2086451259633484,0.7577801667420553,12.832711218283704,-0.09388111011503028,-0.16494085427161767,-0.09079148417762675,1
20220217_cam1_flid1.h5,20220217,development,core_span,32,0.3201280512204882,2.2792513117065796,1.0469578384360048,1.9019196295787264,0.19136618734164057,5.714958478214438,-0.36166467211870723,-0.3788545309039676,1.032055087801407,1
20220217_cam1_flid1.h5,20220217,development,rotation_speed,4,0.040016006402561026,1.3917186323444493,0.3943743840979406,0.6570945225257002,0.37474042615842923,9.427374760685815,0.3748664274955994,-0.1358481781341682,0.9249861340365164,1
20220217_cam4_flid15.h5,20220217,development,articulation_speed,16,0.1600640256102441,4.16885164180543,4.287535168629335,5.183305063312936,1.3797300766002794,4.2283543802661665,0.09362022640938435,2.4041090062660406,0.05420676342316951,1
20220217_cam4_flid15.h5,20220217,development,core_span,32,0.3201280512204882,1.9667128907965594,1.0472281984887861,1.7919344308673377,0.423089446993143,4.905864325728003,-0.28255611457582164,-0.014694505661693766,1.2723008162121077,1
20220217_cam4_flid15.h5,20220217,development,rotation_speed,64,0.6402561024409764,2.5542643494936246,1.483032113689484,2.474922809330206,0.05949335768873576,3.7488830068375703,-0.3962872421787651,1.1276502653286795,2.141809993306792,1
20220313_cam3_flid16.h5,20220313,development,core_bend,16,0.1600640256102441,1.707721298864818,1.0831637732914914,1.3998256116126722,0.3078956872521459,4.685408594736176,0.003952049457395537,-0.42201770197708777,0.3925476694384726,1
20220313_cam3_flid16.h5,20220313,development,core_span,128,1.2805122048819528,3.048978916874506,1.395159890697233,3.030382709882057,0.20442249148985647,2.9215633964554186,-1.2441869895287088,0.20989961444637695,2.408163816890335,1
20220313_cam3_flid16.h5,20220313,development,traversal_speed,16,0.1600640256102441,1.6310159305593597,0.6002727567388854,1.2526737475112673,0.6905046464782512,8.213367970954474,0.0013745644761587288,-0.30419579589153223,1.5772664243356016,1
20220313_cam4_flid23.h5,20220313,development,articulation_speed,4,0.040016006402561026,1.0243051764362388,0.6019826084465488,0.842057549213511,0.18224762722272786,6.318307107404321,0.1717743767714747,-0.05512429432449705,1.0023243435859495,1
20220313_cam4_flid23.h5,20220313,development,articulation_speed,256,2.5610244097639057,5.919541760658744,1.8284807784973733,5.391063933745924,0.5284778269128196,4.177799123062915,-0.4116733803289688,-0.29374890049833324,5.860337030184376,2
20220313_cam4_flid23.h5,20220313,development,core_bend,32,0.3201280512204882,3.0180154314086787,0.8153520700465275,1.3894340821231423,1.4683445057609665,10.049016332582138,-0.23879072291651626,-0.2653594319423505,0.41814076960778523,1
20220313_cam4_flid23.h5,20220313,development,core_span,64,0.6402561024409764,2.2433448331567813,1.131247040972616,1.9254503384622446,0.317894494694537,3.549556875203324,-0.6615481315283607,0.3119320916608165,0.7584506028865237,1
20220313_cam4_flid23.h5,20220313,development,rotation_speed,8,0.08003201280512205,0.9965350842829248,0.4332885975567704,0.8116039831270785,0.15817378400456328,5.9563869954338475,0.13384245633724323,-0.04770948098780017,0.9333952434595627,1
20220313_cam4_flid23.h5,20220313,development,rotation_speed,256,2.5610244097639057,5.090831597841692,1.9432889050381186,4.364203609929182,0.41524426585422036,4.009670734096588,-0.22944159916624607,-0.07624011439939624,4.983086899049601,2
20220313_cam4_flid23.h5,20220313,development,traversal_speed,16,0.1600640256102441,1.9420354078546396,0.7401481432505868,1.1633484416560576,0.5341916012823908,7.950552152434831,-0.06495998726739761,-0.1330070123339742,1.8816493191806969,1
20220326_cam3_flid24.h5,20220326,development,core_bend,512,5.122048819527811,6.390573135272648,2.430015321115963,5.197733527061242,0.07040289149724388,3.7402275641919513,0.9045717954717766,-0.9590981554276901,6.114948682644585,1
20220326_cam3_flid24.h5,20220326,development,rotation_speed,32,0.3201280512204882,2.842283367863451,3.0100246433641495,4.808607224882123,0.511763871024743,5.146360630279859,-0.5834148709076725,-1.1512714705170202,0.7345246378496144,1
20220326_cam3_flid24.h5,20220326,development,rotation_speed,128,1.2805122048819528,4.6532216048721615,2.2195976007215155,3.679171158265104,0.6765502930070639,4.005313417687054,0.6391170344159361,-4.408049495038968,-0.7576109668830808,2
20220326_cam3_flid24.h5,20220326,development,traversal_speed,16,0.1600640256102441,2.2472163882731064,0.6054345700129986,1.3074192598110956,0.08772819501223406,5.221515681570556,-0.013075659270769154,-0.21245782823893408,-0.5796344655622248,1
20220326_cam3_flid24.h5,20220326,development,traversal_speed,64,0.6402561024409764,2.755525150302729,1.2305760995925075,2.917428500228103,0.16115586972427676,3.4611413796752,-0.35404881039173086,-0.3277378906066134,-1.7462756882393342,2
20220326_cam4_flid31.h5,20220326,development,core_bend,64,0.6402561024409764,2.601680547226401,1.0306930496998734,2.17889378376998,0.3955576990707863,4.231103396480105,-0.38918650428215196,-0.6264933715258414,-0.1956418802306753,1
20220326_cam4_flid31.h5,20220326,development,core_span,512,5.122048819527811,6.4034708399855464,2.9299734868721954,5.796720760269059,0.547991191636727,2.445364638379906,0.12558255432635612,-3.1260245053612308,-0.19225273717047192,1
20220326_cam4_flid31.h5,20220326,development,lr_articulation_balance,64,0.6402561024409764,3.201376633762659,1.550986187705345,3.4136021161973438,0.16901967593753886,3.1146752321686257,0.3358739082121601,-0.43773649483132293,1.8127859973180012,1
