source_file,block_index,all_node_sample,recording_fraction,lifecycle_quartile,start_frame,frames,seconds,core_all_finite_fraction,all_14_finite_fraction,at_least_10_finite_fraction,median_nodes_finite,x_y_mask_agreement,edge_fraction,finite_head,longest_run_seconds_head,finite_eyeL,longest_run_seconds_eyeL,finite_eyeR,longest_run_seconds_eyeR,finite_thorax,longest_run_seconds_thorax,finite_abdomen,longest_run_seconds_abdomen,finite_forelegL,longest_run_seconds_forelegL,finite_forelegR,longest_run_seconds_forelegR,finite_midlegL,longest_run_seconds_midlegL,finite_midlegR,longest_run_seconds_midlegR,finite_hindlegL,longest_run_seconds_hindlegL,finite_hindlegR,longest_run_seconds_hindlegR,finite_wingL,longest_run_seconds_wingL,finite_wingR,longest_run_seconds_wingR,finite_proboscis,longest_run_seconds_proboscis
20220313_cam3_flid16.h5,2,True,0.6249979730454274,3,19117038,500,5.002000800320128,1.0,0.0,0.996,12.0,1.0,0.004,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.844,1.0204081632653061,0.78,1.1104441776710685,0.96,1.520608243297319,0.8,0.5502200880352142,0.894,1.1004401760704283,0.938,3.5514205682272912,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0
20220313_cam3_flid16.h5,3,False,0.8749938537506506,4,26763852,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220313_cam4_flid23.h5,0,False,0.1250093291284768,1,2518930,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220313_cam4_flid23.h5,1,False,0.3750030766274764,2,7556788,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220313_cam4_flid23.h5,2,False,0.6249969233725237,3,12594648,500,5.002000800320128,1.0,,,,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220313_cam4_flid23.h5,3,True,0.8749906708715232,4,17632506,500,5.002000800320128,1.0,0.162,1.0,13.0,,0.0,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.99,1.3705482192877152,0.912,2.150860344137655,0.998,4.29171668667467,0.984,4.921968787515007,0.992,4.821928771508603,0.86,1.400560224089636,1.0,5.002000800320128,1.0,5.002000800320128,0.166,0.1600640256102441
20220326_cam3_flid24.h5,0,True,0.12500574100213957,1,4093300,500,5.002000800320128,1.0,0.0,1.0,12.0,1.0,0.0,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0
20220326_cam3_flid24.h5,1,False,0.37500189330921624,2,12279898,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220326_cam3_flid24.h5,2,False,0.6249981066907838,3,20466498,500,5.002000800320128,0.996,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220326_cam3_flid24.h5,3,False,0.8749942589978604,4,28653096,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220326_cam4_flid31.h5,0,False,0.12500517258608615,1,4543120,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220326_cam4_flid31.h5,1,True,0.3750017058528582,2,13629358,500,5.002000800320128,1.0,0.0,1.0,13.0,,0.0,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0
20220326_cam4_flid31.h5,2,False,0.6249982941471418,3,22715598,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220326_cam4_flid31.h5,3,False,0.8749948274139139,4,31801836,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam1_flid32.h5,0,False,0.1250163259748344,1,1439362,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam1_flid32.h5,1,False,0.3750053840980837,2,4318084,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam1_flid32.h5,2,True,0.6249946159019163,3,7196808,500,5.002000800320128,1.0,0.0,1.0,11.0,1.0,0.0,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0,1.0,5.002000800320128,0.0,0.0,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0
20220418_cam1_flid32.h5,3,False,0.8749836740251656,4,10075530,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam4_flid47.h5,0,False,0.12500533093055816,1,4408174,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam4_flid47.h5,1,False,0.37500175807284364,2,13224520,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam4_flid47.h5,2,False,0.6249982419271564,3,22040868,500,5.002000800320128,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220418_cam4_flid47.h5,3,True,0.8749946690694418,4,30857214,500,5.002000800320128,1.0,0.0,1.0,13.0,,0.0,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,1.0,5.002000800320128,0.0,0.0
