split,file,jd,start,delay_us,q1,q2,Q,x_mu,s,a
train,6234.2017.1221.0.wd,2458108,0.500718479605295,0.66126,26.25,18.75,45.0,0.8333333333333334,-0.16666666666666663,0.16666666666666663
train,6234.2017.1221.0.wd,2458108,0.5009028628346932,1.65376,13.76,13.76,27.52,1.0,0.0,0.0
train,6234.2017.1221.0.wd,2458108,0.5010789926750289,3.555,15.0,22.51,37.510000000000005,1.2002132764596107,0.20021327645961073,0.20021327645961073
train,6234.2017.1221.0.wd,2458108,0.5023685213355903,2.5775,13.75,23.76,37.510000000000005,1.2668621700879765,0.2668621700879765,0.2668621700879765
train,6234.2017.1221.0.wd,2458108,0.5024319666505498,1.2925,10.0,11.25,21.25,1.0588235294117647,0.05882352941176472,0.05882352941176472
train,6234.2017.1221.0.wd,2458108,0.5036909913842302,4.93001,20.01,17.5,37.510000000000005,0.9330845107971206,-0.06691548920287937,0.06691548920287937
train,6234.2017.1221.0.wd,2458108,0.503723563143012,0.99626,18.75,25.01,43.760000000000005,1.143053016453382,0.1430530164533821,0.1430530164533821
train,6234.2017.1221.0.wd,2458108,0.5044276988031539,6.34625,16.25,18.75,35.0,1.0714285714285714,0.0714285714285714,0.0714285714285714
train,6234.2017.1221.0.wd,2458108,0.5046240989095198,3.76124,23.74,20.0,43.739999999999995,0.9144947416552356,-0.08550525834476441,0.08550525834476441
train,6234.2017.1221.0.wd,2458108,0.5048399565115741,0.51249,17.5,8.74,26.240000000000002,0.6661585365853658,-0.33384146341463417,0.33384146341463417
train,6234.2017.1221.0.wd,2458108,0.5049118753837385,0.37124,14.99,25.0,39.99,1.2503125781445361,0.2503125781445361,0.2503125781445361
train,6234.2017.1221.0.wd,2458108,0.5062108990467302,0.32251,23.76,20.0,43.760000000000005,0.9140767824497257,-0.08592321755027432,0.08592321755027432
train,6234.2017.1221.0.wd,2458108,0.5070517624088686,1.92625,13.75,16.25,30.0,1.0833333333333333,0.08333333333333326,0.08333333333333326
train,6234.2017.1221.0.wd,2458108,0.5071305859064525,0.43249,13.75,17.51,31.26,1.1202815099168266,0.12028150991682662,0.12028150991682662
