split,file,event_index,delay_us,multiplicity,prompt_channels,daughter_channels,q1,q2,q3,q4,Q,x_mu,s,a,depth,x_wrong
calibration,6845.2020.0211.0,359,8.285,2,"[1, 2]","[1, 2, 3, 4]",1.200000048,0.125000005,0.0,0.0,1.325000053,0.0,-1.0,1.0,0.0628930817610063,0.18867924528301888
calibration,6845.2020.0211.0,840,1.78375,3,"[2, 3, 4]","[2, 3, 4]",0.0,1.4375000574999999,1.6666667333333334,2.00000008,5.104166870833334,1.436734693877551,0.43673469387755093,0.43673469387755093,1.4068027210884353,1.346938775510204
calibration,6845.2020.0211.0,967,1.5675,3,"[1, 2, 3]","[2, 3]",1.5333333946666667,1.3125000525,2.00000008,0.0,4.845833527166667,0.8254514187446259,-0.1745485812553741,0.1745485812553741,0.7308684436801376,0.5417024935511607
calibration,6845.2020.0211.0,1697,2.84,2,"[2, 3]","[3, 4]",0.0,1.6250000649999998,1.2666667173333332,0.0,2.891666782333333,0.8760806916426513,-0.12391930835734866,0.12391930835734866,0.9586935638808837,1.1239193083573487
calibration,6845.2020.0211.0,2741,3.57,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",0.800000032,0.6875000274999999,0.6666666933333333,0.6315789726315789,2.785745725464912,0.932063292135716,-0.06793670786428396,0.06793670786428396,0.9370489910519824,0.9470203888845153
calibration,6845.2020.0211.0,3228,1.0725,3,"[1, 2, 3]","[3, 4]",1.5333333946666667,1.3750000549999999,1.9333334106666666,0.0,4.8416668603333335,0.7986230636833046,-0.2013769363166954,0.2013769363166954,0.7217441193344808,0.567986230636833
calibration,6845.2020.0211.0,3943,0.4125,3,"[1, 2, 3]","[3, 4]",1.6666667333333334,1.6875000674999998,1.4666667253333332,0.0,4.820833526166666,0.6084701815038894,-0.39152981849611057,0.39152981849611057,0.6390089311437626,0.700086430423509
calibration,6845.2020.0211.0,4575,0.46875,3,"[1, 2, 3]","[1, 2, 3]",1.600000064,1.6875000674999998,1.8666667413333333,0.0,5.154166872833333,0.7243330638641876,-0.2756669361358124,0.2756669361358124,0.7011587173268661,0.6548100242522231
calibration,6845.2020.0211.0,5128,0.46625,2,"[1, 2]","[2, 3, 4]",1.8666667413333333,1.4375000574999999,0.0,0.0,3.304166798833333,0.0,-1.0,1.0,0.29003783102143754,0.8701134930643127
calibration,6845.2020.0211.0,7924,1.41125,2,"[1, 2]","[2, 3, 4]",1.5333333946666667,1.6250000649999998,0.0,0.0,3.1583334596666663,0.0,-1.0,1.0,0.34300791556728233,1.029023746701847
calibration,6845.2020.0211.0,8881,2.99125,3,"[1, 2, 3]","[2, 3]",1.5333333946666667,1.5000000599999999,1.8666667413333333,0.0,4.900000196000001,0.7619047619047619,-0.23809523809523814,0.23809523809523814,0.712018140589569,0.6122448979591837
calibration,6845.2020.0211.0,10062,4.0575,3,"[2, 3, 4]","[3, 4]",0.0,1.0625000425,0.5333333546666666,1.1578947831578947,2.7537281803245612,1.2283188659711715,0.22831886597117146,0.22831886597117146,1.3564280215550424,1.6126463327227842
calibration,6845.2020.0211.0,11016,0.4425,4,"[1, 2, 3, 4]","[1, 2, 3]",1.4666667253333332,1.4375000574999999,1.7333334026666667,1.105263202105263,5.7427633876052635,0.988582120899683,-0.011417879100316997,0.011417879100316997,0.9542393808632783,0.8855539007904685
calibration,6845.2020.0211.0,11151,0.605,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",1.4666667253333332,1.4375000574999999,1.7333334026666667,1.7894737557894735,6.426973941289474,1.0962568669601118,0.09625686696011182,0.09625686696011182,1.065570227818155,1.0041969495342409
calibration,6845.2020.0211.0,11566,4.14625,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",1.600000064,1.3125000525,1.6666667333333334,1.736842174736842,6.316009024570175,1.0777403562376306,0.07774035623763065,0.07774035623763065,1.0403573949978588,0.9655914725183153
calibration,6845.2020.0211.0,12960,0.74,2,"[1, 2]","[1, 2]",1.8666667413333333,1.7500000699999998,0.0,0.0,3.6166668113333333,0.0,-1.0,1.0,0.32258064516129026,0.9677419354838709
calibration,6845.2020.0211.0,13259,2.60375,2,"[1, 2]","[1, 2]",1.800000072,1.9375000775,0.0,0.0,3.7375001494999998,0.0,-1.0,1.0,0.34559643255295436,1.0367892976588629
calibration,6845.2020.0211.0,13404,1.345,4,"[1, 2, 3, 4]","[3, 4]",1.600000064,1.25000005,1.4000000559999999,1.4736842694736842,5.7236844394736845,1.0041379310344827,0.004137931034482678,0.004137931034482678,0.9866666666666667,0.9517241379310345
calibration,6845.2020.0211.0,13786,1.92375,3,"[1, 2, 3]","[1, 2, 3]",1.4666667253333332,1.5000000599999999,1.800000072,0.0,4.766666857333333,0.7552447552447553,-0.24475524475524468,0.24475524475524468,0.7132867132867133,0.6293706293706294
calibration,6845.2020.0211.0,15178,1.425,3,"[1, 2, 3]","[1, 2, 3]",1.6666667333333334,1.8125000724999998,1.800000072,0.0,5.279166877833333,0.6819258089976322,-0.3180741910023678,0.3180741910023678,0.6835043409629045,0.6866614048934491
calibration,6845.2020.0211.0,17649,8.58875,4,"[1, 2, 3, 4]","[3, 4]",1.1333333786666666,1.3750000549999999,1.5333333946666667,1.631579012631579,5.6732458409649125,1.1157325086973329,0.11573250869733287,0.11573250869733287,1.0971266589357043,1.0599149594124468
calibration,6845.2020.0211.0,17955,1.365,3,"[1, 2, 3]","[3, 4]",1.4666667253333332,1.5625000624999998,1.800000072,0.0,4.829166859833332,0.7454702329594479,-0.2545297670405521,0.2545297670405521,0.7126833477135462,0.6471095772217428
calibration,6845.2020.0211.0,19714,1.67625,3,"[1, 2, 3]","[1, 2, 3]",1.5333333946666667,1.8125000724999998,1.7333334026666667,0.0,5.079166869833333,0.6825266611977031,-0.3174733388022969,0.3174733388022969,0.6929176920973475,0.7136997538966365
calibration,6845.2020.0211.0,25099,9.57,2,"[3, 4]","[1, 2, 3, 4]",0.0,0.0,1.9333334106666666,1.736842174736842,3.6701755854035087,2.0,1.0,1.0,1.6488209050350542,0.9464627151051626
calibration,6845.2020.0211.0,25301,3.4925,2,"[1, 2]","[1, 2]",1.800000072,1.6250000649999998,0.0,0.0,3.4250001369999996,0.0,-1.0,1.0,0.31630170316301703,0.948905109489051
calibration,6845.2020.0211.0,25393,0.42,3,"[1, 2, 3]","[3, 4]",1.6666667333333334,1.5000000599999999,1.6666667333333334,0.0,4.833333526666667,0.689655172413793,-0.31034482758620696,0.31034482758620696,0.6666666666666665,0.6206896551724138
calibration,6845.2020.0211.0,26183,0.3925,2,"[1, 2]","[2, 3, 4]",1.6666667333333334,1.9375000775,0.0,0.0,3.604166810833333,0.0,-1.0,1.0,0.35838150289017345,1.0751445086705202
calibration,6845.2020.0211.0,27343,0.935,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",1.1333333786666666,1.8125000724999998,1.200000048,2.473684309473684,6.619517808640349,1.1099552757992384,0.10995527579923836,0.10995527579923836,1.1716415438131524,1.2950140798409806
calibration,6845.2020.0211.0,27461,0.5525,4,"[1, 2, 3, 4]","[2, 3]",1.4666667253333332,1.3750000549999999,1.8666667413333333,1.2631579452631578,5.971491466929825,1.0482556004406902,0.048255600440690216,0.048255600440690216,0.9933651609744154,0.8835842820418655
calibration,6845.2020.0211.0,27527,0.75875,2,"[1, 2]","[1, 2, 3]",1.8666667413333333,2.00000008,0.0,0.0,3.8666668213333333,0.0,-1.0,1.0,0.3448275862068965,1.0344827586206897
calibration,6845.2020.0211.0,30437,4.55125,2,"[1, 2]","[1, 2]",1.800000072,1.8125000724999998,0.0,0.0,3.6125001445,0.0,-1.0,1.0,0.3344867358708189,1.0034602076124566
calibration,6845.2020.0211.0,33038,3.91125,2,"[1, 2]","[2, 3, 4]",1.7333334026666667,1.5625000624999998,0.0,0.0,3.2958334651666665,0.0,-1.0,1.0,0.316055625790139,0.9481668773704172
calibration,6845.2020.0211.0,33911,2.59125,3,"[2, 3, 4]","[2, 3, 4]",0.0,1.3750000549999999,1.4666667253333332,1.8947369178947369,4.73640369822807,1.4193906843226225,0.4193906843226225,0.4193906843226225,1.4064882550853472,1.3806833966107972
calibration,6845.2020.0211.0,34202,0.8675,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",1.4666667253333332,1.1875000475,1.7333334026666667,1.7894737557894735,6.176973931289473,1.1406255547271629,0.14062555472716287,0.14062555472716287,1.0817150092898309,0.9638939184151666
calibration,6845.2020.0211.0,37866,3.90125,2,"[1, 2]","[2, 3]",1.4666667253333332,1.8125000724999998,0.0,0.0,3.2791667978333328,0.0,-1.0,1.0,0.36848792884371034,1.105463786531131
calibration,6845.2020.0211.0,38347,9.5075,4,"[1, 2, 3, 4]","[1, 2, 3]",1.4666667253333332,1.5000000599999999,1.800000072,1.4736842694736842,6.240351126807017,1.0491987630025303,0.049198763002530344,0.049198763002530344,1.0171492831037392,0.9530503233061569
calibration,6845.2020.0211.0,39023,1.78375,2,"[1, 2]","[2, 3, 4]",1.800000072,1.4375000574999999,0.0,0.0,3.2375001295,0.0,-1.0,1.0,0.296010296010296,0.888030888030888
calibration,6845.2020.0211.0,40252,1.81,3,"[1, 2, 3]","[2, 3]",1.3333333866666666,1.4375000574999999,2.00000008,0.0,4.770833524166667,0.8384279475982532,-0.16157205240174677,0.16157205240174677,0.759825327510917,0.6026200873362444
calibration,6845.2020.0211.0,40307,0.94125,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",1.2666667173333332,1.25000005,1.00000004,1.8947369178947369,5.4114037252280704,1.0698654563138272,0.06986545631382723,0.06986545631382723,1.1006646133895281,1.1622629275409306
calibration,6845.2020.0211.0,40745,1.3125,2,"[1, 2]","[1, 2]",1.4666667253333332,1.4375000574999999,0.0,0.0,2.9041667828333333,0.0,-1.0,1.0,0.32998565279770437,0.9899569583931133
calibration,6845.2020.0211.0,40857,0.94,2,"[1, 2]","[1, 2]",1.5333333946666667,1.6250000649999998,0.0,0.0,3.1583334596666663,0.0,-1.0,1.0,0.34300791556728233,1.029023746701847
calibration,6845.2020.0211.0,41281,2.7625,3,"[1, 2, 3]","[1, 2, 3]",1.7333334026666667,1.8125000724999998,2.466666765333333,0.0,6.0125002405,0.8205128205128205,-0.17948717948717952,0.17948717948717952,0.747978747978748,0.6029106029106028
calibration,6845.2020.0211.0,41793,0.36875,3,"[1, 2, 3]","[1, 2]",1.4666667253333332,2.00000008,1.5333333946666667,0.0,5.000000200000001,0.6133333333333333,-0.3866666666666667,0.3866666666666667,0.6755555555555556,0.7999999999999999
calibration,6845.2020.0211.0,42047,1.01875,2,"[1, 2]","[2, 3]",1.8666667413333333,1.00000004,0.0,0.0,2.8666667813333335,0.0,-1.0,1.0,0.2325581395348837,0.6976744186046511
calibration,6845.2020.0211.0,42303,0.39625,2,"[1, 2]","[2, 3]",1.600000064,1.7500000699999998,0.0,0.0,3.350000134,0.0,-1.0,1.0,0.34825870646766166,1.044776119402985
calibration,6845.2020.0211.0,44686,0.805,2,"[3, 4]","[2, 3, 4]",0.0,0.0,2.200000088,2.5789474715789473,4.778947559578947,2.0,1.0,1.0,1.6930983847283405,1.079295154185022
calibration,6845.2020.0211.0,48635,3.5075,3,"[1, 2, 3]","[1, 2, 3]",1.5333333946666667,1.4375000574999999,1.8666667413333333,0.0,4.8375001935,0.7717484926787251,-0.22825150732127486,0.22825150732127486,0.7126040769451623,0.594315245478036
calibration,6845.2020.0211.0,49748,0.9775,4,"[1, 2, 3, 4]","[1, 2, 3]",1.600000064,1.4375000574999999,1.8666667413333333,1.1578947831578947,6.062061645991228,0.9978656441051984,-0.0021343558948015984,0.0021343558948015984,0.950668644261959,0.8562746445754801
calibration,6845.2020.0211.0,50486,2.03375,4,"[1, 2, 3, 4]","[3, 4]",1.5333333946666667,1.25000005,1.4666667253333332,1.9473684989473683,6.197368668947368,1.1017692852087757,0.1017692852087757,0.1017692852087757,1.078461901391838,1.0318471337579618
calibration,6845.2020.0211.0,52627,3.46375,3,"[1, 2, 3]","[2, 3]",1.4666667253333332,1.8125000724999998,1.8666667413333333,0.0,5.1458335391666665,0.725506072874494,-0.274493927125506,0.274493927125506,0.7184885290148448,0.7044534412955465
calibration,6845.2020.0211.0,53413,1.3325,2,"[2, 3]","[3, 4]",0.0,1.6875000674999998,1.4666667253333332,0.0,3.1541667928333332,0.9299867899603699,-0.07001321003963012,0.07001321003963012,0.9766622633201232,1.07001321003963
calibration,6845.2020.0211.0,55171,0.3225,4,"[1, 2, 3, 4]","[1, 2, 3]",0.600000024,1.4375000574999999,1.8666667413333333,0.9473684589473684,4.851535281780701,1.1600596664105232,0.16005966641052316,0.16005966641052316,1.1010863505552293,0.9831397188446412
calibration,6845.2020.0211.0,55862,0.665,2,"[1, 2]","[1, 2]",1.600000064,1.6250000649999998,0.0,0.0,3.2250001289999997,0.0,-1.0,1.0,0.3359173126614987,1.0077519379844961
