route_id,split,control,lag,source_pair,endpoint,destination_pair,flip,shape_error,weight
c2-0-24-8-0,development,seed,5,0-9,0,1-4,I,0.9464380872077486,1.0506449440101425e-06
c2-0-24-8-0,development,seed,6,0-9,0,1-4,I,0.9390466023492057,1.0506449440101425e-06
c2-0-24-8-0,development,time,0,0-9,0,0-3,I,0.9418297549173212,1.0506449440101425e-06
c2-0-24-8-0,development,time,1,0-9,0,0-1,I,0.955819203981671,1.0506449440101425e-06
c2-0-24-8-0,development,time,2,0-9,0,1-2,Fz,0.9323387100903607,1.0506449440101425e-06
c2-0-24-8-0,development,time,3,0-9,0,1-2,Fz,0.9487555770365164,1.0506449440101425e-06
c2-0-24-8-0,development,time,4,0-9,0,1-2,Fz,0.9230894772673218,1.0506449440101425e-06
c2-0-24-8-0,development,time,5,0-9,0,1-2,Fz,0.9051874890544587,1.0506449440101425e-06
c2-0-24-8-0,development,time,6,0-9,0,1-2,Fz,0.9479823036426728,1.0506449440101425e-06
c2-0-32-56-8,development,exact,0,7-8,8,0-5,I,0.9562534378177193,1.2268250465068131e-05
c2-0-32-56-8,development,exact,1,7-8,8,5-9,Fz,0.9440868724163126,1.2268250465068131e-05
c2-0-32-56-8,development,exact,2,7-8,8,5-9,Fz,0.9335760443484117,1.2268250465068131e-05
c2-0-32-56-8,development,exact,3,7-8,8,5-11,Fz,0.9224247934147576,1.2268250465068131e-05
c2-0-32-56-8,development,exact,4,7-8,8,5-9,Fz,0.9171478512441904,1.2268250465068131e-05
c2-0-32-56-8,development,exact,5,7-8,8,5-11,Fz,0.9162411884683115,1.2268250465068131e-05
c2-0-32-56-8,development,exact,6,7-8,8,5-11,Fz,0.9249144062747564,1.2268250465068131e-05
c2-0-32-56-8,development,seed,0,7-8,8,1-11,Fz,0.9219314276174359,1.2268250465068131e-05
c2-0-32-56-8,development,seed,1,7-8,8,1-5,I,0.9166565259915354,1.2268250465068131e-05
c2-0-32-56-8,development,seed,2,7-8,8,5-11,Fz,0.8971685399204442,1.2268250465068131e-05
c2-0-32-56-8,development,seed,3,7-8,8,5-11,Fz,0.8919088867248024,1.2268250465068131e-05
c2-0-32-56-8,development,seed,4,7-8,8,5-11,Fz,0.9018062315045263,1.2268250465068131e-05
c2-0-32-56-8,development,seed,5,7-8,8,5-11,Fz,0.8803240623397408,1.2268250465068131e-05
