basis,split,shot_index,target,parent_x,parent_y,parent_relation,child_AA_time_ara,child_AB_time_ara,child_BB_time_ara,child_BA_time_ara,strongest_handover_index,strongest_handover_share,event_fill,child_topology_score,parent_xy_score,count_score
X,development,0,1,1.1400000000000001,0.97,1.03,1.2262969588550985,1.095706618962433,1.3012820512820513,1.3903846153846153,15,0.16350446428571427,0.08012820512820513,-0.29820427480981765,-0.09653793162332829,0.09499996668377411
X,development,251,0,1.1956521739130435,1.0978260869565217,1.0380434782608696,0.9318323952470294,1.1836371720764784,0.7785547785547785,0.7206477732793524,10,0.2331349206349206,0.07371794871794872,-0.26025709139902914,0.015103435898044337,0.05180186559178299
X,development,502,0,1.0394736842105263,1.4605263157894737,1.013157894736842,0.9043659043659046,0.898376852505293,0.906058543226685,0.9863247863247864,10,0.29208984375,0.060897435897435896,1.8359554517674708,0.5436081953399465,-0.03459433659219922
X,development,753,1,1.0978260869565217,0.9130434782608695,0.9782608695652174,0.7344913151364766,0.7966280295047419,0.9036437246963562,0.8914450035945363,14,0.16882694128787878,0.07371794871794872,-0.5262432530655057,-0.2041146009683252,0.05180186559178299
X,development,1005,1,1.265625,1.015625,1.015625,1.005128205128205,0.6028257456828886,0.4862298195631529,0.748338081671415,15,0.23642578125,0.05128205128205128,-1.0373701434843157,-0.17887997183102616,-0.09939148823018586
X,development,1256,1,0.8839285714285714,0.8660714285714286,1.0178571428571428,0.8606465997770345,0.8269230769230769,0.8180112570356475,0.8673740053050399,0,0.20754616477272728,0.08974358974358974,-0.04437166065440323,-0.004822890547036325,0.1597971183217607
X,development,1507,0,1.0277777777777777,0.9305555555555556,1.0347222222222223,0.8954907161803715,0.7566951566951567,1.0271833429728165,1.0004719207173194,12,0.1474609375,0.057692307692307696,-0.07876574592558216,-0.03384799986088008,-0.05619338713819473
X,development,1758,0,1.0357142857142856,1.2142857142857142,0.9821428571428571,1.0214669051878353,1.1041420118343197,1.0260021668472374,0.9521367521367523,5,0.23600260416666666,0.04487179487179487,1.3833658726933185,0.21108846915608717,-0.14258958932217694
X,development,2010,1,0.65625,1.234375,1.109375,0.8137019230769231,0.9594017094017095,1.06,0.9570135746606335,5,0.4480794270833333,0.05128205128205128,2.8253716320429496,0.7728976057908145,-0.09939148823018586
X,development,2261,0,1.1521739130434783,0.8152173913043478,0.9510869565217391,1.0591418631619636,1.168141592920354,1.1698889345948167,1.0580980201233365,10,0.25390625,0.07371794871794872,-1.5073075913204417,-0.40951373544514086,0.05180186559178299
X,development,2512,1,0.8529411764705882,0.8235294117647058,0.963235294117647,1.1367983367983368,1.1059963658388856,0.632831086439334,0.7760683760683761,0,0.280078125,0.05448717948717949,-0.30176412398071517,-0.11005078602844841,-0.07779243768419028
