control,X_holdout_auroc,Z_holdout_auroc,mean_holdout_auroc
flip_vertical_state,0.49857309824321006,0.5021804291570925,0.5003767637001513
flip_vertical_travel,0.4985913879785248,0.49730725653062463,0.4979493222545747
flip_vertical_both,0.498754645186367,0.498090020599201,0.498422332892784
flip_past_control,0.4981991530766141,0.49899105363393853,0.49859510335527635
flip_broken_control,0.49727244222043654,0.4975712916175635,0.49742186691900003
unflipped_control,0.4985313779345465,0.4998894529580855,0.499210415446316
q21_child_topology,0.5028340193672088,0.501870272133475,0.5023521457503419
event_fraction,0.5005441992262035,0.5038074470762257,0.5021758231512146
flip_vertical_both_plus_count,0.49894141776818524,0.49908752968500647,0.49901447372659585
gate::future_closer_than_past_both_holdout_bases,,,0
gate::future_closer_than_broken_both_holdout_bases,,,0
gate::flip_state_auroc_at_least_0_52_both_bases,,,0
gate::flip_travel_auroc_at_least_0_52_both_bases,,,0
gate::flip_both_auroc_at_least_0_55_both_bases,,,0
gate::mean_flip_minus_unflipped_at_least_0_01,,,0
gate::mean_flip_minus_q21_at_least_0_01,,,0
gate::mean_flip_minus_count_at_least_0_01,,,0
gate::mean_flip_minus_past_at_least_0_01,,,0
gate::mean_flip_minus_broken_at_least_0_01,,,0
gate::permutation_p_at_most_0_01_both_bases,,,0
gate::count_changes_mean_auroc_by_less_than_0_01,,,1
gate::flip_direction_concordant_both_bases,,,0
