condition,state,wait_index,wait_us,h_linear,h_purity_half_scale,h_local_min,h_local_max,h_local_range,h_derivative_per_us,h_rate_scale_per_us,amplitude_x,rate_y,relation_real,relation_imag,relation_radius,relation_theta_rad,relation_theta_deg,quadrant,purity_amplitude_x,purity_rate_y,two_definition_distance
Ramsey,Phi-plus,0,0.02,0.06474218421960865,0.055191746062770664,0.06474218421960865,1.025165197221323,0.9604230130017143,0.0055959378741379726,0.051253828647529656,0.0,0.8908191247014736,-1.0,-0.10918087529852638,1.0059425746686301,-3.0328425304843343,-173.76907692452906,low_opening,0.0,0.6003885733382786,0.29043055136319507
Ramsey,Phi-plus,1,4.02,0.1224885685347098,0.18556610905211413,0.06474218421960865,1.025165197221323,0.9604230130017143,0.023277254283412617,0.051253828647529656,0.12025197966596013,0.5458436004168727,-0.8797480203340399,-0.45415639958312726,0.9900578844511928,-2.6650418475823106,-152.6956500922136,low_opening,0.26892976394518087,0.22619518306200048,0.3525339618471575
Ramsey,Phi-plus,2,8.02,0.25096021848690964,0.39909122976820055,0.06474218421960865,1.025165197221323,0.9604230130017143,0.034186398486725014,0.051253828647529656,0.3877833657594138,0.33299815079526285,-0.6122166342405861,-0.6670018492047372,0.9053732236395169,-2.3133935476401772,-132.5476866325789,low_opening,0.7093787831686691,0.05043273988510655,0.42809674600662245
Ramsey,Phi-plus,3,12.02,0.3959797564285099,0.6075791068379065,0.06474218421960865,1.025165197221323,0.9604230130017143,0.051253828647529656,0.051253828647529656,0.6897743342772442,0.0,-0.3102256657227558,-1.0,1.04701478674999,-1.8716078642926584,-107.23523152746306,low_opening,1.1394372262566774,0.0,0.4496628919794332
Ramsey,Phi-plus,4,16.02,0.6609908476671469,0.843517881267043,0.06474218421960865,1.025165197221323,0.9604230130017143,0.04690000885083559,0.051253828647529656,1.2416376021312059,0.08494623546340496,0.2416376021312059,-0.915053764536595,0.946420690156504,-1.3126204317973982,-75.20761084463064,high_opening,1.6261200177034076,0.2592910296820917,0.4221644645815082
Ramsey,Phi-plus,5,20.02,0.7711798272351946,0.93676991425145,0.06474218421960865,1.025165197221323,0.9604230130017143,0.019744439287215282,0.051253828647529656,1.4710968676347722,0.6147714266772746,0.4710968676347722,-0.3852285733227254,0.6085501724587353,-0.6854569396657919,-39.27378968080338,high_opening,1.8184756821368717,0.6933283399232864,0.3561505712246233
Ramsey,Phi-plus,6,24.02,0.8189463619648691,0.9798109402645281,0.06474218421960865,1.025165197221323,0.9604230130017143,0.020088951662583024,0.051253828647529656,1.5705666514342764,0.6080497361331996,0.5705666514342764,-0.39195026386680043,0.6922220114054288,-0.6019131832360635,-34.487085032711015,high_opening,1.907258573958952,0.8820243754342277,0.434077819835903
Ramsey,Phi-plus,7,28.02,0.9318914405358588,0.9892014260357007,0.06474218421960865,1.025165197221323,0.9604230130017143,0.025777354407056724,0.051253828647529656,1.8057652608844814,0.49706480301546907,0.8057652608844814,-0.5029351969845309,0.9498428649066671,-0.5580028586586332,-31.971208757374686,high_opening,1.9266288018463047,0.8988357646112473,0.4195567912874568
Ramsey,Phi-plus,8,32.02,1.025165197221323,1.0247710226497921,0.06474218421960865,1.025165197221323,0.9604230130017143,0.00038019808084203965,0.051253828647529656,2.0,0.9925820550215547,1.0,-0.007417944978445279,1.0000275125753808,-0.007417808923218611,-0.4250091445349081,high_opening,2.0,0.9827654847187048,0.00981657030284988
Ramsey,Phi-plus,9,36.02,0.9349330251825952,0.9968609039523724,0.06474218421960865,1.025165197221323,0.9604230130017143,-0.007399046231791329,0.051253828647529656,1.8120991046295,1.1443608492679493,0.8120991046295001,0.14436084926794934,0.8248302919639889,0.17592491379225533,10.079755071499077,high_closing,1.942428392661887,1.0766930086753352,0.1468491061242673
Ramsey,Phi-plus,10,40.02,0.9659728273669923,0.9906866056108412,0.06474218421960865,1.025165197221323,0.9604230130017143,0.022918947323989802,0.051253828647529656,1.8767368772863318,0.5528344334702797,0.8767368772863318,-0.4471655665297203,0.9841872768348684,-0.4716425042739803,-27.023124933879963,high_opening,1.9296923565467896,0.9788779011313394,0.42932192946594894
Ramsey,Phi-minus,0,0.02,0.02797226131096786,0.03437760785423105,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.05375493093253236,0.05375493093253236,0.0,0.0,-1.0,-1.0,1.4142135623730951,-2.356194490192345,-135.0,low_opening,0.0,0.0,0.0
Ramsey,Phi-minus,1,4.02,0.1831967629793123,0.24898614769711314,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.023857319901639876,0.05375493093253236,0.3112829880179233,0.556183600503866,-0.6887170119820767,-0.44381639949613405,0.8193315074225035,-2.5691569004053187,-147.20184730013713,low_opening,0.4333277073568292,0.3739088990085375,0.2193603891401622
Ramsey,Phi-minus,2,8.02,0.21883082052408687,0.3648990575084978,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.028309927692659928,0.05375493093253236,0.382742556504347,0.4733519846171578,-0.617257443495653,-0.5266480153828422,0.8113968718558605,-2.43524003850953,-139.52897630787214,low_opening,0.6673737313333171,0.3076086448751417,0.3293717661751795
Ramsey,Phi-minus,3,12.02,0.40967618452059174,0.614508344165884,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.04910587881920832,0.05375493093253236,0.7654586516806753,0.08648605872378579,-0.23454134831932472,-0.9135139412762142,0.9431422824672051,-1.8221143254345682,-104.39946063772774,low_opening,1.171373339183993,0.16519671341763364,0.4134756349450958
