gate_id,description,passed,value
L1,44 complete cells contain four finite children,True,"{""cells"": 44, ""finite"": true}"
L2,every fold uses 33 training and 11 held-out rows,True,true
L3,selected candidate is unresolved Phase B,True,"""H_B"""
L4,selected amplitude covariance reduction >= 0.60,True,0.9161357957384666
L5,selected direction covariance reduction >= 0.25,False,0.1263818770901387
L6,selection-corrected amplitude p <= 0.01,True,0.001
L7,selection-corrected direction p <= 0.05,False,0.336
L8,median rank-one share >= 0.70 on both axes,True,"{""amplitude"": 0.9999856454178864, ""direction"": 0.9828037317766187}"
L9,median induced-relation sign agreement >= 2/3 on both axes,False,"{""amplitude"": 1.0, ""direction"": 0.3333333333333333}"
L10,same candidate wins at least 3/4 held-out states,False,"{""fold_winners"": {""Phi-minus"": ""R_B"", ""Phi-plus"": ""H_B"", ""Psi-minus"": ""R_A"", ""Psi-plus"": ""H_B""}, ""selected_wins"": 2}"
