path_id,label,group,index,source_time,ara_x,heading_turns,mean_relative_movement
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,0,12.5,0.292637361,0.537890181,0.587222231308
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,1,37.5,0.452451772,0.483631681,0.142735533815
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,2,62.5,0.374600356,0.48272195,0.065313411681
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,3,87.5,0.295125055,0.491290088,0.024002877795
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,4,112.5,0.758109599,0.465976927,0.004510302414
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,5,137.5,0.979251989,0.422291768,0.000999384214
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,6,162.5,1.993566187,0.001184111,0.000422218811
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,7,187.5,1.994322016,0.999192317,0.000401609719
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,8,212.5,1.993257731,0.001542891,0.000428389123
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,9,237.5,1.994380355,0.000464019,0.000378654389
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,10,262.5,1.994075395,0.000693689,0.000345341132
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,11,287.5,1.993878808,0.002100509,0.000394789939
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,12,312.5,1.994471753,0.001053962,0.000351732819
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,13,337.5,1.994154333,0.000775808,0.000332104801
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,14,362.5,1.994499308,0.00185974,0.000361310239
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,15,387.5,1.987715093,0.001920974,0.000325620546
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,16,412.5,1.986417449,0.997153415,0.000305385274
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,17,437.5,1.993039148,0.002830783,0.000319854377
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,18,462.5,1.2122231,0.00782641,0.001419365356
q49_q50,Q49/Q50 · same-lineage simulator,Q49/Q50,19,487.5,1.034866764,0.23707946,0.008232617796
q51_greedy,Q51 · greedy c2,Q51 cross-archive,0,12.5,0.427315829,0.488516805,0.320908012888
q51_greedy,Q51 · greedy c2,Q51 cross-archive,1,37.5,0.380873818,0.500841084,0.134452873059
q51_greedy,Q51 · greedy c2,Q51 cross-archive,2,62.5,0.499173551,0.494273876,0.034476223831
q51_greedy,Q51 · greedy c2,Q51 cross-archive,3,87.5,0.604325205,0.483083184,0.007647868783
