seed,parent_baseline,parent_augmented,parent_lagged,child_baseline,child_augmented,child_lagged
2,0.9607517673381701,0.41040091021612524,0.8329658672668349,0.43024962959612667,0.43200238583561734,0.4297186918147621
18,0.8589461332569134,0.4166632021715293,0.7442041568375202,0.43032946953063445,0.43105264286056316,0.43012540238014446
23,0.8575035644220779,0.4077534669986961,0.7466592060014048,0.4127973622551007,0.412752391750608,0.4123351552252675
24,0.8615487070604241,0.4125012258920225,0.7349825636963856,0.4298444923453066,0.4297264718270243,0.42545179875217026
39,0.7948402692579505,0.41046640422082803,0.6829222938856964,0.42168200922571003,0.4219007493619574,0.41978940843246054
42,0.9049196077009395,0.4101282518437217,0.7906874704074724,0.42778031529510896,0.42658850196997083,0.42646937314925415
44,0.8382619311067058,0.4119518140733145,0.7264866559582627,0.4134855397881431,0.41396354573360605,0.4131593144824989
45,0.6900561917875997,0.4103485947424071,0.6147927658818086,0.41195515497767077,0.4122296052540539,0.41194027834162866
47,0.9255327449456027,0.41722538573499074,0.8234356055935896,0.4298725347967158,0.42926498044214667,0.43148311950151835
51,0.5493262216315158,0.4152248806382237,0.5180196363328561,0.4165058423652945,0.41649182591238887,0.4166046724870927
52,0.6034102284551738,0.4106285334065751,0.551212049563434,0.4100128445622036,0.4100169973073586,0.40998007420749416
54,0.8920969754805823,0.4060827222157559,0.7963156936312517,0.41001708303484385,0.4104152870987118,0.4123826557658002
58,0.8264650463417896,0.4069766401554686,0.7050831994313744,0.41796588440859583,0.4185803153147195,0.4154399590849177
60,0.9469865594764996,0.410565957370271,0.8250193116438111,0.4241468470088065,0.42444545126090677,0.42481289390387866
69,0.5391046449547956,0.4110597993922542,0.5197341564803176,0.4117526984031267,0.4116971727415131,0.41212041124016946
78,0.9430474123969388,0.4122917055682283,0.8166116409836488,0.42697370506647603,0.42729840232706334,0.4269721751463286
91,0.8436012396244037,0.4136885684730332,0.7422101174415864,0.4085336655070997,0.40810610755815946,0.40819124510751426
