run,arm,condition_weighted_ba,worst_condition_ba,mcc,kappa,tn,fp,fn,tp
primary_first_readout,ara_twocut,0.8828083333333332,0.75834,0.7678473818751544,0.7656166666666666,276268,23732,46583,253417
primary_first_readout,i_only,0.8828383333333335,0.75834,0.7679158009947438,0.7656766666666666,276298,23702,46595,253405
primary_first_readout,label_shuffle,0.7334650000000001,0.2526,0.4687180283743516,0.46693000000000007,233129,66871,93050,206950
primary_first_readout,pair_destroyed,0.8827700000000002,0.75842,0.7677722568553755,0.7655400000000001,276261,23739,46599,253401
primary_first_readout,q_only,0.5789433333333334,0.51599,0.15790173185620301,0.15788666666666673,171611,128389,124245,175755
primary_first_readout,raw_iq_lda,0.8828083333333332,0.75834,0.7678473818751544,0.7656166666666666,276268,23732,46583,253417
primary_first_readout,raw_iq_qda,0.8829433333333334,0.75947,0.7679216860877502,0.7658866666666666,275796,24204,46030,253970
primary_first_readout,selected_onecut,0.8828383333333335,0.75834,0.7679158009947438,0.7656766666666666,276298,23702,46595,253405
replication_prep_first,ara_twocut,0.8602449999999999,0.73349,0.7216631582499977,0.7204900000000001,266623,33377,50476,249524
replication_prep_first,i_only,0.8607133333333333,0.73419,0.7226594923727525,0.7214266666666667,266972,33028,50544,249456
replication_prep_first,label_shuffle,0.6598283333333334,0.39235000000000003,0.32012369005279206,0.3196566666666667,189849,110151,93952,206048
replication_prep_first,pair_destroyed,0.8603733333333334,0.73399,0.7219447260275925,0.7207466666666666,266750,33250,50526,249474
replication_prep_first,q_only,0.5278333333333333,0.4591,0.05566670199771512,0.05566666666666675,158181,141819,141481,158519
replication_prep_first,raw_iq_lda,0.8602449999999999,0.73349,0.7216631582499977,0.7204900000000001,266623,33377,50476,249524
replication_prep_first,raw_iq_qda,0.8604983333333335,0.7353700000000001,0.7221224304964549,0.7209966666666667,266522,33478,50223,249777
replication_prep_first,selected_onecut,0.8607133333333333,0.73419,0.7226594923727525,0.7214266666666667,266972,33028,50544,249456
replication_prep_second,ara_twocut,0.8190550000000001,0.69306,0.641386522817229,0.63811,260859,39141,69426,230574
replication_prep_second,i_only,0.8195250000000001,0.69336,0.642473968422667,0.6390499999999999,261323,38677,69608,230392
replication_prep_second,label_shuffle,0.7064283333333333,0.3715,0.4128724481666353,0.41285666666666665,213240,86760,89383,210617
replication_prep_second,pair_destroyed,0.8190200000000001,0.69347,0.6413452263268399,0.6380399999999999,260915,39085,69503,230497
replication_prep_second,q_only,0.5323283333333333,0.46783,0.06465680878284777,0.06465666666666658,160013,139987,140616,159384
replication_prep_second,raw_iq_lda,0.8190550000000001,0.69306,0.641386522817229,0.63811,260859,39141,69426,230574
replication_prep_second,raw_iq_qda,0.8222233333333334,0.69338,0.6486910435323593,0.6444466666666666,263798,36202,70464,229536
replication_prep_second,selected_onecut,0.8195250000000001,0.69336,0.642473968422667,0.6390499999999999,261323,38677,69608,230392
replication_second_readout,ara_twocut,0.8449166666666666,0.71661,0.6958842766228798,0.6898333333333333,273213,26787,66263,233737
replication_second_readout,i_only,0.8451449999999999,0.7166699999999999,0.6964069651827282,0.6902900000000001,273381,26619,66294,233706
replication_second_readout,label_shuffle,0.5472549999999999,0.17504999999999998,0.09451262757630853,0.0945100000000001,163058,136942,134705,165295
replication_second_readout,pair_destroyed,0.844885,0.7168300000000001,0.6958169718759846,0.68977,273198,26802,66267,233733
replication_second_readout,q_only,0.5790633333333334,0.5225299999999999,0.15814037495637048,0.15812666666666675,171744,128256,124306,175694
replication_second_readout,raw_iq_lda,0.8449166666666666,0.71661,0.6958842766228798,0.6898333333333333,273213,26787,66263,233737
replication_second_readout,raw_iq_qda,0.8456216666666667,0.71661,0.6974926725906813,0.6912433333333334,273721,26279,66348,233652
replication_second_readout,selected_onecut,0.8451449999999999,0.7166699999999999,0.6964069651827282,0.6902900000000001,273381,26619,66294,233706
