replicate,local_child_mean_abs,same_axis_mean_abs,same_axis_min_abs,same_minus_local,mixed_pair_mean_abs,correlation_product,xx,yy,zz
0,0.10833333333333332,0.9583333333333334,0.9,0.8500000000000001,0.15416666666666667,-0.8775000000000001,-1.0,0.9,0.9750000000000001
1,0.12916666666666668,0.9333333333333335,0.9,0.8041666666666668,0.15416666666666667,-0.8116875000000001,-0.9,0.925,0.9750000000000001
2,0.11249999999999998,0.9583333333333334,0.8999999999999999,0.8458333333333334,0.15833333333333333,-0.8775,-0.9750000000000001,1.0,0.8999999999999999
3,0.125,0.9333333333333332,0.9,0.8083333333333332,0.20416666666666664,-0.81225,-0.9,0.9500000000000001,0.95
4,0.11249999999999998,0.9666666666666667,0.95,0.8541666666666667,0.16666666666666666,-0.90309375,-0.95,0.9750000000000001,0.975
5,0.13333333333333336,0.9416666666666668,0.925,0.8083333333333333,0.075,-0.8342343750000002,-0.925,0.925,0.9750000000000001
6,0.1708333333333333,0.9500000000000001,0.9249999999999999,0.7791666666666668,0.14166666666666664,-0.8567812499999999,-0.95,0.9750000000000001,0.9249999999999999
7,0.16249999999999998,0.9666666666666668,0.925,0.8041666666666668,0.09583333333333337,-0.9018750000000001,-0.925,1.0,0.9750000000000001
8,0.06666666666666667,0.9500000000000002,0.95,0.8833333333333335,0.11666666666666668,-0.8573750000000002,-0.95,0.9500000000000002,0.9500000000000002
9,0.12916666666666668,0.9583333333333334,0.925,0.8291666666666667,0.07500000000000001,-0.87875,-1.0,0.925,0.95
10,0.07916666666666669,0.9583333333333334,0.95,0.8791666666666667,0.17500000000000002,-0.8799375000000002,-0.9500000000000002,0.95,0.9750000000000001
11,0.12916666666666665,0.9750000000000001,0.9750000000000001,0.8458333333333334,0.07916666666666666,-0.9268593750000003,-0.9750000000000001,0.9750000000000001,0.9750000000000001
12,0.09999999999999999,0.9583333333333334,0.9,0.8583333333333334,0.19166666666666668,-0.8775000000000001,-0.9750000000000001,0.9,1.0
13,0.12916666666666665,0.9416666666666668,0.925,0.8125000000000001,0.14583333333333337,-0.8348125000000002,-0.9500000000000002,0.925,0.95
14,0.1708333333333333,0.9583333333333334,0.925,0.7875000000000001,0.16249999999999998,-0.87875,-0.95,0.925,1.0
15,0.11250000000000004,0.9333333333333332,0.8999999999999999,0.8208333333333332,0.12083333333333333,-0.8116875,-0.9750000000000001,0.925,0.8999999999999999
16,0.09166666666666667,0.9833333333333334,0.9750000000000001,0.8916666666666667,0.15000000000000002,-0.9506250000000002,-0.9750000000000001,0.9750000000000001,1.0
17,0.10833333333333334,0.9583333333333334,0.925,0.8500000000000001,0.10000000000000002,-0.8787500000000003,-0.9500000000000002,0.925,1.0
18,0.12916666666666665,0.9833333333333334,0.975,0.8541666666666667,0.19999999999999998,-0.950625,-0.975,1.0,0.9750000000000001
19,0.12916666666666668,0.9500000000000001,0.925,0.8208333333333334,0.19166666666666668,-0.85678125,-0.9500000000000001,0.975,0.925
20,0.12916666666666668,0.9416666666666668,0.8999999999999999,0.8125000000000001,0.13749999999999998,-0.8336250000000002,-0.9750000000000001,0.9500000000000002,0.8999999999999999
21,0.1166666666666667,0.9083333333333333,0.85,0.7916666666666666,0.125,-0.7469375,-0.925,0.95,0.85
22,0.12500000000000003,0.975,0.95,0.85,0.09166666666666667,-0.9262499999999999,-0.95,0.975,1.0
23,0.05416666666666666,0.9583333333333334,0.925,0.9041666666666667,0.19583333333333333,-0.879328125,-0.925,0.9750000000000001,0.9749999999999999
24,0.08750000000000002,0.9666666666666668,0.9500000000000002,0.8791666666666668,0.19999999999999996,-0.9030937500000001,-0.9749999999999999,0.9750000000000001,0.9500000000000002
25,0.02916666666666665,0.9083333333333332,0.875,0.8791666666666665,0.1375,-0.7481249999999999,-0.9,0.875,0.95
26,0.07083333333333332,0.9416666666666668,0.8999999999999999,0.8708333333333335,0.12916666666666665,-0.833625,-0.9750000000000001,0.8999999999999999,0.95
27,0.07916666666666662,0.9583333333333334,0.95,0.8791666666666668,0.10833333333333332,-0.8799375,-0.9750000000000001,0.9500000000000001,0.95
28,0.13333333333333333,0.9499999999999998,0.8999999999999999,0.8166666666666665,0.15833333333333335,-0.8549999999999999,-1.0,0.8999999999999999,0.95
29,0.08333333333333333,0.9166666666666666,0.875,0.8333333333333333,0.13333333333333333,-0.76890625,-0.875,0.925,0.95
30,0.10416666666666667,0.9416666666666668,0.9000000000000001,0.8375000000000001,0.1875,-0.8336250000000004,-0.9000000000000001,0.9500000000000002,0.9750000000000001
31,0.07500000000000002,0.9666666666666667,0.95,0.8916666666666666,0.12083333333333333,-0.9025,-0.95,0.95,1.0
32,0.10416666666666664,0.9500000000000001,0.925,0.8458333333333334,0.1708333333333333,-0.8567812500000002,-0.9750000000000001,0.925,0.9500000000000001
33,0.15,0.9666666666666668,0.925,0.8166666666666668,0.10833333333333332,-0.9018750000000001,-0.9750000000000001,1.0,0.925
34,0.10416666666666667,0.9500000000000001,0.8749999999999999,0.8458333333333334,0.09166666666666667,-0.8531249999999999,-0.8749999999999999,1.0,0.975
35,0.08750000000000001,0.9583333333333334,0.9249999999999999,0.8708333333333333,0.125,-0.8793281249999998,-0.9249999999999999,0.975,0.9749999999999999
36,0.07916666666666665,0.9416666666666668,0.9,0.8625000000000002,0.1708333333333333,-0.8336249999999998,-0.95,0.9,0.9749999999999999
37,0.12916666666666668,0.9416666666666668,0.875,0.8125000000000001,0.1875,-0.8317968750000002,-0.9750000000000001,0.875,0.9750000000000001
38,0.15416666666666667,0.9666666666666668,0.95,0.8125000000000001,0.1875,-0.9030937500000001,-0.95,0.9750000000000001,0.9750000000000001
39,0.15,0.9416666666666668,0.9249999999999999,0.7916666666666667,0.11666666666666665,-0.8348124999999998,-0.9249999999999999,0.95,0.95
40,0.07083333333333335,0.9499999999999998,0.9249999999999999,0.8791666666666665,0.10416666666666667,-0.8567812499999999,-0.9249999999999999,0.9750000000000001,0.95
41,0.07916666666666665,0.9499999999999998,0.925,0.8708333333333332,0.15,-0.85678125,-0.9500000000000001,0.925,0.9749999999999999
42,0.125,0.9416666666666668,0.925,0.8166666666666668,0.2041666666666667,-0.8342343750000001,-0.925,0.9750000000000001,0.925
43,0.075,0.9416666666666668,0.925,0.8666666666666668,0.09166666666666667,-0.8348125000000001,-0.9500000000000001,0.925,0.95
44,0.09999999999999999,0.9416666666666668,0.925,0.8416666666666668,0.14166666666666666,-0.8348125000000001,-0.95,0.9500000000000002,0.925
45,0.10416666666666667,0.9833333333333334,0.9750000000000001,0.8791666666666668,0.1791666666666667,-0.9506250000000002,-0.9750000000000001,1.0,0.9750000000000001
46,0.08333333333333336,0.975,0.9249999999999999,0.8916666666666666,0.08750000000000002,-0.9249999999999999,-1.0,1.0,0.9249999999999999
47,0.08333333333333337,0.9666666666666668,0.95,0.8833333333333334,0.08749999999999998,-0.9030937500000001,-0.9750000000000001,0.95,0.9750000000000001
48,0.12499999999999999,0.8833333333333333,0.8499999999999999,0.7583333333333333,0.15833333333333333,-0.6879687499999999,-0.925,0.875,0.8499999999999999
49,0.2041666666666667,0.9666666666666668,0.95,0.7625000000000001,0.12916666666666668,-0.9025,-1.0,0.9500000000000001,0.95
50,0.06666666666666671,0.9250000000000002,0.9249999999999999,0.8583333333333334,0.1875,-0.791453125,-0.9249999999999999,0.925,0.925
51,0.09583333333333334,0.9,0.875,0.8041666666666667,0.14166666666666664,-0.7284375000000001,-0.925,0.875,0.9
52,0.13750000000000004,0.9416666666666668,0.925,0.8041666666666667,0.18333333333333335,-0.8348125000000001,-0.9500000000000001,0.925,0.95
53,0.09583333333333333,0.9583333333333334,0.925,0.8625,0.15416666666666667,-0.8793281250000002,-0.9750000000000001,0.9750000000000001,0.925
54,0.08750000000000001,0.9333333333333335,0.8500000000000001,0.8458333333333334,0.09583333333333337,-0.8080312500000002,-0.8500000000000001,0.9750000000000001,0.975
55,0.02500000000000001,0.9666666666666667,0.8999999999999999,0.9416666666666667,0.14166666666666664,-0.8999999999999999,-1.0,0.8999999999999999,1.0
56,0.0625,0.9416666666666668,0.925,0.8791666666666668,0.1708333333333333,-0.8348125,-0.95,0.95,0.925
57,0.09166666666666667,0.9750000000000001,0.9500000000000001,0.8833333333333334,0.15,-0.9262500000000001,-1.0,0.9500000000000001,0.9750000000000001
58,0.04166666666666665,0.9500000000000001,0.95,0.9083333333333334,0.13333333333333336,-0.857375,-0.9500000000000002,0.95,0.95
59,0.1083333333333333,0.9416666666666668,0.9249999999999999,0.8333333333333335,0.10833333333333334,-0.8348124999999998,-0.9249999999999999,0.95,0.95
60,0.1333333333333334,0.9583333333333334,0.925,0.825,0.08749999999999998,-0.87875,-0.95,0.925,1.0
61,0.09999999999999998,0.9750000000000001,0.9500000000000002,0.8750000000000001,0.1625,-0.9262500000000002,-0.9750000000000001,1.0,0.9500000000000002
62,0.1166666666666667,0.9833333333333334,0.95,0.8666666666666667,0.1625,-0.95,-1.0,1.0,0.95
63,0.10416666666666669,0.9833333333333334,0.9750000000000001,0.8791666666666667,0.18333333333333335,-0.9506250000000002,-1.0,0.9750000000000001,0.9750000000000001
64,0.06666666666666665,0.9249999999999999,0.9,0.8583333333333333,0.1708333333333333,-0.790875,-0.95,0.925,0.9
65,0.10416666666666667,0.9500000000000002,0.925,0.8458333333333335,0.08750000000000001,-0.8567812500000003,-0.9500000000000002,0.9750000000000001,0.925
66,0.09999999999999999,0.9583333333333334,0.95,0.8583333333333334,0.1416666666666667,-0.8799375,-0.95,0.95,0.9750000000000001
67,0.10416666666666667,0.9416666666666668,0.9,0.8375000000000001,0.12916666666666668,-0.8336250000000001,-0.9,0.9500000000000002,0.9749999999999999
68,0.07083333333333333,0.9499999999999998,0.9249999999999999,0.8791666666666665,0.1375,-0.85678125,-0.9249999999999999,0.9500000000000002,0.9749999999999999
69,0.08750000000000001,0.9416666666666668,0.925,0.8541666666666667,0.0666666666666667,-0.8348125000000001,-0.925,0.9500000000000001,0.95
70,0.06666666666666665,0.9250000000000002,0.8999999999999999,0.8583333333333335,0.13333333333333333,-0.7908750000000001,-0.8999999999999999,0.9500000000000002,0.925
71,0.08750000000000002,0.9583333333333334,0.95,0.8708333333333333,0.1708333333333333,-0.8799375,-0.9500000000000001,0.9750000000000001,0.95
72,0.11666666666666668,0.9583333333333334,0.9000000000000001,0.8416666666666667,0.1791666666666667,-0.8775000000000001,-0.9000000000000001,0.975,1.0
73,0.06666666666666667,0.9750000000000001,0.975,0.9083333333333334,0.125,-0.926859375,-0.975,0.9750000000000001,0.975
74,0.09999999999999999,0.9583333333333334,0.95,0.8583333333333334,0.09166666666666667,-0.8799374999999999,-0.9750000000000001,0.95,0.95
75,0.08333333333333333,0.9750000000000001,0.975,0.8916666666666667,0.18333333333333335,-0.9268593750000002,-0.9750000000000001,0.9750000000000001,0.975
76,0.05000000000000001,0.9416666666666668,0.9,0.8916666666666667,0.1416666666666667,-0.8325,-0.925,0.9,1.0
77,0.11249999999999998,0.9666666666666667,0.8999999999999999,0.8541666666666667,0.15,-0.8999999999999999,-1.0,0.8999999999999999,1.0
78,0.10833333333333332,0.9583333333333334,0.9249999999999999,0.8500000000000001,0.22083333333333335,-0.8793281249999999,-0.9749999999999999,0.9750000000000001,0.9249999999999999
79,0.19999999999999998,0.9583333333333334,0.925,0.7583333333333334,0.13333333333333333,-0.8793281250000001,-0.925,0.9750000000000001,0.9750000000000001
80,0.12916666666666665,0.9333333333333332,0.9000000000000001,0.8041666666666666,0.14583333333333334,-0.8116875000000001,-0.925,0.975,0.9000000000000001
81,0.125,0.9416666666666668,0.925,0.8166666666666668,0.1625,-0.8348125000000001,-0.95,0.925,0.9500000000000001
82,0.12916666666666668,0.975,0.9500000000000001,0.8458333333333333,0.16666666666666666,-0.9262499999999999,-0.9749999999999999,0.9500000000000001,1.0
83,0.06666666666666667,0.9500000000000001,0.9,0.8833333333333334,0.1541666666666667,-0.8555624999999999,-0.975,0.9,0.975
84,0.11666666666666664,0.9333333333333332,0.9249999999999999,0.8166666666666667,0.12916666666666665,-0.81284375,-0.925,0.95,0.9249999999999999
