split,candidate,step,primary_loss
calibration,phi_2_over_phi,1.2360679774997896,0.7505021620483732
calibration,rational_26_over_21,1.2380952380952381,0.7488146463960831
calibration,rational_5_over_4,1.25,0.7396584203122855
calibration,anti_phi_orientation,0.7639320225002104,0.7480042376637509
calibration,two_over_e,0.7357588823428847,0.7252690273566262
calibration,one_over_e,0.36787944117144233,0.3697682568618146
calibration,sqrt_2,1.4142135623730951,0.5854603614232345
calibration,persistence,0.0,0.1528353140047647
calibration,calibration_fitted,0.0002561938594707028,0.1526670625103258
calibration,previous_step_velocity,nan,0.26888484664306783
evaluation,phi_2_over_phi,1.2360679774997896,0.7156876253928434
evaluation,rational_26_over_21,1.2380952380952381,0.714066457163857
evaluation,rational_5_over_4,1.25,0.7073558577470157
evaluation,anti_phi_orientation,0.7639320225002104,0.720038668829029
evaluation,two_over_e,0.7357588823428847,0.7016038795331023
evaluation,one_over_e,0.36787944117144233,0.3859682887978142
evaluation,sqrt_2,1.4142135623730951,0.5748261325403217
evaluation,persistence,0.0,0.20784297398360907
evaluation,calibration_fitted,0.0002561938594707028,0.20784297398360918
evaluation,previous_step_velocity,nan,0.345400516860348
holdout,phi_2_over_phi,1.2360679774997896,0.5840607338738792
holdout,rational_26_over_21,1.2380952380952381,0.5835906277935687
holdout,rational_5_over_4,1.25,0.580723906894468
holdout,anti_phi_orientation,0.7639320225002104,0.5680281037556952
holdout,two_over_e,0.7357588823428847,0.5574584170531223
holdout,one_over_e,0.36787944117144233,0.4449934869495691
holdout,sqrt_2,1.4142135623730951,0.5401354661767785
holdout,persistence,0.0,0.398357988449198
holdout,calibration_fitted,0.0002561938594707028,0.3982390530765739
holdout,previous_step_velocity,nan,0.4834698950323766
