held_out_condition_hz,angle_from_phase_a_degrees,balanced_accuracy
0,0,0.9414
0,1,0.94126
0,2,0.94089
0,3,0.94041
0,4,0.93988
0,5,0.93916
0,6,0.93836
0,7,0.9373
0,8,0.93646
0,9,0.93511
0,10,0.93389
0,11,0.93259
0,12,0.9310499999999999
0,13,0.92946
0,14,0.9276
0,15,0.92545
0,16,0.9234800000000001
0,17,0.9214
0,18,0.91865
0,19,0.9155800000000001
0,20,0.9128000000000001
0,21,0.90969
0,22,0.90647
0,23,0.90313
0,24,0.8995500000000001
0,25,0.8955
0,26,0.8916200000000001
0,27,0.8876299999999999
0,28,0.8835900000000001
0,29,0.87966
0,30,0.8753
0,31,0.87086
0,32,0.8662799999999999
0,33,0.86189
0,34,0.85749
0,35,0.85268
0,36,0.84746
0,37,0.84233
0,38,0.83711
0,39,0.83153
0,40,0.82602
0,41,0.8202499999999999
0,42,0.81479
0,43,0.80827
0,44,0.80181
0,45,0.7956
0,46,0.78931
0,47,0.78286
0,48,0.77647
0,49,0.7695000000000001
0,50,0.76254
0,51,0.75475
0,52,0.74717
0,53,0.73977
0,54,0.73176
0,55,0.72325
0,56,0.71498
0,57,0.70669
0,58,0.6982200000000001
0,59,0.6897599999999999
0,60,0.68105
0,61,0.67248
0,62,0.66318
0,63,0.6546000000000001
0,64,0.6455599999999999
0,65,0.6360399999999999
0,66,0.6270899999999999
0,67,0.6176999999999999
0,68,0.60832
0,69,0.59807
0,70,0.58859
0,71,0.5790599999999999
0,72,0.56909
0,73,0.55932
0,74,0.54897
0,75,0.5389900000000001
0,76,0.52868
0,77,0.51816
0,78,0.50794
0,79,0.49765
0,80,0.48836
0,81,0.47801
0,82,0.46762000000000004
0,83,0.45754
0,84,0.44799
0,85,0.43839
0,86,0.42908
0,87,0.4196
0,88,0.40981999999999996
0,89,0.40022
0,90,0.39097000000000004
0,91,0.38164
0,92,0.37252
0,93,0.36346999999999996
0,94,0.35469
0,95,0.34577
0,96,0.33651
0,97,0.3277
0,98,0.31911
0,99,0.31038
0,100,0.30194
0,101,0.29335
0,102,0.28484
0,103,0.27727
0,104,0.26961999999999997
0,105,0.26238
0,106,0.25500999999999996
0,107,0.24814999999999998
0,108,0.24122
