left_out,development_winner,holdout_winner,same_as_full_selected,selected_architecture,holdout_q,passes_gates_1_to_7
K0,P1,P1,False,P1,0.3516701880236876,False
K1,P3,P3,True,P3,0.40033658421621426,False
K2,P3,P3,True,P3,0.397847765201024,False
K3,P3,P3,True,P3,0.42050808017227986,False
K4,P2,P2,False,P2,0.4791322769024179,False
K5,P3,P3,True,P3,0.3975793937960718,False
K6,P3,P3,True,P3,0.3994693719510929,False
K7,P3,P3,True,P3,0.4133023495292468,False
K8,P3,P3,True,P3,0.6442257826038622,False
