layer,entity,entity_type,s1,s2,s3,retained_directions_at_0p50,determinant,closure_strength,directional_balance,relation_dominance_share,relation_power,local_power,ara9_min,ara9_max,ara9_bound_excursion
raw_linear,Phi-plus,physically_prepared,0.9923783135091588,0.9443122886553891,0.8928922101457935,3,-0.8367427160493827,0.9423176234770447,0.8997498212031946,0.9962574373441577,2.6737969145679004,0.010044444444444446,0.053333333333333344,1.936,0.0
raw_linear,Phi-minus,physically_prepared,1.0781266763015231,0.9572277245496716,0.8550448544962359,3,-0.8824171875000003,0.9591605753567491,0.793083849320414,0.9898713886546342,2.809743750000001,0.028749999999999977,0.0462499999999999,1.9500000000000002,0.0
raw_linear,Psi-plus,physically_prepared,0.9925110952738434,0.9563029105836142,0.7452893294038097,3,-0.7073848451234568,0.8910154823719276,0.7509128441513061,0.9954048770573415,2.4550497155555555,0.01133333333333334,0.1445777777777778,1.9265222222222222,0.0
raw_linear,Psi-minus,physically_prepared,0.9544182074832052,0.881603787816868,0.8186246626450712,3,-0.6888061050617283,0.8831456400653014,0.8577211291932278,0.984150110365192,2.3582856917592596,0.037980555555555594,0.7953777777777779,1.8775833333333334,0.0
raw_linear,Phi-classical,equal_weight_reconstruction,0.9509707474472368,0.07884697645529314,0.019889148961260514,1,-0.001491311622299386,0.11424998037942577,0.02091457493792577,0.9945970340153463,0.9109577864429008,0.004948611111111107,0.05270833333333347,1.067986111111111,0.0
raw_linear,Psi-classical,equal_weight_reconstruction,0.9238790759172864,0.10868081228211056,0.024535793834554273,1,-0.002463588231095682,0.1350587440931181,0.026557364999519623,0.9874340796195737,0.86596607105517,0.011020138888888899,0.7560333333333333,1.8862333333333334,0.0
raw_linear,Bell-uniform-mixed,equal_weight_reconstruction,0.12210488765776875,0.047574927643902386,0.014625978656889969,0,8.49642288773147e-05,0.043962128031315495,0.11978209011487848,0.8504350202417148,0.01738689658191069,0.003057812500000002,0.8872243055555555,1.0337375,0.0
physical,Phi-plus,physically_prepared,0.9726846983837415,0.9283636528256926,0.9082386484329656,3,-0.8201441493891439,0.9360450056087595,0.9337441515653917,0.9964935936281265,2.6328720368650735,0.009264404051790139,0.07097009023842837,1.9217956767573288,0.0
physical,Phi-minus,physically_prepared,0.9796109125089026,0.9062452943341274,0.8937986153355194,3,-0.7934856122707016,0.9257911370475997,0.9124016524544347,0.9937337091315522,2.5797940381849664,0.016267677824959626,0.06178250079008274,1.8879554120014583,0.0
physical,Psi-plus,physically_prepared,0.9225528024559648,0.8866336347682742,0.8149149615314547,3,-0.666573012168101,0.873539555450379,0.8833260918638336,0.9951645378581305,2.3013092701495688,0.011181963815241783,0.1807703851473762,1.8799265275227457,0.0
physical,Psi-minus,physically_prepared,0.9202689968793911,0.865635595943749,0.8319699886609172,3,-0.6627619369221908,0.8718715761946044,0.904050871519204,0.986297946365873,2.288394073614737,0.03179130449193469,0.7722342163053615,1.8631017177889382,0.0
physical,Phi-classical,equal_weight_reconstruction,0.9363379959190753,0.05858159827624418,0.032711229236487206,1,-0.0017942821139760986,0.1215150983280872,0.03493527911828362,0.9952512284310263,0.8812306707765114,0.004204730459552582,0.06639492721863005,1.0377099750796828,0.0
physical,Psi-classical,equal_weight_reconstruction,0.8944697557349732,0.07551956460793853,0.052724876774510064,1,-0.0035615636602604993,0.1527144868338297,0.05894539914453203,0.9893130118797834,0.8085592611940425,0.008734407730525154,0.7647206569654034,1.8606428717501373,0.0
physical,Bell-uniform-mixed,equal_weight_reconstruction,0.11618706712525062,0.021023458168699487,0.0059371876822145574,0,1.4502494916847956e-05,0.024386393312156283,0.051100245742619704,0.8394885909453463,0.01397667055811239,0.0026723592308133767,0.8994785195422178,1.015449044392447,0.0
