projection,group,expectation,expectation_ci_low,expectation_ci_high,ara_coordinate,reversed_ara_coordinate,ideal_phi_minus_expectation,ideal_phi_minus_ara
ZZ,same_axis_parent,0.95,0.875,1.0,0.050000000000000044,1.95,1.0,0.0
YZ,mixed_pair_control,-0.14999999999999997,-0.375,0.07499999999999998,1.15,0.8500000000000001,0.0,1.0
XZ,mixed_pair_control,0.07499999999999998,-0.15000000000000002,0.29999999999999993,0.925,1.075,0.0,1.0
ZY,mixed_pair_control,-0.04999999999999999,-0.275,0.15000000000000002,1.05,0.95,0.0,1.0
ZX,mixed_pair_control,-0.025000000000000022,-0.25,0.17500000000000002,1.025,0.9750000000000001,0.0,1.0
YY,same_axis_parent,0.9500000000000001,0.875,1.0,0.04999999999999993,1.9500000000000002,1.0,0.0
YX,mixed_pair_control,-0.17499999999999993,-0.3999999999999999,0.04999999999999996,1.1749999999999998,0.8250000000000002,0.0,1.0
XY,mixed_pair_control,-0.19999999999999996,-0.4,5.551115123125783e-17,1.2,0.8,0.0,1.0
XX,same_axis_parent,-0.9500000000000002,-1.0,-0.875,1.9500000000000002,0.04999999999999982,-1.0,2.0
YI,local_child,0.04999999999999999,-0.175,0.2749999999999999,0.95,1.05,0.0,1.0
XI,local_child,0.0,-0.22499999999999998,0.22499999999999998,1.0,1.0,0.0,1.0
IY,local_child,-0.07499999999999996,-0.30000000000000004,0.12500000000000003,1.075,0.925,0.0,1.0
IX,local_child,-0.125,-0.325625,0.07500000000000007,1.125,0.875,0.0,1.0
ZI,local_child,0.04999999999999993,-0.175,0.27499999999999997,0.9500000000000001,1.0499999999999998,0.0,1.0
IZ,local_child,0.04999999999999993,-0.17499999999999993,0.275,0.9500000000000001,1.0499999999999998,0.0,1.0
