entity,entity_type,replicate,s1,s2,s3,chsh_smax,retained_axes_at_0p50
Phi-plus,physically_prepared,0,0.9985093972207592,0.8986370309637217,0.8671648716864557,2.6866853405320517,3
Phi-minus,physically_prepared,0,1.193764251899572,0.9609783726472036,0.6276523545649999,3.0649975672479823,3
Psi-plus,physically_prepared,0,1.009118595082145,0.9880140028856907,0.735787327399183,2.8245297016238067,3
Psi-minus,physically_prepared,0,0.9936465796886625,0.8776747009737246,0.7923528496750359,2.6515251505926125,3
Phi-classical,equal_weight_reconstruction,0,0.9200567315475844,0.1291722498595121,0.04458607829788903,1.858160229258814,1
Psi-classical,equal_weight_reconstruction,0,0.9306525999202422,0.12937913778024948,0.02681416027316358,1.8792053884885145,1
Bell-uniform-mixed,equal_weight_reconstruction,0,0.15458317132833407,0.09511879125295843,0.033765948057274946,0.36300711457132057,0
Phi-plus,physically_prepared,1,1.0231674706969456,0.9270529684169567,0.8756591222814402,2.7613756566922047,3
Phi-minus,physically_prepared,1,1.219301528957963,0.8821639325818759,0.7846754600039769,3.0099232033176837,3
Psi-plus,physically_prepared,1,0.9787175552571004,0.9252618084546018,0.7199689650427039,2.6936944645992167,3
Psi-minus,physically_prepared,1,0.9225933860643909,0.8859066433886341,0.8656351405317708,2.5581314562077333,3
Phi-classical,equal_weight_reconstruction,1,0.9276140929052472,0.12509314211682512,0.04891654338455211,1.872021580603263,1
Psi-classical,equal_weight_reconstruction,1,0.9172083645621604,0.13773959374219252,0.02035335799891168,1.8549861236214755,1
Bell-uniform-mixed,equal_weight_reconstruction,1,0.12875305788425426,0.046980015547485376,0.009180317239175903,0.2741129094033194,0
Phi-plus,physically_prepared,2,1.070507049993732,0.9637333535216569,0.8315109482149929,2.880810525373983,3
Phi-minus,physically_prepared,2,1.2539732358257198,0.8861007542184282,0.8287047587689522,3.070910889487804,3
Psi-plus,physically_prepared,2,1.0068370306376169,0.9157689297763465,0.7698173050895477,2.7220239080558337,3
Psi-minus,physically_prepared,2,0.9957619099634777,0.8295815884212626,0.8005049421295892,2.5921013816451377,3
Phi-classical,equal_weight_reconstruction,2,0.9572929086643357,0.09146572544754702,0.005400851825500936,1.9233051675807147,1
Psi-classical,equal_weight_reconstruction,2,0.9180518136981674,0.0661305017121432,0.05614328591426146,1.8408610766608047,1
Bell-uniform-mixed,equal_weight_reconstruction,2,0.16389998114266802,0.048983469876496925,0.029304778227416416,0.34212619975505304,0
Phi-plus,physically_prepared,3,1.0290612767002578,0.9456921860031059,0.8865659468582705,2.795210776933502,3
Phi-minus,physically_prepared,3,1.2051947816656845,0.9687710987115244,0.8394123519147603,3.092579443411555,3
Psi-plus,physically_prepared,3,0.9883178385572863,0.9727706770253577,0.7161863149257035,2.773485128924198,3
Psi-minus,physically_prepared,3,0.9682326672891846,0.8555907736201421,0.8280035809645745,2.5841904495681756,3
