partition,temperature_K,state,model,cut_mae,cut_rmse,closure_mae,phase_mae_rad,class_accuracy,actual_ridge_index,predicted_ridge_index,ridge_error_samples,actual_trough_index,predicted_trough_index,trough_error_samples,closure_wait_spearman,final_ara_x,final_class,amplitude_crest_to_trough,stable_orientation_flip,reliable_orientation_sign_fraction_initial
replication_0p1K,0.1,Phi-minus,ara,0.12898937549090275,0.16834863827319746,0.12047555450630143,1.404798185437985,0.25,9,9,0,9,10,1,-0.8727272727272729,0.5628547975485635,handover,False,False,1.0
replication_0p1K,0.1,Phi-minus,persistence,0.345171355154325,0.48138778502311497,0.4031501203470625,2.2071430416318254,0.0,9,,,9,,,-0.8727272727272729,0.5628547975485635,handover,False,False,1.0
replication_0p1K,0.1,Phi-minus,linear,0.6791126053761654,0.7885628642856175,0.533868913852315,1.4593128000687021,0.0,9,,,9,,,-0.8727272727272729,0.5628547975485635,handover,False,False,1.0
replication_0p1K,0.1,Phi-minus,no_rotation,0.21255439401021137,0.32683308510688924,0.12035360743435004,2.2071430416318254,0.25,9,9,0,9,10,1,-0.8727272727272729,0.5628547975485635,handover,False,False,1.0
replication_0p1K,0.1,Phi-minus,zero,0.21058055104719972,0.3255394573365547,0.41391856781571845,2.3051059409048418,0.25,9,7,2,9,7,2,-0.8727272727272729,0.5628547975485635,handover,False,False,1.0
replication_0p1K,0.1,Phi-plus,ara,0.08593291892202017,0.11031822948850724,0.05269176645017757,1.165907741497445,0.5,8,9,1,9,10,1,-0.9272727272727275,0.2905826345506823,trough,True,False,1.0
replication_0p1K,0.1,Phi-plus,persistence,0.3216637138377447,0.4332807774743316,0.4101730486257551,1.754771833746508,0.25,8,,,9,,,-0.9272727272727275,0.2905826345506823,trough,True,False,1.0
replication_0p1K,0.1,Phi-plus,linear,0.6668249162989005,0.774089842865995,0.56220303546892,1.135533432598995,0.25,8,,,9,,,-0.9272727272727275,0.2905826345506823,trough,True,False,1.0
replication_0p1K,0.1,Phi-plus,no_rotation,0.16689284743206728,0.2694054862877391,0.052465260275472735,1.7547718337465077,0.5,8,9,1,9,10,1,-0.9272727272727275,0.2905826345506823,trough,True,False,1.0
replication_0p1K,0.1,Phi-plus,zero,0.2113725987279731,0.3283208538109862,0.37936791232918426,0.9154798136133817,0.5,8,7,1,9,7,2,-0.9272727272727275,0.2905826345506823,trough,True,False,1.0
replication_0p1K,0.1,Psi-minus,ara,0.08288021302909282,0.11001475046491549,0.07538294353805142,1.0463481228703917,0.5,9,8,1,10,9,1,-0.9363636363636365,0.19632895723542806,trough,True,False,1.0
replication_0p1K,0.1,Psi-minus,persistence,0.20715302676201525,0.28291211509031333,0.32860346481579633,1.0582689739941005,0.25,9,,,10,,,-0.9363636363636365,0.19632895723542806,trough,True,False,1.0
replication_0p1K,0.1,Psi-minus,linear,0.6067434802622423,0.7422927272759966,0.6089754974624582,0.9793499317242264,0.25,9,8,1,10,,,-0.9363636363636365,0.19632895723542806,trough,True,False,1.0
replication_0p1K,0.1,Psi-minus,no_rotation,0.08461323426252262,0.10952305570203999,0.07740654721277544,1.0582689739941005,0.5,9,8,1,10,9,1,-0.9363636363636365,0.19632895723542806,trough,True,False,1.0
replication_0p1K,0.1,Psi-minus,zero,0.2216018918970224,0.33269168734849963,0.4012934994511878,2.067739305378707,0.25,9,7,2,10,7,3,-0.9363636363636365,0.19632895723542806,trough,True,False,1.0
replication_0p1K,0.1,Psi-plus,ara,0.11689188513846885,0.16569673443762123,0.07405420921616428,0.7629304299481069,0.75,8,9,1,10,10,0,-0.9181818181818183,0.3604039247663757,trough,True,False,1.0
replication_0p1K,0.1,Psi-plus,persistence,0.26317742501029234,0.3357151684980767,0.4266757000024857,1.0786736027941912,0.0,8,,,10,,,-0.9181818181818183,0.3604039247663757,trough,True,False,1.0
replication_0p1K,0.1,Psi-plus,linear,0.5799948181683998,0.7028950285714162,0.4009321290458705,1.0694410794890565,0.5,8,9,1,10,,,-0.9181818181818183,0.3604039247663757,trough,True,False,1.0
replication_0p1K,0.1,Psi-plus,no_rotation,0.11405986633349202,0.14342873671736958,0.08644198908099024,1.0786736027941912,0.75,8,9,1,10,10,0,-0.9181818181818183,0.3604039247663757,trough,True,False,1.0
replication_0p1K,0.1,Psi-plus,zero,0.20774033522869909,0.3135246350821423,0.3814122389264918,1.0415972291723166,0.25,8,7,1,10,7,3,-0.9181818181818183,0.3604039247663757,trough,True,False,1.0
primary,0.2,Phi-minus,ara,0.08709524082049504,0.13665192032278514,0.0928828627955537,0.8331244775883467,0.5,8,9,1,9,10,1,-0.9363636363636365,0.3361098837952508,trough,True,False,1.0
primary,0.2,Phi-minus,persistence,0.2817020440364355,0.3912765921627452,0.4590205858307932,1.182523894699532,0.0,8,,,9,,,-0.9363636363636365,0.3361098837952508,trough,True,False,1.0
primary,0.2,Phi-minus,linear,0.6589730630023561,0.747522127795564,0.6312747734530564,0.5789608534105569,0.0,8,,,9,,,-0.9363636363636365,0.3361098837952508,trough,True,False,1.0
primary,0.2,Phi-minus,no_rotation,0.13542194230251486,0.2408111652009241,0.09309816095110886,1.182523894699532,0.5,8,9,1,9,10,1,-0.9363636363636365,0.3361098837952508,trough,True,False,1.0
primary,0.2,Phi-minus,zero,0.19200686992903104,0.3144485175753683,0.35411173650645894,1.0939834774709736,0.5,8,7,1,9,7,2,-0.9363636363636365,0.3361098837952508,trough,True,False,1.0
primary,0.2,Phi-plus,ara,0.09105211966121564,0.13000558143454202,0.13453181441685408,1.1581892541623402,0.5,8,9,1,9,10,1,-0.9818181818181818,0.2983345022220059,trough,True,False,1.0
primary,0.2,Phi-plus,persistence,0.28151693888169316,0.39231390645761366,0.48561901269733776,1.0632814393110013,0.0,8,,,9,,,-0.9818181818181818,0.2983345022220059,trough,True,False,1.0
primary,0.2,Phi-plus,linear,0.5459449160394708,0.6916124924502378,0.5900572075767314,1.248870190384641,0.0,8,,,9,,,-0.9818181818181818,0.2983345022220059,trough,True,False,1.0
primary,0.2,Phi-plus,no_rotation,0.14953639479839578,0.24396277355552623,0.13499276035156899,1.0632814393110013,0.5,8,9,1,9,10,1,-0.9818181818181818,0.2983345022220059,trough,True,False,1.0
primary,0.2,Phi-plus,zero,0.18727418468308446,0.31249215881261916,0.33278437029830005,1.4767495906034311,0.5,8,7,1,9,7,2,-0.9818181818181818,0.2983345022220059,trough,True,False,1.0
primary,0.2,Psi-minus,ara,0.10936027782028374,0.15916481367908117,0.049035188868389465,0.7296788900926177,1.0,9,8,1,9,9,0,-0.9090909090909091,0.3753840912799578,trough,True,False,1.0
primary,0.2,Psi-minus,persistence,0.20391399314903913,0.29909340309686466,0.3295726094911601,0.8779557778463589,0.0,9,,,9,,,-0.9090909090909091,0.3753840912799578,trough,True,False,1.0
primary,0.2,Psi-minus,linear,0.5925214720945979,0.7427678649044349,0.7042857004584904,1.245858581506778,0.5,9,8,1,9,,,-0.9090909090909091,0.3753840912799578,trough,True,False,1.0
primary,0.2,Psi-minus,no_rotation,0.10817680503782252,0.1412769548082192,0.04964214385486491,0.8779557778463589,1.0,9,8,1,9,9,0,-0.9090909090909091,0.3753840912799578,trough,True,False,1.0
primary,0.2,Psi-minus,zero,0.21933342861735083,0.30823903599675945,0.38231835209376686,2.2160078800933785,0.5,9,7,2,9,7,2,-0.9090909090909091,0.3753840912799578,trough,True,False,1.0
primary,0.2,Psi-plus,ara,0.11280812904483979,0.1651437997309552,0.06950653805186624,1.590237562864624,1.0,9,8,1,9,9,0,-0.9,0.27648029613476066,trough,True,False,1.0
primary,0.2,Psi-plus,persistence,0.23247528642433737,0.2992730583298742,0.43074810972644884,0.8585157220608439,0.0,9,,,9,,,-0.9,0.27648029613476066,trough,True,False,1.0
primary,0.2,Psi-plus,linear,0.5996532331111402,0.7050915072953675,0.5180828921580439,1.6731176630693834,0.25,9,,,9,,,-0.9,0.27648029613476066,trough,True,False,1.0
primary,0.2,Psi-plus,no_rotation,0.08918324057731425,0.12985592322766182,0.06954972965414155,0.8585157220608441,1.0,9,8,1,9,9,0,-0.9,0.27648029613476066,trough,True,False,1.0
primary,0.2,Psi-plus,zero,0.20461945842309368,0.31259629431715863,0.3330009476349131,0.8585157220608439,0.5,9,7,2,9,7,2,-0.9,0.27648029613476066,trough,True,False,1.0
primary,0.3,Phi-minus,ara,0.1100122827066597,0.17427398686229817,0.0801591928792601,1.3515617918387037,0.75,8,9,1,9,10,1,-0.9545454545454546,0.2155850461472913,trough,True,False,1.0
primary,0.3,Phi-minus,persistence,0.24628794881794716,0.33283040885940374,0.4693509009076634,1.0416526347909705,0.0,8,,,9,,,-0.9545454545454546,0.2155850461472913,trough,True,False,1.0
primary,0.3,Phi-minus,linear,0.6585789313355448,0.7540434576637148,0.6349880491142188,0.7234848306555212,0.0,8,,,9,,,-0.9545454545454546,0.2155850461472913,trough,True,False,1.0
primary,0.3,Phi-minus,no_rotation,0.10953390774623369,0.16990438778680478,0.07991279548497453,1.0416526347909705,0.75,8,9,1,9,10,1,-0.9545454545454546,0.2155850461472913,trough,True,False,1.0
primary,0.3,Phi-minus,zero,0.1870459291723917,0.31721219017946395,0.3395610764175625,1.6135585350444326,0.5,8,7,1,9,7,2,-0.9545454545454546,0.2155850461472913,trough,True,False,1.0
primary,0.3,Phi-plus,ara,0.10775882460558903,0.1755084836969133,0.026743871304167464,1.3050688339364966,0.75,9,9,0,9,10,1,-0.9363636363636365,0.21151433537784886,trough,True,False,1.0
primary,0.3,Phi-plus,persistence,0.23729856057089968,0.32211294203238033,0.39477264721176064,1.0025689772456223,0.0,9,,,9,,,-0.9363636363636365,0.21151433537784886,trough,True,False,1.0
primary,0.3,Phi-plus,linear,0.5813100324484269,0.6871401959292814,0.6161091406699922,1.3736751038707808,0.0,9,,,9,,,-0.9363636363636365,0.21151433537784886,trough,True,False,1.0
primary,0.3,Phi-plus,no_rotation,0.10715623988107181,0.16980197386045034,0.02650334262833117,1.0025689772456223,0.75,9,9,0,9,10,1,-0.9363636363636365,0.21151433537784886,trough,True,False,1.0
primary,0.3,Phi-plus,zero,0.20368527071996653,0.3288143338349964,0.3832022075792555,1.2532478394789057,0.5,9,7,2,9,7,2,-0.9363636363636365,0.21151433537784886,trough,True,False,1.0
primary,0.3,Psi-minus,ara,0.12846882528032647,0.18807307314318553,0.11122465196495232,1.4270460100067277,0.75,8,9,1,9,10,1,-0.8727272727272729,0.43425413751561237,trough,True,False,1.0
primary,0.3,Psi-minus,persistence,0.2568159246643018,0.3503457579041873,0.4364370494613007,1.3407963616523508,0.0,8,,,9,,,-0.8727272727272729,0.43425413751561237,trough,True,False,1.0
primary,0.3,Psi-minus,linear,0.5375514246203543,0.6960518105630049,0.5654542137404533,1.7198761512645144,0.5,8,,,9,,,-0.8727272727272729,0.43425413751561237,trough,True,False,1.0
primary,0.3,Psi-minus,no_rotation,0.12219875201330876,0.15987049046487137,0.11118270549897298,1.3407963616523508,0.75,8,9,1,9,10,1,-0.8727272727272729,0.43425413751561237,trough,True,False,1.0
primary,0.3,Psi-minus,zero,0.20508083647896438,0.31037293378733954,0.324578478983507,1.81983520309112,0.5,8,7,1,9,7,2,-0.8727272727272729,0.43425413751561237,trough,True,False,1.0
primary,0.3,Psi-plus,ara,0.0968348276680786,0.15424478276108552,0.04967752191403652,0.8562232875183804,1.0,9,8,1,9,9,0,-0.9272727272727275,0.17157603764942153,trough,True,False,1.0
