split,architecture,max_closure_error,min_opposition,min_balance,quality_q,pairs,rank,selected_on_development
development,P1,0.657334107333765,0.1249450633826789,0.9057667751995021,0.3074026709001796,C00-C01 + C10-C11,3,False
development,P2,0.5727751739843808,0.344402942811899,0.9009175804995411,0.3850506628312876,C00-C10 + C01-C11,2,False
development,P3,0.48973510329859393,0.41299971948463193,0.9909542615350119,0.4699553935698664,C00-C11 + C01-C10,1,True
holdout,P1,0.6589867691323933,0.10028160914374362,0.8455507041270444,0.2803952106972123,C00-C01 + C10-C11,3,False
holdout,P2,0.5474509366630136,0.39101185557703755,0.8471610874838201,0.3807587976956166,C00-C10 + C01-C11,2,False
holdout,P3,0.51578475166996,0.29618425649851104,0.9445126965681632,0.4038378424132524,C00-C11 + C01-C10,1,True
