condition,wait_index,wait_us,mode,real,imag,radius,theta_deg
Ramsey,0,0.02,common,0.0,-0.22292248816275662,0.22292248816275662,-90.0
Ramsey,0,0.02,family,0.0,-0.06750806320044422,0.06750806320044422,-90.0
Ramsey,0,0.02,sign,0.0,-0.10197338804775202,0.10197338804775202,-90.0
Ramsey,0,0.02,interaction,0.0,-0.18845716331544882,0.18845716331544882,-90.0
Ramsey,1,4.02,common,0.20211586700251527,-0.2695266643169662,0.3368908524611629,-53.1340658855339
Ramsey,1,4.02,family,0.06860663661561228,-0.2323964545332317,0.24231174686201887,-73.5526731580314
Ramsey,1,4.02,sign,0.015095324397454868,-0.07558913765113212,0.07708168751075832,-78.70646956109705
Ramsey,1,4.02,interaction,0.011537740542860164,-0.06178457820841449,0.06285263368567816,-79.4223371980813
Ramsey,2,8.02,common,0.4599346703289355,-0.22415437532608457,0.511649376964747,-25.982813945398096
Ramsey,2,8.02,family,0.14629192190929036,-0.22415437532608457,0.26766865784723676,-56.86996015086839
Ramsey,2,8.02,sign,0.03579895324483667,-0.058411035584071735,0.0685084967827327,-58.49670224472847
Ramsey,2,8.02,interaction,0.0011652893354488492,-0.058411035584071735,0.05842265808091074,-88.85711142175855
Ramsey,3,12.02,common,0.8038728523732949,0.08270672205397533,0.8081163063914072,5.87422625788793
Ramsey,3,12.02,family,0.05170472710945628,-0.003996067360122479,0.051858917842642835,-4.419393851004677
Ramsey,3,12.02,sign,0.061817422740283345,0.050414480513563564,0.07976850004671883,39.198564337567035
Ramsey,3,12.02,interaction,-0.01806921826416763,-0.12912513520741642,0.13038327036476613,-97.96599797023549
Ramsey,4,16.02,common,0.757930006221077,0.36766951572587353,0.8424005977706689,25.877880931921776
Ramsey,4,16.02,family,0.013226641299498076,-0.03804342393866261,0.040277116890889746,-70.82885729140487
Ramsey,4,16.02,sign,-0.004216638667518813,0.054499789869546234,0.05466266676148456,94.42415013262934
Ramsey,4,16.02,interaction,0.002024822291347761,-0.035436293219384074,0.03549409503624095,-86.72968733848188
Ramsey,5,20.02,common,0.7292077985292602,0.5888307348496971,0.9372649826700689,38.920657707820176
Ramsey,5,20.02,family,0.0045765761890390055,-0.2423240358392127,0.2423672490148331,-88.91803002830353
Ramsey,5,20.02,sign,-0.002984916217410094,-0.06811717438024834,0.06818254300313327,-92.50911406147928
Ramsey,5,20.02,interaction,-0.036041829496689604,-0.12127569813821248,0.12651801623634193,-106.5513814283084
Ramsey,6,24.02,common,0.49404967596016647,0.7768264001383669,0.9206217129029055,57.54426533585529
