split,candidate,lag,predicted_step,loss
calibration,phi_2_over_phi,1,1.2360679774997896,0.7505021620483732
calibration,phi_2_over_phi,2,0.47213595499957917,0.473505031515841
calibration,phi_2_over_phi,3,1.7082039324993685,0.29985417455912
calibration,phi_2_over_phi,5,0.18033988749894814,0.20692283917805088
calibration,phi_2_over_phi,8,1.8885438199983167,0.17265605602733425
calibration,phi_2_over_phi,13,0.06888370749726391,0.15858829506858096
calibration,phi_2_over_phi,21,1.9574275274955824,0.15464007526698265
calibration,rational_26_over_21,1,1.2380952380952381,0.7488146463960831
calibration,rational_26_over_21,2,0.4761904761904763,0.4774471124448203
calibration,rational_26_over_21,3,1.7142857142857144,0.2943631102269866
calibration,rational_26_over_21,5,0.1904761904761907,0.21382857341697115
calibration,rational_26_over_21,8,1.904761904761905,0.16772695532170057
calibration,rational_26_over_21,13,0.0952380952380949,0.17049804619690279
calibration,rational_26_over_21,21,0.0,0.15253685819280283
calibration,rational_5_over_4,1,1.25,0.7396584203122855
calibration,rational_5_over_4,2,0.5,0.5010219783847979
calibration,rational_5_over_4,3,1.75,0.2635566711142425
calibration,rational_5_over_4,5,0.25,0.2589020036919736
calibration,rational_5_over_4,8,0.0,0.1519093846134793
calibration,rational_5_over_4,13,0.25,0.2621849218315795
calibration,rational_5_over_4,21,0.25,0.26575969843416924
calibration,anti_phi_orientation,1,0.7639320225002104,0.7480042376637509
calibration,anti_phi_orientation,2,1.5278640450004208,0.47179427110302463
calibration,anti_phi_orientation,3,0.2917960675006315,0.2965778430261685
calibration,anti_phi_orientation,5,1.8196601125010519,0.21094941844774218
calibration,anti_phi_orientation,8,0.11145618000168334,0.17497722084555178
calibration,anti_phi_orientation,13,1.931116292502736,0.15937234537708
calibration,anti_phi_orientation,21,0.04257247250441765,0.15508774853783436
calibration,two_over_e,1,0.7357588823428847,0.7252690273566262
calibration,two_over_e,2,1.4715177646857693,0.5271131587979689
calibration,two_over_e,3,0.207276647028654,0.22453890435186197
calibration,two_over_e,5,1.6787944117144233,0.32921811118088284
calibration,two_over_e,8,1.8860710587430773,0.1737716899670695
calibration,two_over_e,13,1.5648654704575016,0.43403580263490205
calibration,two_over_e,21,1.450936529200579,0.5441791269679618
calibration,one_over_e,1,0.36787944117144233,0.3697682568618146
calibration,one_over_e,2,0.7357588823428847,0.7240651948862884
calibration,one_over_e,3,1.103638323514327,0.8300681314683339
calibration,one_over_e,5,1.8393972058572117,0.19960652141473556
calibration,one_over_e,8,0.9430355293715387,0.8417269353364865
calibration,one_over_e,13,0.7824327352287508,0.7651554555306196
calibration,one_over_e,21,1.7254682646002895,0.2798851106475313
calibration,sqrt_2,1,1.4142135623730951,0.5854603614232345
calibration,sqrt_2,2,0.8284271247461903,0.7968324887822027
calibration,sqrt_2,3,0.24264068711928566,0.2548793996249016
calibration,sqrt_2,5,1.0710678118654755,0.8418911158911989
calibration,sqrt_2,8,1.3137084989847612,0.6783483873253133
calibration,sqrt_2,13,0.38477631085023845,0.388041699056235
calibration,sqrt_2,21,1.6984848098349978,0.30376849679876217
calibration,persistence,1,0.0,0.1528353140047647
calibration,persistence,2,0.0,0.15428859363596642
calibration,persistence,3,0.0,0.1505381195620621
calibration,persistence,5,0.0,0.15118248163412407
calibration,persistence,8,0.0,0.1519093846134793
calibration,persistence,13,0.0,0.14845196696531449
calibration,persistence,21,0.0,0.15253685819280283
calibration,calibration_fitted,1,0.0002561938594707028,0.1526670625103258
calibration,calibration_fitted,2,0.0005123877189414056,0.15398192442440095
calibration,calibration_fitted,3,0.0007685815784121085,0.15053333312084538
calibration,calibration_fitted,5,0.001280969297353514,0.15083387751951094
calibration,calibration_fitted,8,0.0020495508757656226,0.15178681817361123
calibration,calibration_fitted,13,0.0033305201731191367,0.14841354795617645
calibration,calibration_fitted,21,0.005380071048884759,0.15253745689809428
evaluation,phi_2_over_phi,1,1.2360679774997896,0.7156876253928434
evaluation,phi_2_over_phi,2,0.47213595499957917,0.478666644617439
evaluation,phi_2_over_phi,3,1.7082039324993685,0.323115059083269
evaluation,phi_2_over_phi,5,0.18033988749894814,0.2563875726188731
evaluation,phi_2_over_phi,8,1.8885438199983167,0.22824867908846835
evaluation,phi_2_over_phi,13,0.06888370749726391,0.2106687387838122
evaluation,phi_2_over_phi,21,1.9574275274955824,0.2200943460799627
evaluation,rational_26_over_21,1,1.2380952380952381,0.714066457163857
evaluation,rational_26_over_21,2,0.4761904761904763,0.48219905637691696
evaluation,rational_26_over_21,3,1.7142857142857144,0.31837312868996503
evaluation,rational_26_over_21,5,0.1904761904761907,0.2630919770812983
evaluation,rational_26_over_21,8,1.904761904761905,0.22317444294639843
evaluation,rational_26_over_21,13,0.0952380952380949,0.21553790468102452
evaluation,rational_26_over_21,21,0.0,0.2168816691909523
evaluation,rational_5_over_4,1,1.25,0.7073558577470157
evaluation,rational_5_over_4,2,0.5,0.502912687589221
evaluation,rational_5_over_4,3,1.75,0.29560454428905925
evaluation,rational_5_over_4,5,0.25,0.2979960233332424
evaluation,rational_5_over_4,8,0.0,0.20919909180271745
evaluation,rational_5_over_4,13,0.25,0.2893664031367592
evaluation,rational_5_over_4,21,0.25,0.2952708714567449
evaluation,anti_phi_orientation,1,0.7639320225002104,0.720038668829029
evaluation,anti_phi_orientation,2,1.5278640450004208,0.4727982218943835
evaluation,anti_phi_orientation,3,0.2917960675006315,0.32023014076834966
evaluation,anti_phi_orientation,5,1.8196601125010519,0.2502900986361375
evaluation,anti_phi_orientation,8,0.11145618000168334,0.22324763050045893
evaluation,anti_phi_orientation,13,1.931116292502736,0.21408388781319887
evaluation,anti_phi_orientation,21,0.04257247250441765,0.21646367322529048
evaluation,two_over_e,1,0.7357588823428847,0.7016038795331023
evaluation,two_over_e,2,1.4715177646857693,0.5219515456963709
evaluation,two_over_e,3,0.207276647028654,0.2673099375967667
evaluation,two_over_e,5,1.6787944117144233,0.3425079546527342
evaluation,two_over_e,8,1.8860710587430773,0.22971249097071328
evaluation,two_over_e,13,1.5648654704575016,0.4445091952029846
evaluation,two_over_e,21,1.450936529200579,0.5460193737274052
evaluation,one_over_e,1,0.36787944117144233,0.3859682887978142
evaluation,one_over_e,2,0.7357588823428847,0.6992429411263481
evaluation,one_over_e,3,1.103638323514327,0.7731261602075341
evaluation,one_over_e,5,1.8393972058572117,0.243313038190774
evaluation,one_over_e,8,0.9430355293715387,0.7855037368125932
evaluation,one_over_e,13,0.7824327352287508,0.7261525343386824
evaluation,one_over_e,21,1.7254682646002895,0.31143381027606465
evaluation,sqrt_2,1,1.4142135623730951,0.5748261325403217
evaluation,sqrt_2,2,0.8284271247461903,0.7499120999944402
evaluation,sqrt_2,3,0.24264068711928566,0.2893392556555734
evaluation,sqrt_2,5,1.0710678118654755,0.7828268693168283
evaluation,sqrt_2,8,1.3137084989847612,0.6633742403364649
evaluation,sqrt_2,13,0.38477631085023845,0.3998932176808021
evaluation,sqrt_2,21,1.6984848098349978,0.3317832414495667
evaluation,persistence,1,0.0,0.20784297398360907
evaluation,persistence,2,0.0,0.20265322248635464
evaluation,persistence,3,0.0,0.2063333691962982
evaluation,persistence,5,0.0,0.20971202916329668
evaluation,persistence,8,0.0,0.20919909180271745
evaluation,persistence,13,0.0,0.2116991918430251
evaluation,persistence,21,0.0,0.2168816691909523
