entity,entity_type,row_axis,column_axis,projection,expectation
Phi-plus,physically_prepared,X,X,XX,0.8533333333333333
Phi-plus,physically_prepared,X,Y,XY,0.24666666666666662
Phi-plus,physically_prepared,X,Z,XZ,-0.11333333333333337
Phi-plus,physically_prepared,Y,X,YX,0.2933333333333333
Phi-plus,physically_prepared,Y,Y,YY,-0.94
Phi-plus,physically_prepared,Y,Z,YZ,0.013333333333333336
Phi-plus,physically_prepared,Z,X,ZX,0.10666666666666666
Phi-plus,physically_prepared,Z,Y,ZY,0.006666666666666682
Phi-plus,physically_prepared,Z,Z,ZZ,0.9466666666666667
Phi-minus,physically_prepared,X,X,XX,-0.9500000000000002
Phi-minus,physically_prepared,X,Y,XY,-0.19999999999999996
Phi-minus,physically_prepared,X,Z,XZ,0.07499999999999998
Phi-minus,physically_prepared,Y,X,YX,-0.17499999999999993
Phi-minus,physically_prepared,Y,Y,YY,0.9500000000000001
Phi-minus,physically_prepared,Y,Z,YZ,-0.14999999999999997
Phi-minus,physically_prepared,Z,X,ZX,-0.025000000000000022
Phi-minus,physically_prepared,Z,Y,ZY,-0.04999999999999999
Phi-minus,physically_prepared,Z,Z,ZZ,0.95
Psi-plus,physically_prepared,X,X,XX,0.855
Psi-plus,physically_prepared,X,Y,XY,0.13499999999999998
Psi-plus,physically_prepared,X,Z,XZ,0.28666666666666674
Psi-plus,physically_prepared,Y,X,YX,-0.29333333333333333
Psi-plus,physically_prepared,Y,Y,YY,0.7966666666666666
Psi-plus,physically_prepared,Y,Z,YZ,0.04666666666666666
Psi-plus,physically_prepared,Z,X,ZX,0.18999999999999995
Psi-plus,physically_prepared,Z,Y,ZY,-0.04666666666666666
Psi-plus,physically_prepared,Z,Z,ZZ,-0.9266666666666667
Psi-minus,physically_prepared,X,X,XX,-0.835
Psi-minus,physically_prepared,X,Y,XY,-0.06499999999999997
Psi-minus,physically_prepared,X,Z,XZ,0.2066666666666666
Psi-minus,physically_prepared,Y,X,YX,0.09833333333333333
Psi-minus,physically_prepared,Y,Y,YY,-0.8816666666666667
Psi-minus,physically_prepared,Y,Z,YZ,0.013333333333333364
Psi-minus,physically_prepared,Z,X,ZX,-0.3433333333333333
Psi-minus,physically_prepared,Z,Y,ZY,-0.04499999999999996
Psi-minus,physically_prepared,Z,Z,ZZ,-0.8500000000000001
Phi-classical,equal_weight_reconstruction,X,X,XX,-0.04833333333333345
Phi-classical,equal_weight_reconstruction,X,Y,XY,0.02333333333333333
Phi-classical,equal_weight_reconstruction,X,Z,XZ,-0.019166666666666693
Phi-classical,equal_weight_reconstruction,Y,X,YX,0.05916666666666667
Phi-classical,equal_weight_reconstruction,Y,Y,YY,0.00500000000000006
Phi-classical,equal_weight_reconstruction,Y,Z,YZ,-0.06833333333333332
Phi-classical,equal_weight_reconstruction,Z,X,ZX,0.04083333333333332
Phi-classical,equal_weight_reconstruction,Z,Y,ZY,-0.021666666666666654
Phi-classical,equal_weight_reconstruction,Z,Z,ZZ,0.9483333333333333
Psi-classical,equal_weight_reconstruction,X,X,XX,0.010000000000000009
Psi-classical,equal_weight_reconstruction,X,Y,XY,0.035
Psi-classical,equal_weight_reconstruction,X,Z,XZ,0.24666666666666667
Psi-classical,equal_weight_reconstruction,Y,X,YX,-0.0975
Psi-classical,equal_weight_reconstruction,Y,Y,YY,-0.04250000000000004
Psi-classical,equal_weight_reconstruction,Y,Z,YZ,0.030000000000000013
Psi-classical,equal_weight_reconstruction,Z,X,ZX,-0.07666666666666669
Psi-classical,equal_weight_reconstruction,Z,Y,ZY,-0.04583333333333331
Psi-classical,equal_weight_reconstruction,Z,Z,ZZ,-0.8883333333333334
Bell-uniform-mixed,equal_weight_reconstruction,X,X,XX,-0.01916666666666672
Bell-uniform-mixed,equal_weight_reconstruction,X,Y,XY,0.029166666666666667
Bell-uniform-mixed,equal_weight_reconstruction,X,Z,XZ,0.11374999999999999
Bell-uniform-mixed,equal_weight_reconstruction,Y,X,YX,-0.019166666666666665
Bell-uniform-mixed,equal_weight_reconstruction,Y,Y,YY,-0.01874999999999999
Bell-uniform-mixed,equal_weight_reconstruction,Y,Z,YZ,-0.01916666666666665
Bell-uniform-mixed,equal_weight_reconstruction,Z,X,ZX,-0.017916666666666678
Bell-uniform-mixed,equal_weight_reconstruction,Z,Y,ZY,-0.03374999999999998
Bell-uniform-mixed,equal_weight_reconstruction,Z,Z,ZZ,0.029999999999999916
