run,condition_hz,fold_index,arm,selected_axis,training_cv_i_ba,training_cv_q_ba,balanced_accuracy,mcc,kappa,tn,fp,fn,tp,ara_raw_disagreements,pole_reversal_disagreements,complement_max_residual,ara_out_of_range_fraction,score_margin_median
primary_first_readout,500,4,ara_twocut,I,0.893562,0.577132,0.8295399999999999,0.6615240083269349,0.6590800000000001,43624,6376,10670,39330,0,0,4.440892098500626e-16,0.566295,3.267545477232982
primary_first_readout,500,4,raw_iq_lda,I,0.893562,0.577132,0.8295399999999999,0.6615240083269349,0.6590800000000001,43624,6376,10670,39330,,,,,3.2675454772329724
primary_first_readout,500,4,raw_iq_qda,I,0.893562,0.577132,0.83014,0.6624827705081847,0.66028,43544,6456,10530,39470,,,,,
primary_first_readout,500,4,label_shuffle,I,0.893562,0.577132,0.7897000000000001,0.5845492804817848,0.5793999999999999,42796,7204,13826,36174,,,,,
primary_first_readout,500,4,pair_destroyed,I,0.893562,0.577132,0.8295,0.6614460012891723,0.659,43623,6377,10673,39327,,,,,
primary_first_readout,1000,5,i_only,I,0.9079240000000001,0.5809580000000001,0.75834,0.5198950633636163,0.51668,40693,9307,14859,35141,,,,,
primary_first_readout,1000,5,q_only,I,0.9079240000000001,0.5809580000000001,0.5688,0.14131547438124317,0.13759999999999994,34135,15865,27255,22745,,,,,
primary_first_readout,1000,5,selected_onecut,I,0.9079240000000001,0.5809580000000001,0.75834,0.5198950633636163,0.51668,40693,9307,14859,35141,,,,,
primary_first_readout,1000,5,ara_twocut,I,0.9079240000000001,0.5809580000000001,0.75834,0.5199067642517831,0.51668,40698,9302,14864,35136,0,0,4.440892098500626e-16,0.581595,3.654700686604759
primary_first_readout,1000,5,raw_iq_lda,I,0.9079240000000001,0.5809580000000001,0.75834,0.5199067642517831,0.51668,40698,9302,14864,35136,,,,,3.654700686604751
primary_first_readout,1000,5,raw_iq_qda,I,0.9079240000000001,0.5809580000000001,0.75947,0.52161473444477,0.51894,40502,9498,14555,35445,,,,,
primary_first_readout,1000,5,label_shuffle,I,0.9079240000000001,0.5809580000000001,0.74173,0.48521851394539434,0.48346,39213,10787,15040,34960,,,,,
primary_first_readout,1000,5,pair_destroyed,I,0.9079240000000001,0.5809580000000001,0.75842,0.5200583981245658,0.51684,40698,9302,14856,35144,,,,,
replication_second_readout,0,0,i_only,I,0.8341239999999999,0.590094,0.8966000000000001,0.7951505110623329,0.7931999999999999,46580,3420,6920,43080,,,,,
replication_second_readout,0,0,q_only,I,0.8341239999999999,0.590094,0.5225299999999999,0.04736471880377693,0.0450600000000001,18423,31577,16170,33830,,,,,
replication_second_readout,0,0,selected_onecut,I,0.8341239999999999,0.590094,0.8966000000000001,0.7951505110623329,0.7931999999999999,46580,3420,6920,43080,,,,,
replication_second_readout,0,0,ara_twocut,I,0.8341239999999999,0.590094,0.89545,0.7926546003729723,0.7908999999999999,46435,3565,6890,43110,0,0,2.220446049250313e-16,0.406185,1.8063904174670253
replication_second_readout,0,0,raw_iq_lda,I,0.8341239999999999,0.590094,0.89545,0.7926546003729723,0.7908999999999999,46435,3565,6890,43110,,,,,1.8063904174669472
replication_second_readout,0,0,raw_iq_qda,I,0.8341239999999999,0.590094,0.89906,0.80052396206,0.7981199999999999,46889,3111,6983,43017,,,,,
replication_second_readout,0,0,label_shuffle,I,0.8341239999999999,0.590094,0.81338,0.6267781016129657,0.62676,40859,9141,9521,40479,,,,,
replication_second_readout,0,0,pair_destroyed,I,0.8341239999999999,0.590094,0.89532,0.7923592665490388,0.79064,46412,3588,6880,43120,,,,,
replication_second_readout,10,1,i_only,I,0.831686,0.5738800000000001,0.91004,0.8285957365471835,0.8200799999999999,49077,923,8073,41927,,,,,
replication_second_readout,10,1,q_only,I,0.831686,0.5738800000000001,0.60507,0.21218494649876227,0.21014,26791,23209,16284,33716,,,,,
replication_second_readout,10,1,selected_onecut,I,0.831686,0.5738800000000001,0.91004,0.8285957365471835,0.8200799999999999,49077,923,8073,41927,,,,,
replication_second_readout,10,1,ara_twocut,I,0.831686,0.5738800000000001,0.91004,0.8285763940106899,0.8200799999999999,49073,927,8069,41931,0,0,4.440892098500626e-16,0.48484,2.076886192995601
replication_second_readout,10,1,raw_iq_lda,I,0.831686,0.5738800000000001,0.91004,0.8285763940106899,0.8200799999999999,49073,927,8069,41931,,,,,2.0768861929955653
replication_second_readout,10,1,raw_iq_qda,I,0.831686,0.5738800000000001,0.91012,0.829001170338366,0.8202400000000001,49131,869,8119,41881,,,,,
replication_second_readout,10,1,label_shuffle,I,0.831686,0.5738800000000001,0.17504999999999998,-0.6532470624277595,-0.6498999999999999,6225,43775,38720,11280,,,,,
replication_second_readout,10,1,pair_destroyed,I,0.831686,0.5738800000000001,0.9099200000000001,0.828362921443863,0.8198399999999999,49073,927,8081,41919,,,,,
replication_second_readout,50,2,i_only,I,0.833456,0.573774,0.90205,0.811920395534479,0.8041,48564,1436,8359,41641,,,,,
replication_second_readout,50,2,q_only,I,0.833456,0.573774,0.60551,0.21103405233906092,0.21101999999999999,30564,19436,20013,29987,,,,,
replication_second_readout,50,2,selected_onecut,I,0.833456,0.573774,0.90205,0.811920395534479,0.8041,48564,1436,8359,41641,,,,,
replication_second_readout,50,2,ara_twocut,I,0.833456,0.573774,0.9019900000000001,0.811762601723804,0.8039799999999999,48553,1447,8354,41646,0,0,4.440892098500626e-16,0.4911,2.0996476810257168
replication_second_readout,50,2,raw_iq_lda,I,0.833456,0.573774,0.9019900000000001,0.811762601723804,0.8039799999999999,48553,1447,8354,41646,,,,,2.0996476810256963
replication_second_readout,50,2,raw_iq_qda,I,0.833456,0.573774,0.90217,0.8123937843815281,0.80434,48620,1380,8403,41597,,,,,
replication_second_readout,50,2,label_shuffle,I,0.833456,0.573774,0.6679299999999999,0.33590397143146034,0.33586000000000005,33801,16199,17008,32992,,,,,
replication_second_readout,50,2,pair_destroyed,I,0.833456,0.573774,0.90193,0.8116734788148898,0.80386,48557,1443,8364,41636,,,,,
replication_second_readout,250,3,i_only,I,0.8437359999999998,0.5759420000000001,0.8505199999999999,0.7070249957622385,0.7010400000000001,45772,4228,10720,39280,,,,,
replication_second_readout,250,3,q_only,I,0.8437359999999998,0.5759420000000001,0.59489,0.18978005196178532,0.18978000000000006,29726,20274,20237,29763,,,,,
replication_second_readout,250,3,selected_onecut,I,0.8437359999999998,0.5759420000000001,0.8505199999999999,0.7070249957622385,0.7010400000000001,45772,4228,10720,39280,,,,,
replication_second_readout,250,3,ara_twocut,I,0.8437359999999998,0.5759420000000001,0.85043,0.7068303974132324,0.70086,45764,4236,10721,39279,0,0,4.440892098500626e-16,0.504305,2.229625697837429
replication_second_readout,250,3,raw_iq_lda,I,0.8437359999999998,0.5759420000000001,0.85043,0.7068303974132324,0.70086,45764,4236,10721,39279,,,,,2.229625697837438
replication_second_readout,250,3,raw_iq_qda,I,0.8437359999999998,0.5759420000000001,0.85066,0.707454029248532,0.7013199999999999,45818,4182,10752,39248,,,,,
replication_second_readout,250,3,label_shuffle,I,0.8437359999999998,0.5759420000000001,0.24589,-0.5086523063263902,-0.50822,11264,38736,36675,13325,,,,,
replication_second_readout,250,3,pair_destroyed,I,0.8437359999999998,0.5759420000000001,0.85033,0.7066175129754064,0.7006600000000001,45756,4244,10723,39277,,,,,
replication_second_readout,500,4,i_only,I,0.855372,0.577878,0.7949900000000001,0.5957044922377992,0.58998,43207,6793,13708,36292,,,,,
replication_second_readout,500,4,q_only,I,0.855372,0.577878,0.58561,0.17301161902190315,0.17121999999999993,32869,17131,24308,25692,,,,,
