archive,metric,formulation,median,ci_low,ci_high,nearest_landmark,distance_to_phi,n_seeds
greedy,rA parent/child,same-phase ratio,1.75,1.75,1.7647058824,sqrt3,0.1319660113,97
landmax,rA parent/child,same-phase ratio,1.75,1.75,1.75,sqrt3,0.1319660113,96
greedy,sA = 1+1/rA,golden transform,1.5714285714,1.5714285714,1.5714285714,phi,0.0466054173,97
landmax,sA = 1+1/rA,golden transform,1.5714285714,1.5714285714,1.5714285714,phi,0.0466054173,96
greedy,rB parent/child,same-phase ratio,1.75,1.75,1.8571428571,sqrt3,0.1319660113,97
landmax,rB parent/child,same-phase ratio,1.75,1.75,1.75,sqrt3,0.1319660113,96
greedy,sB = 1+1/rB,golden transform,1.5714285714,1.5384615385,1.5714285714,phi,0.0466054173,97
landmax,sB = 1+1/rB,golden transform,1.5714285714,1.5714285714,1.5714285714,phi,0.0466054173,96
greedy,gA corrected AA,same-phase additive,1.5,1.4666666667,1.5333333333,1.5,0.1180339887,97
landmax,gA corrected AA,same-phase additive,1.5,1.5,1.5333333333,1.5,0.1180339887,96
greedy,gB corrected BB,same-phase additive,1.5,1.4666666667,1.5333333333,1.5,0.1180339887,97
landmax,gB corrected BB,same-phase additive,1.5,1.4666666667,1.5005747126,1.5,0.1180339887,96
