candidate,axis,heldout_state,train_rows,test_rows,before_offdiag_energy,after_offdiag_energy,reduction,rank_one_share,sign_agreement,visible_children
R_A,amplitude,Phi-plus,33,11,0.6629997539648038,0.056168891676315516,0.9152806749317477,0.9999998912960976,1.0,R_B/H_A/H_B
R_A,amplitude,Phi-minus,33,11,0.7316584891715455,0.06632843176768985,0.9093450937160679,0.9999974383684778,1.0,R_B/H_A/H_B
R_A,amplitude,Psi-plus,33,11,0.5885991285031987,0.020044793497175445,0.9659449147535282,0.9999999587295942,1.0,R_B/H_A/H_B
R_A,amplitude,Psi-minus,33,11,0.5597939197428808,0.03354712615935723,0.9400723641750776,0.9999990103065963,1.0,R_B/H_A/H_B
R_A,direction,Phi-plus,33,11,0.011329063236162623,0.010941017337897261,0.03425224929689774,0.9992489399363452,1.0,R_B/H_A/H_B
R_A,direction,Phi-minus,33,11,0.016865710185506366,0.021094655263598307,-0.2507421882374159,0.6546730645712727,0.0,R_B/H_A/H_B
R_A,direction,Psi-plus,33,11,0.01250273221255016,0.009921341030614561,0.20646616579889754,0.8508117580443509,1.0,R_B/H_A/H_B
R_A,direction,Psi-minus,33,11,0.01436960864864682,0.011668964116797818,0.18794141148049426,0.9853081678955148,1.0,R_B/H_A/H_B
R_B,amplitude,Phi-plus,33,11,0.7769055178683066,0.11453230930747105,0.8525788443082143,0.9999999710405842,1.0,R_A/H_A/H_B
R_B,amplitude,Phi-minus,33,11,0.8722667713275706,0.14787925001642047,0.8304655698492887,0.9999987050680348,1.0,R_A/H_A/H_B
R_B,amplitude,Psi-plus,33,11,0.7030236976711391,0.05857234868911724,0.9166851005404995,0.9999992555435316,1.0,R_A/H_A/H_B
R_B,amplitude,Psi-minus,33,11,0.7013449176731443,0.08639823762107568,0.8768106313399695,0.999994709864529,1.0,R_A/H_A/H_B
R_B,direction,Phi-plus,33,11,0.01307689807087432,0.0125725701494046,0.03856632656585368,0.9999416670844857,0.6666666666666666,R_A/H_A/H_B
R_B,direction,Phi-minus,33,11,0.01571108948912408,0.0159276899257667,-0.013786468264505913,0.6166165241806467,0.0,R_A/H_A/H_B
R_B,direction,Psi-plus,33,11,0.014860736441366543,0.012603161301181737,0.15191542822202198,0.9415984568514655,0.0,R_A/H_A/H_B
R_B,direction,Psi-minus,33,11,0.016361308982387662,0.0147844134381312,0.09637954676816707,0.9883624101273797,0.0,R_A/H_A/H_B
H_A,amplitude,Phi-plus,33,11,0.6812458294557556,0.0726895016640315,0.8932991608592997,0.9999965715731364,1.0,R_A/R_B/H_B
H_A,amplitude,Phi-minus,33,11,0.6499567643865013,0.058609003631167424,0.9098263040827202,0.9999304818804778,1.0,R_A/R_B/H_B
H_A,amplitude,Psi-plus,33,11,0.667368372234521,0.03161129234498345,0.952632918100178,0.9999643114560169,1.0,R_A/R_B/H_B
H_A,amplitude,Psi-minus,33,11,0.6881513660755402,0.052320181426414855,0.9239699519528796,0.9999915274516821,1.0,R_A/R_B/H_B
H_A,direction,Phi-plus,33,11,0.012480844306842463,0.011494742854723523,0.07900919424003405,0.9993959100161305,0.6666666666666666,R_A/R_B/H_B
H_A,direction,Phi-minus,33,11,0.015774457648957504,0.019902995070257046,-0.2617229392715372,0.6343913956432088,0.0,R_A/R_B/H_B
H_A,direction,Psi-plus,33,11,0.008246316869559907,0.005504004182684429,0.33255000144347235,0.9626814052705509,0.6666666666666666,R_A/R_B/H_B
H_A,direction,Psi-minus,33,11,0.01687430590779129,0.01431526917769654,0.15165285873555123,0.9795086489031503,0.6666666666666666,R_A/R_B/H_B
H_B,amplitude,Phi-plus,33,11,0.6228640758125631,0.052621737263745326,0.9155164998156344,0.9999995054623679,1.0,R_A/R_B/H_A
H_B,amplitude,Phi-minus,33,11,0.6055432208377861,0.05830556681942863,0.9037136164471279,0.9999260475624754,1.0,R_A/R_B/H_A
H_B,amplitude,Psi-plus,33,11,0.6363563493963736,0.034027123499918335,0.9465281936257958,0.9999783633507131,1.0,R_A/R_B/H_A
H_B,amplitude,Psi-minus,33,11,0.6514982144762054,0.05423390914689919,0.9167550916612989,0.9999929274850595,1.0,R_A/R_B/H_A
H_B,direction,Phi-plus,33,11,0.012294894488740379,0.01111208749249581,0.09620310262343279,0.9994161263145874,1.0,R_A/R_B/H_A
H_B,direction,Phi-minus,33,11,0.017052243571299027,0.020274687529289296,-0.18897477886218028,0.5407648371373323,0.0,R_A/R_B/H_A
H_B,direction,Psi-plus,33,11,0.007885008958349841,0.005061486603248297,0.3580873997754398,0.9781299463803942,0.3333333333333333,R_A/R_B/H_A
H_B,direction,Psi-minus,33,11,0.01629744587500526,0.013745907130102026,0.15656065155684462,0.9874775171728433,0.3333333333333333,R_A/R_B/H_A
