split,pair,opposition,balance,closure_error,radial_norm_a,radial_norm_b,persistence,balanced_accuracy,dprime,holdout_mean_a,holdout_mean_b,frozen_threshold,selected_pair
development,C00-C01,0.1249450633826789,0.9098825490675576,0.657334107333765,0.2277829640149313,0.1901223980542567,0.8871046438877918,0.95,3.836546803812982,2.8811216067432155,2.6112683566415384,2.723394501800995,False
development,C00-C10,0.344402942811899,0.9147398371252549,0.5727751739843805,0.2277829640149313,0.1919928129039544,0.868777342311865,1.0,5.351611395552886,4.226965406721267,3.912668652647239,4.067146275172284,False
development,C00-C11,0.594568942631398,0.9909542615350119,0.48973510329859327,0.2277829640149313,0.23194151138535615,0.8910439965070345,1.0,10.538023129762422,5.548425705412671,5.178491070178725,5.341360457077673,True
development,C01-C10,0.41299971948463193,0.9951051023459461,0.48973510329859393,0.1901223980542567,0.1919928129039544,0.7989187584512393,0.9624999999999999,3.821973430451656,1.8204292350256466,1.5863642320198867,1.699927043238198,True
development,C01-C11,0.35512859605655905,0.9009175804995411,0.5727751739843808,0.1901223980542567,0.23194151138535615,0.843072522864689,0.9875,5.046717277567926,3.9753672842861763,3.688870731837691,3.8375395985307548,False
development,C10-C11,0.1510001055932273,0.9057667751995021,0.6573341073337648,0.1919928129039544,0.23194151138535615,0.7660689901028854,0.9875,5.225090190510836,2.577737011808286,2.3277526915698306,2.4495388343786395,False
holdout,C00-C01,0.10028160914374362,0.8455507041270444,0.6589867691323933,0.23445839333195195,0.17172383428101987,0.8871046438877918,0.95,3.836546803812982,2.8811216067432155,2.6112683566415384,2.723394501800995,False
holdout,C00-C10,0.4342971479984868,0.9001825747252082,0.5474509366630117,0.23445839333195195,0.19190036030094676,0.868777342311865,1.0,5.351611395552886,4.226965406721267,3.912668652647239,4.067146275172284,False
holdout,C00-C11,0.5729727689700449,0.9983506830952844,0.51578475166996,0.23445839333195195,0.23368627441758016,0.8910439965070345,1.0,10.538023129762422,5.548425705412671,5.178491070178725,5.341360457077673,True
holdout,C01-C10,0.29618425649851104,0.9445126965681632,0.5157847516699576,0.17172383428101987,0.19190036030094676,0.7989187584512393,0.9624999999999999,3.821973430451656,1.8204292350256466,1.5863642320198867,1.699927043238198,True
holdout,C01-C11,0.39101185557703755,0.8471610874838201,0.5474509366630136,0.17172383428101987,0.23368627441758016,0.843072522864689,0.9875,5.046717277567926,3.9753672842861763,3.688870731837691,3.8375395985307548,False
holdout,C10-C11,0.1678055447231945,0.9018157274974821,0.6589867691323933,0.19190036030094676,0.23368627441758016,0.7660689901028854,0.9875,5.225090190510836,2.577737011808286,2.3277526915698306,2.4495388343786395,False
