basis,split,model,feature_count,prevalence,accuracy,balanced_accuracy,auroc,average_precision,error_rate
X,development,flip_vertical_state,18,0.44546,0.51016,0.51275295070035,0.5194233047504845,0.46056102556720185,0.48984000000000005
X,holdout,flip_vertical_state,18,0.50136,0.49956,0.49923446473626387,0.49857309824321006,0.4986268078538645,0.50044
X,development,flip_vertical_travel,34,0.44546,0.51004,0.5119603131448816,0.5188516517681143,0.4584772877066615,0.48995999999999995
X,holdout,flip_vertical_travel,34,0.50136,0.50122,0.5005082885605221,0.4985913879785248,0.49827110356385323,0.49878
X,development,flip_vertical_both,42,0.44546,0.51056,0.5128839914820674,0.5201260082301726,0.4593160432495749,0.48944
X,holdout,flip_vertical_both,42,0.50136,0.50054,0.49981609783941827,0.498754645186367,0.4981856902207024,0.49946
X,development,flip_past_control,34,0.44546,0.50416,0.5099395168079817,0.5172920922325731,0.4575463987553912,0.49583999999999995
X,holdout,flip_past_control,34,0.50136,0.5001,0.4996281860491717,0.4981991530766141,0.4986519075320838,0.4999
X,development,flip_broken_control,42,0.44546,0.50694,0.507328255657142,0.512300138943937,0.4549314620153041,0.49306000000000005
X,holdout,flip_broken_control,42,0.50136,0.4983,0.4977859580196319,0.49727244222043654,0.4987069693281214,0.5017
X,development,unflipped_control,42,0.44546,0.50882,0.5140175567476205,0.5192780694763599,0.4589033969179701,0.49117999999999995
X,holdout,unflipped_control,42,0.50136,0.49922,0.4987371906572314,0.4985313779345465,0.49937736398273663,0.50078
X,development,q21_child_topology,24,0.44546,0.52972,0.5308131008286272,0.5430922079262683,0.4746544602673849,0.47028000000000003
X,holdout,q21_child_topology,24,0.50136,0.50034,0.5003942397167431,0.5028340193672088,0.5041819958839535,0.49966
X,development,event_fraction,1,0.44546,0.52276,0.5189782120387104,0.5320659963386986,0.4681692537880052,0.47724
X,holdout,event_fraction,1,0.50136,0.50036,0.49998279027267556,0.5005441992262035,0.5033049031232232,0.49964
X,development,flip_vertical_both_plus_count,43,0.44546,0.51324,0.5155521058984397,0.522581310512778,0.4613229104144861,0.48675999999999997
X,holdout,flip_vertical_both_plus_count,43,0.50136,0.5007,0.4999905695302296,0.49894141776818524,0.4989646704103775,0.49929999999999997
Z,development,flip_vertical_state,18,0.40794,0.51574,0.5202030285927007,0.5280434051244901,0.426808436979954,0.48426
Z,holdout,flip_vertical_state,18,0.49676,0.50244,0.5028701333180461,0.5021804291570925,0.49711889441507706,0.49756
Z,development,flip_vertical_travel,34,0.40794,0.51282,0.5187585749627321,0.5262735184578218,0.4238175136281638,0.48717999999999995
Z,holdout,flip_vertical_travel,34,0.49676,0.49768,0.4992958232313358,0.49730725653062463,0.4940817110067748,0.50232
Z,development,flip_vertical_both,42,0.40794,0.51396,0.5207504511115606,0.5288536973730306,0.4253649887715327,0.48604
Z,holdout,flip_vertical_both,42,0.49676,0.49734,0.4990000044097852,0.498090020599201,0.4944220242516761,0.50266
Z,development,flip_past_control,34,0.40794,0.50456,0.5131322420973636,0.5218873017463466,0.42261576200390655,0.49544
Z,holdout,flip_past_control,34,0.49676,0.4972,0.4980570928165502,0.49899105363393853,0.4956793547444057,0.5028
Z,development,flip_broken_control,42,0.40794,0.51104,0.5125518167778045,0.5178814109497134,0.4201540723519612,0.48895999999999995
Z,holdout,flip_broken_control,42,0.49676,0.49816,0.49914596093855823,0.4975712916175635,0.49458070668126985,0.5018400000000001
Z,development,unflipped_control,42,0.40794,0.50636,0.5170917915131026,0.5251768847850623,0.42369984143076717,0.49363999999999997
Z,holdout,unflipped_control,42,0.49676,0.4991,0.4999956654179891,0.4998894529580855,0.49661467704637,0.5009
Z,development,q21_child_topology,24,0.40794,0.53768,0.5381445674903349,0.5581031641995569,0.4461204415479851,0.46231999999999995
Z,holdout,q21_child_topology,24,0.49676,0.50034,0.5013251452433789,0.501870272133475,0.49794546835231,0.49966
Z,development,event_fraction,1,0.40794,0.53518,0.53323557001996,0.5479403295319257,0.44245439381151663,0.46482
Z,holdout,event_fraction,1,0.49676,0.50194,0.502733914798176,0.5038074470762257,0.5003900615200032,0.49805999999999995
Z,development,flip_vertical_both_plus_count,43,0.40794,0.51766,0.5240428454539615,0.5334694704865703,0.4293679908011352,0.48234
Z,holdout,flip_vertical_both_plus_count,43,0.49676,0.49886,0.5004819642378712,0.49908752968500647,0.4955399043910368,0.5011399999999999
