archive,seed,g_A_same_phase,g_B_same_phase,sum_forced,distance_A_to_phi,distance_B_to_phi
greedy,0,1.449388209121246,1.550611790878754,3.0,0.1686457796286489,0.0674221978711409
greedy,1,1.5666666666666667,1.4333333333333333,3.0,0.05136732208322825,0.18470065541656155
greedy,2,1.4933333333333332,1.5066666666666668,3.0,0.12470065541656172,0.11136732208322808
greedy,3,1.6,1.4,3.0,0.018033988749894814,0.218033988749895
greedy,4,1.412442396313364,1.587557603686636,3.0,0.2055915924365308,0.030476385063259004
greedy,5,1.4,1.6,3.0,0.218033988749895,0.018033988749894814
greedy,6,1.5,1.5,3.0,0.1180339887498949,0.1180339887498949
greedy,7,1.3,1.7,3.0,0.31803398874989486,0.08196601125010505
greedy,8,1.2666666666666666,1.7333333333333334,3.0,0.3513673220832283,0.11529934458343849
greedy,9,1.4482758620689655,1.5517241379310345,3.0,0.16975812668092938,0.06630985081886043
greedy,10,1.5,1.5,3.0,0.1180339887498949,0.1180339887498949
greedy,11,1.5161290322580645,1.4838709677419355,3.0,0.1019049564918304,0.1341630210079594
greedy,12,1.5506117908787542,1.4493882091212458,3.0,0.06742219787114068,0.16864577962864913
greedy,13,1.5607940446650124,1.4392059553349876,3.0,0.05723994408488253,0.17882803341490727
greedy,14,1.4266666666666667,1.5733333333333333,3.0,0.19136732208322815,0.04470065541656165
greedy,15,1.4230769230769231,1.5769230769230769,3.0,0.19495706567297177,0.04111091182681803
greedy,16,1.3571428571428572,1.6428571428571428,3.0,0.2608911316070377,0.02482315410724789
greedy,17,1.3,1.7,3.0,0.31803398874989486,0.08196601125010505
greedy,18,1.5769230769230769,1.4230769230769231,3.0,0.04111091182681803,0.19495706567297177
greedy,19,1.5037037037037035,1.4962962962962965,3.0,0.11433028504619136,0.12173769245359845
greedy,20,1.4230769230769231,1.5769230769230769,3.0,0.19495706567297177,0.04111091182681803
greedy,21,1.5531660692951015,1.4468339307048985,3.0,0.06486791945479342,0.17120005804499638
greedy,22,1.155844155844156,1.844155844155844,3.0,0.462189832905739,0.2261218554059492
greedy,23,1.5161290322580645,1.4838709677419355,3.0,0.1019049564918304,0.1341630210079594
greedy,24,1.5,1.5,3.0,0.1180339887498949,0.1180339887498949
greedy,25,1.5333333333333332,1.4666666666666668,3.0,0.08470065541656169,0.15136732208322812
greedy,26,1.4666666666666668,1.5333333333333332,3.0,0.15136732208322812,0.08470065541656169
greedy,27,1.603448275862069,1.396551724137931,3.0,0.014585712887825952,0.22148226461196385
greedy,28,1.5769230769230769,1.4230769230769231,3.0,0.04111091182681803,0.19495706567297177
greedy,30,1.2827586206896553,1.7172413793103447,3.0,0.3352753680602396,0.0992073905604498
greedy,31,1.7307692307692308,1.2692307692307692,3.0,0.11273524201933594,0.34880321951912574
greedy,32,1.537037037037037,1.462962962962963,3.0,0.08099695171285792,0.15507102578693188
greedy,33,1.2666666666666666,1.7333333333333334,3.0,0.3513673220832283,0.11529934458343849
greedy,34,1.6428571428571428,1.3571428571428572,3.0,0.02482315410724789,0.2608911316070377
greedy,35,1.4,1.6,3.0,0.218033988749895,0.018033988749894814
greedy,36,1.6047619047619048,1.3952380952380952,3.0,0.013272083987990069,0.22279589351179974
greedy,37,1.46,1.54,3.0,0.15803398874989494,0.07803398874989487
greedy,38,1.5517241379310345,1.4482758620689655,3.0,0.06630985081886043,0.16975812668092938
greedy,39,1.6428571428571428,1.3571428571428572,3.0,0.02482315410724789,0.2608911316070377
